好的	OK
拼搏	to struggle; to wrestle
启程	to set out on a journey
请示	to ask for instructions
树立	to set up; to establish
弹性	flexibility; elasticity
挑衅	to provoke; provocation
椭圆	oval; ellipse; elliptic
威力	might; formidable power
无比	incomparable; matchless
夕阳	sunset; the setting sun
毅力	perseverance; willpower
镇定	calm; unperturbed; cool
岸上	ashore; on the riverbank
暴力	violence; force; violent
教室	classroom; CL:間|间[jian1]
伴侣	companion; mate; partner
打电话	to make a telephone call
诚恳	sincere; honest; cordial
查出	to find out; to discover
登记	to register (one's name)
黄河	Yellow River or Huang He
椅子	chair; CL:把[ba3],套[tao4]
窗台	windowsill; window ledge
放暑假	to be on summer vacation
反而	on the contrary; instead
当初	at that time; originally
剥削	to exploit; exploitation
故意	deliberately; on purpose
各自	each; respective; apiece
打牌	to play mahjong or cards
房租	rent for a room or house
胡说	to talk nonsense; drivel
糊涂	muddled; silly; confused
赶到	to hurry (to some place)
赶紧	hurriedly; without delay
卡农	canon (music) (loanword)
艰苦	difficult; hard; arduous
毒品	drugs; narcotics; poison
巢穴	lair; nest; den; hideout
公共	public; common; communal
温度	temperature; CL:個|个[ge4]
哪些	which ones?; who?; what?
钢笔	fountain pen; CL:支[zhi1]
格外	especially; particularly
前天	the day before yesterday
请问	Excuse me, may I ask...?
过分	excessive; undue; overly
传单	leaflet; flier; pamphlet
明显	clear; distinct; obvious
模糊	vague; indistinct; fuzzy
课堂	classroom; CL:間|间[jian1]
股东	shareholder; stockholder
将近	almost; nearly; close to
任何	any; whatever; whichever
海报	poster; playbill; notice
技能	technical ability; skill
加速	to speed up; to expedite
阴天	cloudy day; overcast sky
互动	to interact; interactive
奖学金	scholarship; CL:筆|笔[bi3]
就业	to get a job; employment
售货员	salesperson; CL:個|个[ge4]
嗓子	throat; voice; CL:把[ba3]
猜灯谜	Guessing lantern riddles
景象	scene; sight (to behold)
局面	aspect; phase; situation
王蕴宏	Yunhong uncle (Lisa dad)
讨论	to discuss; to talk over
无聊	bored; boring; senseless
精美	exquisite; elegant; fine
天真	naive; innocent; artless
额外	extra; added; additional
而已	that's all; nothing more
快车	express (train, bus etc)
描述	to describe; description
默默	in silence; not speaking
尤其	especially; particularly
形状	form; shape; CL:個|个[ge4]
流量小花	n. Traffic+little flower
以来	since (a previous event)
准确	accurate; exact; precise
福气	good fortune; a blessing
种子	seed; CL:顆|颗[ke1],粒[li4]
制定	to draw up; to formulate
复兴	to revive; to rejuvenate
干劲	enthusiasm for doing sth
设施	facilities; installation
恰恰	exactly; just; precisely
一部分	portion; part of; subset
凹造型	(coll.) to strike a pose
球星	sports star (ball sport)
塑料	plastics; CL:種|种[zhong3]
所长	head of an institute etc
黑子	(slang) hater; detractor
归还	to return sth; to revert
特性	property; characteristic
走过	to walk past; to pass by
微博	microblogging; microblog
叹气	to sigh; to heave a sigh
探讨	to investigate; to probe
特意	specially; intentionally
黄昏	dusk; evening; nightfall
演唱会	vocal recital or concert
银牌	silver medal; CL:枚[mei2]
信箱	mailbox; post office box
眼泪	tears; crying; CL:滴[di1]
胡同	variant of 胡同[hu2 tong4]
嚇出翔	Scare the crap out of me
英勇	heroic; gallant; valiant
营业	to do business; to trade
过塑	(stationery) to laminate
血管	vein; artery; CL:根[gen1]
预期	to expect; to anticipate
不夜城	nightless/sleepless city
艺人	performing artist; actor
做客	to be a guest or visitor
自来水	running water; tap water
证书	credentials; certificate
值班	to work a shift; on duty
战场	battlefield; CL:個|个[ge4]
县城	county seat; county town
指头	finger; toe; CL:個|个[ge4]
提纲	outline; synopsis; notes
象棋	Chinese chess; CL:副[fu4]
赛马	horse race; horse racing
疲惫	beaten; exhausted; tired
代购	to buy (on behalf of sb)
确切	definite; exact; precise
没人管	nobody cares/ tackles it
口音很重	The accent is very heavy
盛开	blooming; in full flower
奇特	peculiar; unusual; queer
是非	right and wrong; quarrel
芸薹属	Brassica (cabbage genus)
昔日	former days; in the past
辛勤	hardworking; industrious
压缩	to compress; compression
隐约	vague; faint; indistinct
幼稚	young; childish; puerile
赞叹	to exclaim in admiration
庄重	grave; solemn; dignified
罢工	a strike; to go on strike
暴风雨	rainstorm; storm; tempest
有道理	to make sense; reasonable
本身	itself; in itself; per se
版本	version; edition; release
姐姐	older sister; CL:個|个[ge4]
补偿	to compensate; to make up
吧啦吧啦	(loanword) blah blah blah
声音	voice; sound; CL:個|个[ge4]
中午	noon; midday; CL:個|个[ge4]
才能	talent; ability; capacity
复习	variant of 復習|复习[fu4 xi2]
没有对错	there's no right or wrong
鼻涕	nasal mucus; snivel; snot
看见	to see; to catch sight of
辨认	to recognize; to identify
城区	city district; urban area
传输	to transmit; transmission
害羞	shy; embarrassed; bashful
其实	actually; in fact; really
当场	at the scene; on the spot
合法	lawful; legitimate; legal
大力	energetically; vigorously
担忧	to worry; to be concerned
当作	to treat as; to regard as
舒服	comfortable; feeling well
诧异	flabbergasted; astonished
忽然	suddenly; all of a sudden
斗争	a struggle; fight; battle
经验	experience; to experience
多半	most; mostly; most likely
银行	bank; CL:家[jia1],個|个[ge4]
决赛	finals (of a competition)
哈哈	(onom.) laughing out loud
老鼠	rat; mouse (CL:隻|只[zhi1])
说漏嘴	to blurt out; to let slip
光荣	honor and glory; glorious
盒饭	meal in a partitioned box
生活	to live; life; livelihood
胆怯	timidity; timid; cowardly
适应	to adapt; to fit; to suit
旧金山	San Francisco, California
顺利	smoothly; without a hitch
时尚	fashion; fad; fashionable
看来	apparently; it seems that
体验	to experience for oneself
纠正	to correct; to make right
漏洞	leak; hole; gap; loophole
幸福	happiness; happy; blessed
演员	actor; actress; performer
梦想	(fig.) to dream of; dream
脑子	brains; mind; CL:個|个[ge4]
正常	regular; normal; ordinary
分量	quantity; weight; measure
平坦	level; even; smooth; flat
平原	field; plain; CL:個|个[ge4]
认出	recognition; to recognize
整齐	orderly; neat; even; tidy
商业	business; trade; commerce
资格	qualifications; seniority
高明	brilliant; superior; wise
根深蒂固	deep-rooted (problem etc)
实验室	laboratory; CL:間|间[jian1]
耕地	arable land; to plow land
试题	exam question; test topic
射击	to shoot; to fire (a gun)
烦躁	jittery; twitchy; fidgety
说不定	can't say for sure; maybe
时光	time; era; period of time
炸弹	bomb; CL:枚[mei2],顆|颗[ke1]
旗子	flag; banner; CL:面[mian4]
过奖	to overpraise; to flatter
当心	to take care; to look out
外套	coat; jacket; CL:件[jian4]
网址	website; web address; URL
豪迈	bold; open-minded; heroic
和气	friendly; polite; amiable
体积	volume; bulk; CL:個|个[ge4]
做到	to accomplish; to achieve
逼格	(slang) pretentious style
算是	considered to be; at last
岁数	age (number of years old)
违法	illegal; to break the law
皇后	empress; imperial consort
货币	currency; monetary; money
机智	quick-witted; resourceful
顽强	tenacious; hard to defeat
信念	faith; belief; conviction
嫉妒	to be jealous of; to envy
依照	according to; in light of
有幸福感	have a sense of happiness
救护车	ambulance; CL:輛|辆[liang4]
用不着	not need; have no use for
指出	to indicate; to point out
雨水	rainwater; rainfall; rain
制订	to work out; to formulate
之下	under; beneath; less than
省略	to leave out; an omission
亏损	deficit; (financial) loss
连同	together with; along with
寺庙	temple; monastery; shrine
芹菜	celery (Apium graveolens)
农田	farmland; cultivated land
瞄准	to take aim at; to target
难堪	hard to take; embarrassed
比方说	for example; for instance
情报	information; intelligence
缺口	nick; jag; gap; shortfall
棺材	coffin; CL:具[ju4],口[kou3]
守旧	conservative; reactionary
瞬间	in an instant; in a flash
条约	treaty; pact; CL:個|个[ge4]
通俗	common; everyday; average
微不足道	negligible; insignificant
蒸发	to evaporate; evaporation
知觉	perception; consciousness
准则	norm; standard; criterion
姿态	attitude; posture; stance
作风	style; style of work; way
拜访	to pay a visit; to call on
第一	first; number one; primary
什么	what?; something; anything
怎么	variant of 怎麼|怎么[zen3 me5]
冰箱	refrigerator; (old) icebox
衬衫	shirt; blouse; CL:件[jian4]
早上	early morning; CL:個|个[ge4]
不顾	in spite of; regardless of
电子邮件	email; CL:封[feng1],份[fen4]
报仇	to take revenge; to avenge
不光	not the only one; not only
不怎么	not very; not particularly
赚钱	to earn money; moneymaking
说谎	to lie; to tell an untruth
措施	measure; step; CL:個|个[ge4]
害怕	to be afraid; to be scared
成长	to mature; to grow; growth
大自然	nature (the natural world)
存在	to exist; to be; existence
表决	to decide by vote; to vote
看情况	depending on the situation
担保	to guarantee; to vouch for
怪不得	no wonder!; so that's why!
后悔	to regret; to feel remorse
到来	to arrive; arrival; advent
美元	American dollar; US dollar
仓促	all of a sudden; hurriedly
父母	father and mother; parents
概念	concept; idea; CL:個|个[ge4]
体育	sports; physical education
电车	trolleybus; CL:輛|辆[liang4]
突然	sudden; abrupt; unexpected
完成	to complete; to accomplish
红色	red (color); revolutionary
听力	hearing; listening ability
个性	individuality; personality
洗手间	toilet; lavatory; washroom
画儿	picture; drawing; painting
洗澡	to bathe; to take a shower
朝代	dynasty; reign (of a king)
门口	doorway; gate; CL:個|个[ge4]
风俗	social custom; CL:個|个[ge4]
公务员	functionary; office-bearer
共有	to have altogether; in all
城堡	castle; rook (chess piece)
拿来	to bring; to fetch; to get
柏林	Berlin, capital of Germany
停更	to stop updating (content)
男票	boyfriend (Internet slang)
高科技	high tech; high technology
自然	nature; natural; naturally
加快	to accelerate; to speed up
推倒	to push over; to overthrow
姑姑	paternal aunt; CL:個|个[ge4]
坚决	firm; resolute; determined
汇款	to remit money; remittance
坚固	firm; firmly; hard; stable
热爱	to love ardently; to adore
人生	life (one's time on earth)
混乱	confusion; chaos; disorder
深刻	profound; deep; deep-going
疾病	disease; sickness; ailment
地势	terrain; topography relief
事物	thing; object; CL:個|个[ge4]
老头儿	see 老頭子|老头子[lao3 tou2 zi5]
烤肉	barbecue (lit. roast meat)
渴望	to thirst for; to long for
似乎	it seems; seemingly; as if
文件	document; file; CL:份[fen4]
凉水	cool water; unboiled water
兔子	hare; rabbit; CL:隻|只[zhi1]
信息	information; news; message
中学	middle school; CL:個|个[ge4]
未必	not necessarily; maybe not
命运	fate; destiny; CL:個|个[ge4]
文学	literature; CL:種|种[zhong3]
奔走相告	to spread the news (idiom)
消失	to disappear; to fade away
幽默	(loanword) humor; humorous
模特儿	(fashion) model (loanword)
牙齿	tooth; dental; CL:顆|颗[ke1]
联盟	alliance; union; coalition
分红	dividend; to award a bonus
晚安	Good night!; Good evening!
晚会	evening party; CL:個|个[ge4]
员工	staff; personnel; employee
服气	to be convinced; to accept
热烈	enthusiastic; ardent; warm
清醒	clear-headed; sober; awake
腹泻	diarrhea; to have the runs
确立	to establish; to institute
人间	the human world; the earth
实施	to implement; to carry out
格局	structure; pattern; layout
山区	mountain area; CL:個|个[ge4]
潜力	potential; latent capacity
尷尬癥	n. Embarrassment+ syndrome
剩下	to remain; to be left over
松树	pine; pine tree; CL:棵[ke1]
早就	already at an earlier time
蔬菜	vegetables; CL:種|种[zhong3]
惯例	convention; usual practice
停止	to stop; to halt; to cease
损害	harm; to damage; to impair
时期	period; phase; CL:個|个[ge4]
外文	foreign language (written)
地道	authentic; genuine; proper
屋子	house; room; CL:間|间[jian1]
做饭	to prepare a meal; to cook
相等	equal; equally; equivalent
消毒	to disinfect; to sterilize
消防	firefighting; fire control
外来	external; foreign; outside
王后	queen; CL:個|个[ge4],位[wei4]
饥饿	hunger; starvation; famine
家常	the daily life of a family
一流	top quality; front ranking
证据	evidence; proof; testimony
修车	to repair a bike (car etc)
自从	since (a time); ever since
自身	itself; oneself; one's own
增强	to increase; to strengthen
祝福	blessings; to wish sb well
模特	(fashion) model (loanword)
买单	to pay the restaurant bill
住宅	residence; dwelling; abode
蜡烛	candle; CL:根[gen1],支[zhi1]
火盆	brazier; fire pan; hibachi
伶俐	clever; witty; intelligent
推卸责任	shrug off responsibilities
屡次	repeatedly; time and again
弥漫	variant of 彌漫|弥漫[mi2 man4]
正后面	Behind (lit. central back)
庞大	huge; enormous; tremendous
片断	section; fragment; segment
慎重	cautious; careful; prudent
落地窗	French window; CL:扇[shan4]
思索	to think deeply; to ponder
四肢	the four limbs of the body
体系	system; setup; CL:個|个[ge4]
妥当	appropriate; proper; ready
响亮	loud and clear; resounding
严寒	bitter cold; severe winter
杂技	acrobatics; CL:場|场[chang3]
阵地	(military) position; front
智商	IQ (intelligence quotient)
庄严	solemn; dignified; stately
自满	complacent; self-satisfied
租赁	to rent; to lease; to hire
扮演	to play the role of; to act
巴士	bus (loanword); motor coach
鼻子	nose; CL:個|个[ge4],隻|只[zhi1]
不但	not only (... but also ...)
不见得	not necessarily; not likely
不耐烦	impatient; to lose patience
榜样	example; model; CL:個|个[ge4]
车票	ticket (for a bus or train)
地图	map; CL:張|张[zhang1],本[ben3]
采用	to adopt; to employ; to use
公共汽车	bus; CL:輛|辆[liang4],班[ban1]
地上	on the ground; on the floor
长处	good aspects; strong points
朋友	friend; CL:個|个[ge4],位[wei4]
粗糙	crude; gruff; rough; coarse
关系	variant of 關係|关系[guan1 xi5]
苹果	apple; CL:個|个[ge4],顆|颗[ke1]
谢谢	to thank; thanks; thank you
几乎	almost; nearly; practically
辩证	to investigate; dialectical
别致	variant of 別緻|别致[bie2 zhi4]
处处	everywhere; in all respects
工厂	factory; CL:家[jia1],座[zuo4]
此处	this place; here (literary)
号码	number; CL:堆[dui1],個|个[ge4]
村庄	village; hamlet; CL:座[zuo4]
请假	to request leave of absence
操劳	to work hard; to look after
奖金	premium; award money; bonus
伙伴	partner; companion; comrade
家务	household duties; housework
马路	street; road; CL:條|条[tiao2]
花园	garden; CL:座[zuo4],個|个[ge4]
坏处	harm; troubles; CL:個|个[ge4]
小心	to be careful; to take care
多方面	many-sided; in many aspects
幅度	width; extent; range; scope
钢琴	piano; CL:架[jia4],臺|台[tai2]
开水	boiled water; boiling water
共享	to share; to enjoy together
就要	will; shall; to be going to
含量	content; quantity contained
喜剧	comedy; CL:部[bu4],齣|出[chu1]
歌星	singing star; famous singer
炊烟	smoke from kitchen chimneys
身上	on the body; at hand; among
构建	to construct (sth abstract)
获取	to gain; to get; to acquire
或是	or; either one or the other
将要	will; shall; to be going to
下边	under; the underside; below
忍不住	cannot help; unable to bear
首都	capital (city); CL:個|个[ge4]
据说	it is said that; reportedly
尽可能	see 儘可能|尽可能[jin3 ke3 neng2]
臟辮	n. Dirty+braids. Deadlocks.
简介	summary; brief introduction
青少年	adolescent; youth; teenager
截至	up to (a time); by (a time)
金融	banking; finance; financial
详细	detailed; in detail; minute
少数	small number; few; minority
良好	good; favorable; well; fine
学期	term; semester; CL:個|个[ge4]
发誓	to vow; to pledge; to swear
毛衣	(wool) sweater; CL:件[jian4]
客车	coach; bus; passenger train
口试	oral examination; oral test
摩托	motor (loanword); motorbike
消极	negative; passive; inactive
心脏	heart; CL:顆|颗[ke1],個|个[ge4]
领取	to receive; to draw; to get
品种	breed; variety; CL:個|个[ge4]
作家	author; CL:個|个[ge4],位[wei4]
日常	day-to-day; daily; everyday
逐步	progressively; step by step
群众	mass; multitude; the masses
主任	director; head; CL:個|个[ge4]
格式	form; specification; format
使劲	to exert all one's strength
强化	to strengthen; to intensify
供不应求	supply does not meet demand
清洗	to wash; to clean; to purge
翅膀	wing; CL:個|个[ge4],對|对[dui4]
思维	(line of) thought; thinking
外汇	foreign (currency) exchange
围巾	scarf; shawl; CL:條|条[tiao2]
卫生	health; hygiene; sanitation
显得	to seem; to look; to appear
外界	the outside world; external
胡须	beard; CL:根[gen1],綹|绺[liu3]
田径	track and field (athletics)
商业区	business district; downtown
浑身	all over; from head to foot
柜台	variant of 櫃檯|柜台[gui4 tai2]
有效	effective; in effect; valid
任性	willful; headstrong; unruly
乐队	band; pop group; CL:支[zhi1]
虐心	heartbreaking; tear-jerking
坚实	firm and substantial; solid
职工	workers; staff; CL:個|个[ge4]
药品	medicaments; medicine; drug
要么	or; either one or the other
抓住	to grab hold of; to capture
阅览室	reading room; CL:間|间[jian1]
轮流	to alternate; to take turns
职务	post; position; job; duties
扎实	variant of 扎實|扎实[zha1 shi5]
奇观	spectacle; impressive sight
留神	to take care; to be careful
啰唆	variant of 囉嗦|啰嗦[luo1 suo5]
茫茫	boundless; vast and obscure
藐视	to despise; to look down on
宁愿	would rather ... (than ...)
飘扬	to wave; to flutter; to fly
颧骨	zygomatic bone (cheek bone)
曲折	winding; (fig.) complicated
容忍	to put up with; to tolerate
糖尿病	diabetes; diabetes mellitus
施展	to use fully; to put to use
歪曲	to distort; to misrepresent
无偿	free; no charge; at no cost
馅儿	erhua variant of 餡|馅[xian4]
一目了然	obvious at a glance (idiom)
帐篷	tent; CL:頂|顶[ding3],座[zuo4]
遮挡	to shelter; to shelter from
珍稀	rare; precious and uncommon
指令	order; command; instruction
注释	variant of 注釋|注释[zhu4 shi4]
熬夜	to stay up late or all night
办事	to handle (affairs); to work
乡村	rustic; village; countryside
菜单	menu; CL:份[fen4],張|张[zhang1]
比重	proportion; specific gravity
不大	not very; not too; not often
房间	room; CL:間|间[jian1],個|个[ge4]
蛋糕	cake; CL:塊|块[kuai4],個|个[ge4]
今天	today; the present time; now
窗户	window; CL:個|个[ge4],扇[shan4]
成人	to reach adulthood; an adult
下午	afternoon; CL:個|个[ge4]; p.m.
重复	variant of 重複|重复[chong2 fu4]
打针	to give or have an injection
大使馆	embassy; CL:座[zuo4],個|个[ge4]
老师	teacher; CL:個|个[ge4],位[wei4]
个子	height; stature; build; size
春天	spring (season); CL:個|个[ge4]
衣服	clothes; CL:件[jian4],套[tao4]
电视机	television set; CL:臺|台[tai2]
仓库	depot; storehouse; warehouse
称号	name; term of address; title
或者	or; possibly; maybe; perhaps
再见	goodbye; see you again later
起床	to get out of bed; to get up
否则	otherwise; if not; or (else)
软柿子	(coll.) pushover; soft touch
工人	worker; CL:個|个[ge4],名[ming2]
别墅	villa; CL:幢[zhuang4],座[zuo4]
高速公路	expressway; highway; freeway
此刻	this moment; now; at present
好笑	laughable; funny; ridiculous
顾客	customer; client; CL:位[wei4]
船长	captain (of a boat); skipper
不可能	impossible; cannot; not able
家人	family member; (old) servant
步伐	pace; (measured) step; march
互相	each other; mutually; mutual
财政	finances (public); financial
起飞	(of an aircraft) to take off
何必	there is no need; why should
然后	then; after that; afterwards
公路	highway; road; CL:條|条[tiao2]
花生	peanut; groundnut; CL:粒[li4]
多样	diverse; diversity; manifold
图书馆	library; CL:家[jia1],個|个[ge4]
敞开	to open wide; unrestrictedly
镜子	mirror; CL:面[mian4],個|个[ge4]
新闻	news; CL:條|条[tiao2],個|个[ge4]
房价	house price; cost of housing
愤怒	angry; indignant; wrath; ire
理解	to comprehend; to understand
快餐	fast food; snack; quick meal
慌忙	in a great rush; in a flurry
关爱	to show concern and care for
接近	to approach; to get close to
金主	financial backer; bankroller
网友	online friend; Internet user
艰难	difficult; hard; challenging
档次	grade; class; quality; level
导弹	(guided) missile; CL:枚[mei2]
胶带	adhesive tape; magnetic tape
具体	concrete; specific; detailed
狮子	lion; CL:隻|只[zhi1],頭|头[tou2]
酒吧	bar; pub; saloon; CL:家[jia1]
决不	not at all; simply (can) not
气温	air temperature; CL:個|个[ge4]
同情	to sympathize with; sympathy
宽广	wide; broad; extensive; vast
动身	to go on a journey; to leave
金额	sum of money; monetary value
连接	to link; to join; to connect
推荐	to recommend; recommendation
零食	between-meal nibbles; snacks
犀利	sharp; incisive; penetrating
至少	at least; (to say the) least
模型	model; mold; matrix; pattern
体育场	stadium; CL:個|个[ge4],座[zuo4]
男女	male-female; male and female
因素	element; factor; CL:個|个[ge4]
人工智能	artificial intelligence (AI)
气体	gas (i.e. gaseous substance)
免得	so as not to; so as to avoid
账户	bank account; online account
俯视	to overlook; to look down at
内地	inland; interior; hinterland
沙子	sand; grit; CL:粒[li4],把[ba3]
善良	good and honest; kindhearted
上升	to rise; to go up; to ascend
倾向	trend; tendency; orientation
暑假	summer vacation; CL:個|个[ge4]
让座	to give up one's seat for sb
调皮	naughty; mischievous; unruly
率领	to lead; to command; to head
中小学	middle and elementary school
时装	fashion; fashionable clothes
航行	to sail; to fly; to navigate
武器	weapon; arms; CL:種|种[zhong3]
舞台	(lit. and fig.) stage; arena
宏伟	grand; imposing; magnificent
素质	inner quality; basic essence
卫星	satellite; moon; CL:顆|颗[ke1]
听取	to hear (news); to listen to
会晤	to meet; meeting; conference
衣架	clothes hanger; clothes rack
外科	surgery (branch of medicine)
微波炉	microwave oven; CL:臺|台[tai2]
坚韧	tough and durable; tenacious
幼儿园	kindergarten; nursery school
见解	opinion; view; understanding
男閨蜜	n. A woman’s male confidante
中部	middle part; central section
有力	powerful; forceful; vigorous
娇气	delicate; squeamish; finicky
原先	originally; original; former
唯一一个	the only one (wei2yi1yi2ge4)
子女	children; sons and daughters
在内	(included) in it; among them
进而	and then (what follows next)
音像	audio and video; audiovisual
远方	far away; a distant location
政党	political party; CL:個|个[ge4]
唠嗑	(dialect) to chat; to gossip
追究	to investigate; to look into
来历	history; antecedents; origin
理睬	to heed; to pay attention to
领悟	to understand; to comprehend
麻木	numb; insensitive; apathetic
茫然	blankly; vacantly; at a loss
神圣	divine; hallow; holy; sacred
荒郊	desolate area outside a town
欧美	Europe and America; the West
涮火锅	see 涮鍋子|涮锅子[shuan4 guo1 zi5]
条理	arrangement; order; tidiness
问世	to be published; to come out
无穷无尽	endless; boundless; infinite
贤惠	variant of 賢慧|贤慧[xian2 hui4]
摇摆	to sway; to wobble; to waver
意图	intent; intention; to intend
乐谱	a musical score; sheet music
岳母	wife's mother, mother-in-law
阻挠	to thwart; to obstruct (sth)
被迫	to be compelled; to be forced
长江	Yangtze River, or Chang Jiang
饱和	saturated; filled to capacity
答案	answer; solution; CL:個|个[ge4]
咖啡	coffee (loanword); CL:杯[bei1]
得到	to get; to obtain; to receive
不许	not to allow; must not; can't
重要	important; significant; major
促使	to prompt; to induce; to spur
护照	passport; CL:本[ben3],個|个[ge4]
尝试	to try; to attempt; CL:次[ci4]
等于	to equal; to be tantamount to
放假	to have a holiday or vacation
撤离	to withdraw from; to evacuate
繁荣	prosperous; booming (economy)
持有	to hold (passport, views etc)
思考	to reflect on; to ponder over
个人	individual; personal; oneself
运动员	athlete; CL:名[ming2],個|个[ge4]
大伙儿	erhua variant of 大伙[da4 huo3]
倒闭	to go bankrupt; to close down
说废话	to talk nonsense; to bullshit
获得	to obtain; to receive; to get
当选	to be elected; to be selected
电灯	electric light; CL:盞|盏[zhan3]
参谋	staff officer; to give advice
地形	topography; terrain; landform
当成	to consider as; to take to be
电力	electrical power; electricity
教材	teaching material; CL:本[ben3]
夫人	lady; madam; Mrs.; CL:位[wei4]
发放	to provide; to give; to grant
反响	repercussions; reaction; echo
游戏	game; CL:場|场[chang3]; to play
看不起	to look down upon; to despise
工作日	workday; working day; weekday
进入	to enter; to join; to go into
自行车	bicycle; bike; CL:輛|辆[liang4]
炸毛	v. Explode+hair. To flip out.
高手	expert; past master; dab hand
车来了	The bus/ taxi/ train is here.
观光	to tour; sightseeing; tourism
会谈	talks; discussions; CL:次[ci4]
平静	tranquil; undisturbed; serene
热心	enthusiastic; ardent; zealous
人类	humanity; human race; mankind
善于	to be good at; to be adept at
吉利	auspicious; lucky; propitious
吉祥	lucky; auspicious; propitious
洗剪吹	shampoo, haircut and blow-dry
果粉	(slang) fan of Apple products
雕刻	to carve; to engrave; carving
一下儿	erhua variant of 一下[yi1 xia4]
教堂	church; chapel; CL:間|间[jian1]
节能	to save energy; energy-saving
取得	to acquire; to get; to obtain
全年	the whole year; all year long
例外	exception; to be an exception
楼梯	stair; staircase; CL:個|个[ge4]
正确	correct; sound; right; proper
看作	to look upon as; to regard as
显然	clearly; evidently; obviously
繁体字	traditional Chinese character
送给	to send; to give as a present
年底	the end of the year; year-end
难得	seldom; rare; hard to come by
飞翔	to circle in the air; to soar
悠久	long (tradition, history etc)
器官	(physiology) organ; apparatus
人士	person; figure; public figure
深入	to penetrate deeply; thorough
总之	in a word; in short; in brief
各抒己见	everyone gives their own view
公然	openly; publicly; undisguised
神奇	magical; mystical; miraculous
手指	finger; CL:個|个[ge4],隻|只[zhi1]
取款	to withdraw money from a bank
时机	opportunity; opportune moment
股份	a share (in a company); stock
热线	hotline (communications link)
孙女	son's daughter; granddaughter
会议室	meeting room; conference room
规格	standard; norm; specification
中级	middle level (in a hierarchy)
宏观	macro-; macroscopic; holistic
特快	express (train, delivery etc)
修改	to amend; to alter; to modify
鲜艳	bright-colored; gaily-colored
级别	(military) rank; level; grade
鸭子	duck; male prostitute (slang)
一下儿	erhua variant of 一下[yi1 xia4]
协助	to provide assistance; to aid
意味着	to signify; to mean; to imply
游泳池	swimming pool; CL:場|场[chang3]
浸泡	to steep; to soak; to immerse
局势	situation; state (of affairs)
恐惧	to be frightened; fear; dread
中华	China (alternate formal name)
款式	elegant; elegance; good taste
列举	a list; to list; to enumerate
种族歧视	racial discrimination; racism
盆地	(geography) basin; depression
气概	lofty quality; mettle; spirit
付水电费	Pay water and electricity fee
山脉	mountain range; CL:條|条[tiao2]
施加	to exert (effort or pressure)
鱼缸	fish tank; fishbowl; aquarium
体裁	genre; style; form of writing
田野	field; open land; CL:片[pian4]
玩意儿	erhua variant of 玩意[wan2 yi4]
挽救	to save; to remedy; to rescue
畏惧	to fear; to dread; foreboding
误差	difference; error; inaccuracy
嫌疑	suspicion; to have suspicions
现成	ready-made; readily available
欣欣向荣	(idiom) flourishing; thriving
悬殊	vastly different; poles apart
遗留	to leave behind; to hand down
盈利	profit; gain; to make profits
沼泽	marsh; swamp; wetlands; glade
正月	first month of the lunar year
传记	biography; CL:篇[pian1],部[bu4]
着重	to put emphasis on; to stress
总而言之	in short; in a word; in brief
安全	safe; secure; safety; security
必然	inevitable; certain; necessity
如果	if; in case; in the event that
变更	to change; to alter; to modify
博览会	exposition; international fair
彻底	thorough; thoroughly; complete
眼睛	eye; CL:隻|只[zhi1],雙|双[shuang1]
沉重	heavy; hard; serious; critical
逼迫	to force; to compel; to coerce
汉语	Chinese language; CL:門|门[men2]
皮肤	skin; CL:層|层[ceng2],塊|块[kuai4]
电池	battery; CL:節|节[jie2],組|组[zu3]
道路	road; path; way; CL:條|条[tiao2]
炒股	(coll.) to speculate in stocks
充足	adequate; sufficient; abundant
付款	to pay a sum of money; payment
节日	holiday; festival; CL:個|个[ge4]
肥皂	soap; CL:塊|块[kuai4],條|条[tiao2]
导演	to direct; director (film etc)
好玩儿	erhua variant of 好玩[hao3 wan2]
裤子	trousers; pants; CL:條|条[tiao2]
电视剧	TV series; TV drama; CL:部[bu4]
历史	history; CL:門|门[men2],段[duan4]
处长	department head; section chief
捕捉	to catch; to seize; to capture
元氣	n. Vigor, strength, enthusiasm
从没	never (in the past); never did
合适	suitable; fitting; appropriate
感到	to feel; to sense; to perceive
盘子	tray; plate; dish; CL:個|个[ge4]
国庆节	PRC National Day (October 1st)
亲自	personally; in person; oneself
既然	since; as; this being the case
家具	furniture; CL:件[jian4],套[tao4]
恶心	bad habit; vicious habit; vice
好多	many; quite a lot; much better
电器	(electrical) appliance; device
定价	to set a price; to fix a price
禁止	to prohibit; to forbid; to ban
男孩儿	erhua variant of 男孩[nan2 hai2]
惩罚	penalty; punishment; to punish
仿佛	to seem; as if; alike; similar
女孩儿	erhua variant of 女孩[nu:3 hai2]
凉快	nice and cold; pleasantly cool
红茶	black tea; CL:杯[bei1],壺|壶[hu2]
最后	final; last; finally; ultimate
刚好	just; exactly; to happen to be
外国	foreign (country); CL:個|个[ge4]
外语	foreign language; CL:門|门[men2]
球迷	fan (ball sports); CL:個|个[ge4]
防晒霜	suntan lotion; sunscreen cream
当面	to sb's face; in sb's presence
看望	to pay a visit to; to see (sb)
尾巴	tail; colloquial pr. [yi3 ba5]
码头	dock; pier; wharf; CL:個|个[ge4]
目前	at the present time; currently
贩卖	to sell; to peddle; to traffic
难以	hard to (predict, imagine etc)
