癌症	/cancer/
揭露	/to expose/to unmask/to ferret out/to disclose/disclosure/
节奏	/rhythm/tempo/musical pulse/cadence/beat/
节制	/to control/to restrict/to moderate/to temper/moderation/sobriety/to administer/
杰出	/outstanding/distinguished/remarkable/prominent/illustrious/
结晶	/to crystallize/crystallization/crystal/crystalline/(fig.) the fruit (of labor etc)/
结局	/conclusion/ending/
结算	/to settle a bill; to close an account/
竭尽全力	/to spare no effort (idiom); to do one's utmost/
截至	/up to (a time)/by (a time)/
截止	/to close/to stop/to put a stop to sth/cut-off point/stopping point/deadline/
解除	/to remove/to sack/to get rid of/to relieve (sb of their duties)/to free/to lift (an embargo)/to rescind (an agreement)/
解放	/to liberate/to emancipate/liberation/refers to the Communists' victory over the Nationalists in 1949/CL:次[ci4]/
解雇	/to fire/to sack/to dismiss/to terminate employment/
解剖	/to dissect (an animal)/to analyze/anatomy/
解散	/to dissolve/to disband/
解体	/to break up into components/to disintegrate/to collapse/to crumble/
借鉴	/to draw on (others' experience)/to learn from (how others do things)/lesson to be learned (by observing others)/
借助	/to draw support from/with the help of/
戒备	/to take precautions/to guard against (emergency)/
界限	/boundary/
津津有味	/with keen interest (idiom)/with great pleasure/with gusto/eagerly/
金融	/banking/finance/financial/
紧迫	/pressing/urgent/
锦上添花	/lit. add flowers to brocade (idiom)/fig. to give sth additional splendor/to provide the crowning touch/(derog.) to benefit sb who is already well off/
进而	/and then (what follows next)/
进攻	/to attack/to assault/to go on the offensive/attack/assault/offense (sports)/
进化	/evolution/CL:個|个[ge4]/
进展	/to make headway; to make progress/
近来	/recently/lately/
浸泡	/to steep/to soak/to immerse/
晋升	/to promote to a higher position/
精打细算	/meticulous planning and careful accounting (idiom)/
精华	/best feature/most important part of an object/quintessence/essence/soul/
精简	/to simplify/to reduce/
精密	/accuracy/exact/precise/refined/
精确	/accurate; precise/
精通	/to be proficient in/to master (a subject)/
精心	/with utmost care/fine/meticulous/detailed/
精益求精	/(idiom) to constantly seek to improve; to keep perfecting/
精致	/delicate; fine; exquisite; refined/
经费	/funds/expenditure/CL:筆|笔[bi3]/
经纬	/warp and woof/longitude and latitude/main points/
惊动	/to alarm/to startle/to disturb/
惊奇	/to be amazed/to be surprised/to wonder/
惊讶	/amazed/astonished/to surprise/amazing/astonishment/awe/
兢兢业业	/(idiom) conscientious/assiduous/
警告	/to warn/to admonish/
警惕	/to be on the alert/vigilant/alert/on guard/to warn/
颈椎	/cervical vertebra/the seven cervical vertebrae in the neck of humans and most mammals/
敬礼	/to salute/salute/
敬业	/dedicated to one's work/
境界	/boundary/state/realm/
竞赛	/to compete; to race/contest; competition; match; race/
竞选	/to take part in an election/to run for office/
镜头	/camera lens/camera shot (in a movie etc)/scene/
纠纷	/dispute/
纠正	/to correct/to make right/
酒精	/alcohol/ethanol CH3CH2OH/ethyl alcohol/also written 乙醇/grain alcohol/
救济	/emergency relief/to help the needy with cash or goods/
就近	/nearby/in a close neighborhood/
就业	/to get a job/employment/
就职	/to take office; to assume a post/
鞠躬	/to bow/(literary) to bend down/
拘留	/to detain (a prisoner)/to keep sb in custody/
拘束	/to restrict/to restrain/constrained/awkward/ill at ease/uncomfortable/reticent/
居民	/resident; inhabitant/
居住	/to reside/to dwell/to live in a place/resident in/
局部	/part/local/
局面	/aspect/phase/situation/
局势	/situation/state (of affairs)/
局限	/to limit/to confine/to restrict sth within set boundaries/
举动	/act/action/activity/move/movement/
举世瞩目	/to receive worldwide attention/
举足轻重	/to play a critical role (idiom)/influential/
咀嚼	/to chew/to think over/
沮丧	/dispirited/dejected/dismayed/
剧本	/script for play, opera, movie etc/screenplay/scenario/
剧烈	/violent; acute; severe; fierce/
聚精会神	/to concentrate one's attention (idiom)/
据悉	/according to reports/it is reported (that)/
决策	/strategic decision/decision-making/policy decision/to determine policy/
觉悟	/to come to understand/to realize/consciousness/awareness/Buddhist enlightenment (Sanskrit: cittotpāda)/
觉醒	/to awaken/to come to realize/awakened to the truth/the truth dawns upon one/scales fall from the eyes/to become aware/
绝望	/to despair/to give up all hope/desperate/desperation/
倔强	/stubborn; obstinate; unbending/
军队	/armed forces; troops/CL:支[zhi1],個|个[ge4]/
君子	/nobleman/person of noble character/
卡通	/cartoon (loanword)/
开采	/to extract (ore or other resource from a mine)/to exploit/to mine/
开除	/to expel (a member of an organization)/to fire (an employee)/
开阔	/wide/open (spaces)/to open up/
开朗	/spacious and well-lit/open and clear/(of character) optimistic/cheerful/carefree/
开明	/enlightened/open-minded/enlightenment/
开辟	/to open up/to set up/to establish/
开拓	/to break new ground (for agriculture)/to open up (a new seam)/to develop (border regions)/fig. to open up (new horizons)/
开展	/to launch/to develop/to unfold/(of an exhibition etc) to open/
开支	/expenditures; expenses (CL:筆|笔[bi3], 項|项[xiang4])/to spend money/(coll.) to pay wages/
刊登	/to carry a story/to publish (in a newspaper or magazine)/
刊物	/publication/
勘探	/to explore/to survey/to prospect (for oil etc)/prospecting/
砍伐	/to hew/to cut down/
侃侃而谈	/to speak frankly with assurance/
看待	/to look upon; to regard/
慷慨	/vehement; fervent/generous; magnanimous/
抗议	/to protest/protest/
考察	/to inspect/to observe and study/on-the-spot investigation/
考古	/archaeology/
考核	/to examine/to check up on/to assess/to review/appraisal/review/evaluation/
考验	/to test/to put to the test/trial/ordeal/
靠拢	/to draw close to/
科目	/academic subject/field of study/
渴望	/to thirst for/to long for/
可观	/considerable/impressive/significant/
可口	/tasty; to taste good/
可恶	/repulsive/vile/hateful/abominable/
可行	/feasible/
刻不容缓	/to brook no delay/to demand immediate action/
课题	/task/problem/issue/
克制	/to restrain/to control/restraint/self-control/
客户	/client/customer/
恳切	/earnest/sincere/
空洞	/cavity/empty/vacuous/
空前绝后	/unprecedented and never to be duplicated/the first and the last/unmatched/unique/
空想	/daydream/fantasy/to fantasize/
空虚	/hollow/emptiness/meaningless/
恐怖	/terrible/frightful/frightening/terror/terrorist/
恐吓	/to threaten/to menace/
恐惧	/to be frightened/fear/dread/
空白	/blank space/
空隙	/crack/gap between two objects/gap in time between two events/
口气	/tone of voice/the way one speaks/manner of expression/tone/
口腔	/oral cavity/
口头	/oral/verbal/
口音	/voice/accent/
哭泣	/to weep/
枯燥	/dry and dull; uninteresting; tedious/
枯萎	/to wilt/to wither/wilted/withered/drained/enervated/exhausted/
苦涩	/bitter and astringent/pained/agonized/
苦尽甘来	/bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning/
快活	/happy/cheerful/
宽敞	/spacious/wide/
宽容	/lenient/tolerant/indulgent/charitable/to forgive/
款待	/to entertain/to be hospitable to/
款式	/elegant/elegance/good taste/
旷课	/to play truant/to cut classes/
框架	/(construction) frame/(fig.) framework/
况且	/moreover/besides/in addition/furthermore/
矿产	/minerals/
亏待	/to treat sb unfairly/
亏损	/deficit/(financial) loss/
捆绑	/to bind/
扩充	/to expand/
扩散	/to spread; to proliferate; to diffuse/
扩张	/expansion/dilation/to expand (e.g. one's power or influence)/to broaden/
喇叭	/horn (automobile etc)/loudspeaker/brass wind instrument/trumpet/suona 鎖吶|锁呐[suo3 na4]/
蜡烛	/candle/CL:根[gen1],支[zhi1]/
来历	/history/antecedents/origin/
来源	/source (of information etc)/origin/
栏目	/regular column or segment (in a publication or broadcast program)/program (TV or radio)/
懒惰	/idle/lazy/
狼狈	/in a difficult situation/to cut a sorry figure/scoundrel! (derog.)/
狼吞虎咽	/to wolf down one's food (idiom); to devour ravenously/to gorge oneself/
唠叨	/to prattle/to chatter away/to nag/garrulous/nagging/
牢固	/firm/secure/
牢骚	/discontent/complaint/to complain/
乐趣	/delight; pleasure; joy/
乐意	/to be willing to do sth/to be ready to do sth/to be happy to do sth/content/satisfied/
雷达	/radar (loanword)/
类似	/similar; analogous/
冷酷	/unfeeling; callous/
冷却	/to cool (lit. and fig.)/
冷落	/desolate/unfrequented/to treat sb coldly/to snub/to cold shoulder/
黎明	/dawn; daybreak/
里程碑	/milestone/
礼节	/etiquette/
礼尚往来	/lit. proper behavior is based on reciprocity (idiom)/fig. to return politeness for politeness/
理睬	/to heed/to pay attention to/
理所当然	/as it should be by rights (idiom); proper and to be expected as a matter of course/inevitable and right/
理直气壮	/in the right and self-confident (idiom); bold and confident with justice on one's side/to have the courage of one's convictions/just and forceful/
理智	/reason/intellect/rationality/rational/
立场	/position/standpoint/CL:個|个[ge4]/
立方	/cube (math.)/abbr. for 立方體|立方体[li4 fang1 ti3]/abbr. for 立方米[li4 fang1 mi3]/
立交桥	/overpass/flyover/
立体	/three-dimensional/solid/stereoscopic/
立足	/to stand/to have a footing/to be established/to base oneself on/
历代	/successive generations/successive dynasties/past dynasties/
历来	/always/throughout (a period of time)/(of) all-time/
利害	/terrible/formidable/serious/devastating/tough/capable/sharp/severe/fierce/
力所能及	/as far as one's capabilities extend (idiom); to the best of one's ability/within one's powers/
力争	/to work hard for/to do all one can/to contend strongly/
力求	/to make every effort to/striving to do one's best/
例外	/exception/to be an exception/
连年	/successive years/over many years/
连锁	/to interlock/to be linked/chain (store etc)/
连同	/together with/along with/
联欢	/to have a get-together/celebration/party/
联络	/to get in touch with/to contact/to stay in contact (with)/liaison/(math.) connection/
联盟	/alliance/union/coalition/
联想	/to associate (cognitively)/to make an associative connection/mental association/word prediction and auto-complete functions of input method editing programs/
廉洁	/incorruptible; unbribable; honest/
良心	/conscience/
谅解	/to understand/to make allowances for/understanding/
辽阔	/vast; extensive/
列举	/a list/to list/to enumerate/
临床	/clinical/
吝啬	/stingy; mean; miserly/
零星	/fragmentary/random/bits and pieces/sporadic/
凌晨	/very early in the morning/in the wee hours/
灵感	/inspiration/insight/a burst of creativity in scientific or artistic endeavor/
灵魂	/soul/spirit/
灵敏	/smart/clever/sensitive/keen/quick/sharp/
伶俐	/clever; witty; intelligent/
领会	/to understand/to comprehend/to grasp/
领事馆	/consulate/
领土	/territory/
领悟	/to understand/to comprehend/
领先	/to lead/to be in front/
领袖	/leader/
留恋	/reluctant to leave/to hate to have to go/to recall fondly/
留念	/to keep as a souvenir/to recall fondly/
留神	/to take care/to be careful/
流浪	/to drift about/to wander/to roam/nomadic/homeless/unsettled (e.g. population)/vagrant/
流露	/to reveal (indirectly, implicitly)/to show (interest, contempt etc) by means of one's actions, tone of voice etc/
流氓	/rogue/hoodlum/gangster/immoral behavior/
流通	/to circulate; to distribute/circulation; distribution/
聋哑	/deaf and nonverbal/
隆重	/grand/prosperous/ceremonious/solemn/
垄断	/to monopolize/
笼罩	/to envelop/to shroud/
炉灶	/stove/
轮船	/steamship; steamer; steamboat/CL:艘[sou1]/
轮廓	/outline; silhouette/
轮胎	/tire; pneumatic tire/
论坛	/forum (for discussion)/
论证	/to prove a point/to expound on/to demonstrate or prove (through argument)/proof/
啰唆	/variant of 囉嗦|啰嗦[luo1 suo5]/
落成	/to complete a construction project/
落实	/practical/workable/to implement/to carry out/to decide/
络绎不绝	/(idiom) continuously; in an endless stream/
屡次	/repeatedly/time and again/
履行	/to fulfill (one's obligations)/to carry out (a task)/to implement (an agreement)/to perform/
掠夺	/to plunder/to rob/
麻痹	/paralysis/palsy/numbness/to benumb/(fig.) to lull/negligent/apathetic/
麻木	/numb/insensitive/apathetic/
麻醉	/anesthesia/to anesthetize; (fig.) to corrupt (sb's mind); to enervate; to numb the mind (to escape from harsh reality)/
码头	/dock/pier/wharf/CL:個|个[ge4]/
蚂蚁	/ant/
埋伏	/to ambush/to lie in wait for/to lie low/ambush/
埋没	/to engulf/to bury/to overlook/to stifle/to neglect/to fall into oblivion/
埋葬	/to bury/
脉搏	/pulse (both medical and figurative)/
埋怨	/to complain/to grumble (about)/to reproach/to blame/
慢性	/slow and patient/chronic (disease)/slow to take effect (e.g. a slow poison)/
漫长	/very long/endless/
漫画	/caricature/cartoon/Japanese manga/
蔓延	/to extend/to spread/
忙碌	/busy; bustling/
茫茫	/boundless/vast and obscure/
茫然	/blankly/vacantly/at a loss/
盲目	/blind/blindly/ignorant/lacking understanding/
冒充	/to feign/to pretend to be/to pass oneself off as/
冒犯	/to offend/
茂盛	/lush/
媒介	/intermediary/vehicle/vector/medium/media/
美观	/pleasing to the eye/beautiful/artistic/
美满	/happy/blissful/
美妙	/beautiful/wonderful/splendid/
萌芽	/to sprout (lit. or fig.)/to bud/to germinate/germ/seed/bud/
猛烈	/fierce; violent; vigorous; intense/
弥补	/to complement/to make up for a deficiency/
弥漫	/variant of 彌漫|弥漫[mi2 man4]/
迷惑	/to puzzle/to confuse/to baffle/
迷人	/fascinating/enchanting/charming/tempting/
迷信	/superstition/to have a superstitious belief (in sth)/
谜语	/riddle/conundrum/CL:條|条[tiao2]/
密度	/density/thickness/
密封	/to seal up/
棉花	/cotton/
免得	/so as not to; so as to avoid/
免疫	/immunity (to disease)/
勉励	/to encourage/
勉强	/to do with difficulty/to force sb to do sth/reluctant/barely enough/
面貌	/face; features/appearance; look/CL:個|个[ge4]/
面子	/(medicinal) powder/
描绘	/to describe; to depict; to portray/
瞄准	/to take aim at; to target/
渺小	/minute/tiny/negligible/insignificant/
藐视	/to despise/to look down on/
蔑视	/to loathe/to despise/contempt/
灭亡	/to be destroyed; to become extinct; to perish; to die out/to destroy; to exterminate/
民间	/among the people/popular/folk/non-governmental/involving people rather than governments/
民主	/democracy/
敏捷	/nimble/quick/shrewd/
敏锐	/keen; sharp; acute/
明明	/obviously/plainly/undoubtedly/definitely/
明智	/sensible/wise/judicious/sagacious/
名次	/position in a ranking of names/place/rank/
名额	/quota/number of places/place (in an institution, a group etc)/
名副其实	/not just in name only, but also in reality (idiom)/aptly named/worthy of the name/
名誉	/fame/reputation/honor/honorary/emeritus (of retired professor)/
命名	/to give a name to/to dub/to christen/to designate/named after/naming/
摸索	/to feel about/to grope about/to fumble/to do things slowly/
摩擦	/friction/rubbing/chafing/fig. disharmony/conflict/also written 磨擦/
磨合	/to break in/to wear in/
模范	/model/fine example/
模式	/mode/method/pattern/
模型	/model/mold/matrix/pattern/
魔鬼	/devil/
魔术	/magic/
抹杀	/to erase/to cover traces/to obliterate evidence/to expunge/to blot out/to suppress/
莫名其妙	/(idiom) baffling; bizarre; without rhyme or reason; inexplicable/
默默	/in silence; not speaking/
墨水儿	/erhua variant of 墨水[mo4 shui3]/
谋求	/to seek; to strive for/
模样	/look/style/appearance/approximation/about/CL:個|个[ge4]/also pr. [mo2 yang4]/
母语	/native language/mother tongue/(linguistics) parent language/
目睹	/to witness/to see at first hand/to see with one's own eyes/
目光	/gaze; (fig.) attention/expression in one's eyes; look/(lit. and fig.) sight; vision/
沐浴	/to take a bath/to bathe/to immerse/
拿手	/expert in/good at/
纳闷儿	/erhua variant of 納悶|纳闷[na4 men4]/
耐用	/durable/
南辕北辙	/to act in a way that defeats one's purpose (idiom)/
难得	/seldom/rare/hard to come by/
难堪	/hard to take/embarrassed/
难能可贵	/rare and precious/valuable/remarkable/
恼火	/annoyed; riled; vexed/
内涵	/meaningful content/implication/(semantics) connotation/inner qualities (of a person)/
内幕	/inside story/non-public information/behind the scenes/internal/
内在	/inner/internal/intrinsic/innate/
能量	/energy/capabilities/
拟定	/to draw up/to draft/to formulate/
逆行	/to go the wrong way/to go against one-way traffic regulation/
年度	/year (e.g. school year, fiscal year)/annual/
凝固	/to freeze/to solidify/to congeal/fig. with rapt attention/
凝聚	/to condense/to coagulate/coacervation (i.e. form tiny droplets)/aggregation/coherent/
凝视	/to gaze at/to fix one's eyes on/
宁肯	/would rather.../it would be better.../would prefer/
宁愿	/would rather ... (than ...)/
纽扣儿	button
扭转	/to reverse/to turn around (an undesirable situation)/(mechanics) torsion/
浓厚	/dense/thick (fog, clouds etc)/to have a strong interest in/deep/fully saturated (color)/
农历	/the traditional Chinese calendar/the lunar calendar/
奴隶	/slave/
虐待	/to mistreat/to maltreat/to abuse/mistreatment/maltreatment/
殴打	/to beat up/to come to blows/battery (law)/
偶像	/idol/
呕吐	/to vomit/
排斥	/to reject/to exclude/to eliminate/to remove/to repel/
排除	/to eliminate/to remove/to exclude/to rule out/
排练	/to rehearse/rehearsal/
排放	/to arrange in order/to emit; to discharge (exhaust gas, waste water etc)/(of animals) to ovulate; to discharge semen/
徘徊	/to pace back and forth/to dither; to hesitate/(of sales figures etc) to fluctuate/
派别	/group; sect; clique; faction; school/
派遣	/to send (on a mission); to dispatch/
攀登	/to climb/to pull oneself up/to clamber/to scale/fig. to forge ahead in the face of hardships and danger/
盘旋	/to spiral/to circle/to go around/to hover/to orbit/
判决	/judgment (by a court of law)/to pass judgment on/to sentence/
庞大	/huge; enormous; tremendous/
抛弃	/to abandon/to discard/to renounce/to dump (sb)/
泡沫	/foam/(soap) bubble/(economic) bubble/
培育	/to train/to breed/
配备	/to allocate/to provide/to outfit with/
配偶	/spouse/
配套	/to form a complete set/compatible/matching/complementary/
盆地	/(geography) basin/depression/
烹饪	/cooking; culinary arts/
批发	/wholesale/bulk trade/distribution/
批判	/to criticize/critique/CL:個|个[ge4]/
疲惫	/beaten/exhausted/tired/
疲倦	/to tire/tired/
皮革	/leather/CL:張|张[zhang1]/
屁股	/buttocks/bottom/butt/back part/
譬如	/for example/for instance/such as/
偏差	/bias/deviation/
偏见	/prejudice/bias/
偏僻	/remote/desolate/far from the city/
偏偏	/(indicating that sth turns out just the opposite of what one would wish) unfortunately; as it happened/(indicating that sth is the opposite of what would be normal or reasonable) stubbornly; contrarily; against reason/(indicating that sb or a group is singled out) precisely; only; of all people/
片断	/section/fragment/segment/
片刻	/short period of time/a moment/
飘扬	/to wave/to flutter/to fly/
漂浮	/to float/to hover/to drift (also fig., to lead a wandering life)/to rove/showy/superficial/
拼搏	/to struggle/to wrestle/
拼命	/to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it/
频繁	/frequently/often/
频率	/frequency/
贫乏	/impoverished/lacking/deficient/limited/meager/impoverishment/lack/deficiency/
贫困	/impoverished/poverty/
品尝	/to taste a small amount/to sample/
品德	/moral character/
品质	/character/intrinsic quality (of a person)/quality (of a product or service, or as in "quality of life", "air quality" etc)/
品种	/breed/variety/CL:個|个[ge4]/
平凡	/commonplace/ordinary/mediocre/
平面	/plane (flat surface)/print media/
平坦	/level/even/smooth/flat/
平行	/parallel/of equal rank/simultaneous/
平原	/field/plain/CL:個|个[ge4]/
平庸	/mediocre/indifferent/commonplace/
评估	/to evaluate/to assess/assessment/evaluation/
评论	/to comment on/to discuss/comment/commentary/CL:篇[pian1]/
屏障	/barrier/
屏幕	/screen (TV, computer or movie)/
破例	/to make an exception/
迫不及待	/impatient (idiom); in a hurry/itching to get on with it/
迫害	/to persecute/
魄力	/courage/daring/boldness/resolution/drive/
普及	/to spread extensively/to generalize/widespread/popular/universal/ubiquitous/pervasive/
朴实	/plain/simple/guileless/down-to-earth/sincere and honest/
朴素	/plain and simple/unadorned/simple living/not frivolous/
瀑布	/waterfall/
期望	/to have expectations/to earnestly hope/expectation/hope/
期限	/time limit/deadline/allotted time/
欺负	/to bully/
欺骗	/to deceive/to cheat/
凄凉	/desolate (place)/
奇妙	/fantastic; wonderful/
旗袍	/Chinese-style dress/cheongsam/
旗帜	/ensign/flag/
齐全	/complete/comprehensive/
齐心协力	/to work with a common purpose (idiom); to make concerted efforts/to pull together/to work as one/
歧视	/to discriminate against/discrimination/
起草	/to make a draft/to draw up (plans)/
起初	/originally; at first; at the outset/
起伏	/to move up and down/to undulate/ups and downs/
起哄	/to heckle/rowdy jeering/to create a disturbance/
起码	/at the minimum; at the very least/
起源	/origin/to originate/to come from/
启程	/to set out on a journey/
启示	/to reveal/to enlighten/enlightenment/revelation/illumination/moral (of a story etc)/lesson/
启事	/announcement (written, on billboard, letter, newspaper or website)/to post information/a notice/
启蒙	/to instruct the young/to initiate/to awake sb from ignorance/to free sb from prejudice or superstition/primer/enlightened/the Enlightenment/Western learning from the late Qing dynasty/
乞丐	/beggar/
企图	/to attempt/to try/attempt/CL:種|种[zhong3]/
岂有此理	/how can this be so? (idiom); preposterous/ridiculous/absurd/
器材	/equipment/material/
器官	/(physiology) organ; apparatus/
气概	/lofty quality/mettle/spirit/
气功	/qigong, a traditional Chinese system of cultivating vital energy 氣|气[qi4] through coordinated breathing, movement and meditation/
气魄	/spirit/boldness/positive outlook/imposing attitude/
气色	/complexion/
气势	/imposing manner/loftiness/grandeur/energetic looks/vigor/
气味	/odor; scent/
气象	/meteorological feature/CL:個|个[ge4]/meteorology/atmosphere/ambience/scene/
气压	/atmospheric pressure/barometric pressure/
气质	/personality traits; temperament; disposition/aura; air; feel; vibe/refinement; sophistication; class/
迄今为止	/so far/up to now/still (not)/
恰当	/appropriate/suitable/
恰到好处	/it's just perfect/it's just right/
恰巧	/by chance; as chance would have it/
洽谈	/to discuss/
牵扯	/to involve; to implicate/to be interrelated/
牵制	/to control/to curb/to restrict/to impede/to pin down (enemy troops)/
千方百计	/lit. thousand ways, a hundred plans (idiom); by every possible means/
签署	/to sign (an agreement)/
迁就	/to yield to; to adapt to; to accommodate oneself to (sth)/
迁徙	/to migrate/to move/
谦逊	/humble/modest/unpretentious/modesty/
前景	/foreground/vista/(future) prospects/perspective/
前提	/premise/precondition/prerequisite/
潜力	/potential; latent capacity/
潜水	/to dive/to go under water/(in an online forum) to lurk/
潜移默化	/imperceptible influence/to influence secretly/
谴责	/to denounce/to condemn/to criticize/condemnation/criticism/
强制	/to force; to compel; to coerce/forced; compulsory/Taiwan pr. [qiang3 zhi4]/
抢劫	/to rob/looting/
抢救	/to rescue/
强迫	/to compel/to force/
桥梁	/bridge (lit. and fig.)/
窍门	/a trick/an ingenious method/know-how/the knack (of doing sth)/
锲而不舍	/to chip away at a task and not abandon it (idiom); to chisel away at sth/to persevere/unflagging efforts/
切实	/feasible/realistic/practical/earnestly/conscientiously/
亲密	/intimate/close/
亲热	/affectionate; intimate; warmhearted/to show affection for/(coll.) to get intimate with sb/
侵犯	/to infringe on/to encroach on/to violate/to assault/
侵略	/to invade/invasion/
钦佩	/to admire/to look up to/to respect sb greatly/
勤俭	/hardworking and frugal/
勤劳	/hardworking/industrious/diligent/
清澈	/clear; limpid/
清晨	/early morning/
清除	/to clear away/to eliminate/to get rid of/
清洁	/clean/to clean/
清理	/to clear up/to tidy up/to dispose of/
清晰	/clear; distinct/
清醒	/clear-headed/sober/awake/
清真	/Islamic/Muslim/halal (of food)/clean/pure/
倾听	/to listen attentively/
倾向	/trend/tendency/orientation/
倾斜	/to incline/to lean/to slant/to slope/to tilt/
晴朗	/sunny and cloudless/
情报	/information; intelligence/
情节	/circumstances/plot; storyline/
情理	/reason/sense/
情形	/circumstances/situation/CL:個|个[ge4]/
请柬	/invitation card/written invitation/
请教	/to ask for guidance/to consult/
请示	/to ask for instructions/
请帖	/invitation card/written invitation/
丘陵	/hills/
区分	/to differentiate/to draw a distinction/to divide into categories/
区域	/area/region/district/
屈服	/to surrender/to succumb/to yield/(as a transitive verb) to defeat/to prevail over/
曲折	/winding/(fig.) complicated/
驱逐	/to expel/to deport/banishment/
渠道	/irrigation ditch/(fig.) channel/means/
取缔	/to suppress; to crack down on; to prohibit/
曲子	/poem for singing/tune/music/CL:支[zhi1]/
趣味	/fun; interest; delight/taste; liking; preference/
圈套	/trap; snare; trick/
全局	/overall situation/
全力以赴	/to do at all costs/to make an all-out effort/
权衡	/to consider/to weigh (a matter)/to balance (pros and cons)/
权威	/authority/authoritative/power and prestige/
拳头	/fist/clenched fist/CL:個|个[ge4]/competitive (product)/
缺口	/nick/jag/gap/shortfall/
缺席	/to be absent/
缺陷	/defect; flaw/
确保	/to ensure; to guarantee/
确立	/to establish/to institute/
确切	/definite/exact/precise/
确信	/to be convinced/to be sure/to firmly believe/to be positive that/definite news/
群众	/mass/multitude/the masses/
让步	/to concede/to give in/to yield/a concession/(linguistics) concessive/
饶恕	/to forgive/to pardon/to spare/
扰乱	/to disturb/to perturb/to harass/
惹祸	/to stir up trouble/to invite disaster/
热泪盈眶	/eyes brimming with tears of excitement (idiom)/extremely moved/
热门	/popular; hot; in vogue/
人道	/human sympathy/humanitarianism/humane/the "human way", one of the stages in the cycle of reincarnation (Buddhism)/sexual intercourse/
人格	/personality/integrity/dignity/
人工	/artificial/manpower/manual work/
人家	/other people/sb else/he, she or they/I, me (referring to oneself as "one" or "people")/
人间	/the human world/the earth/
人士	/person/figure/public figure/
人为	/artificial/man-made/having human cause or origin/human attempt or effort/
人性	/human nature/humanity/human/the totality of human attributes/
人质	/hostage/
仁慈	/benevolent/charitable/kind/kindly/kindness/merciful/
忍耐	/to endure/to bear with/to exercise patience/to restrain oneself/patience/endurance/
忍受	/to bear; to endure/
认定	/to maintain (that sth is true)/to determine (a fact)/determination (of an amount)/of the firm opinion/to believe firmly/to set one's mind on/to identify with/
认可	/to approve/approval/acknowledgment/OK/
任命	/to appoint/(job) appointment/CL:紙|纸[zhi3]/
任性	/willful/headstrong/unruly/
任意	/any/arbitrary/at will/at random/
任重道远	/a heavy load and a long road/fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)/
仍旧	/still (remaining)/to remain (the same)/yet/
日新月异	/daily renewal, monthly change (idiom)/every day sees new developments/rapid progress/
日益	/day by day/more and more/increasingly/more and more with each passing day/
融化	/to melt/to thaw/to dissolve/to blend into/to combine/to fuse/
融洽	/harmonious/friendly relations/on good terms with one another/
溶解	/to dissolve/
容貌	/one's appearance/one's aspect/looks/features/
容纳	/to hold/to contain/to accommodate/to tolerate (different opinions)/
容器	/receptacle/vessel/(computing) container/
容忍	/to put up with/to tolerate/
荣幸	/honored (to have the privilege of ...)/
荣誉	/honor/credit/glory/(honorable) reputation/honorary/
柔和	/gentle/soft/
儒家	/Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC)/
弱点	/weak point/failing/
若干	/a certain number or amount/how many?/how much?/
撒谎	/to tell lies/
散文	/prose/essay/
散布	/to disseminate/
散发	/to distribute/to emit/to issue/
丧失	/to lose/to forfeit/
骚扰	/to disturb/to cause a commotion/to harass/
嫂子	/(coll.) older brother's wife; sister-in-law/
刹车	/to brake (when driving)/to stop/to switch off/to check (bad habits)/a brake/
筛选	/to filter/
山脉	/mountain range/CL:條|条[tiao2]/
闪烁	/flickering/twinkling/evasive/vague (of speech)/
擅长	/to be good at; to be expert in/
擅自	/without permission/
商标	/trademark/logo/
伤脑筋	/to be a real headache/to find sth a real headache/to beat one's brains/
上级	/higher authorities/superiors/CL:個|个[ge4]/
上进	/to make progress/to do better/fig. ambitious to improve oneself/to move forwards/
上任	/to take office/previous (incumbent)/predecessor/
上瘾	/to get into a habit/to become addicted/
上游	/upper reaches (of a river)/upper level/upper echelon/upstream/
尚且	/(not) even/yet/still/
奢侈	/luxurious/extravagant/
舌头	/tongue/CL:個|个[ge4]/enemy soldier captured for the purpose of extracting information/
设立	/to set up; to establish/
设想	/to imagine/to assume/to envisage/tentative plan/to have consideration for/
设置	/to set up; to install/
社区	/community/neighborhood/
涉及	/to involve; to relate to; to concern; to touch upon/
摄氏度	/°C (degrees Celsius)/
深奥	/profound/abstruse/recondite/profoundly/
深沉	/deep/profound/(of a person) reserved/undemonstrative/(of a voice, sound etc) deep/low-pitched/
深情厚谊	/deep friendship/
申报	/to report (to the authorities)/to declare (to customs)/
绅士	/gentleman/
呻吟	/to moan; to groan/
神经	/nerve/mental state/(coll.) unhinged/nutjob/
神奇	/magical/mystical/miraculous/
神气	/expression/manner/vigorous/impressive/lofty/pretentious/
神圣	/divine/hallow/holy/sacred/
神态	/appearance/manner/bearing/deportment/look/expression/mien/
神仙	/Daoist immortal/supernatural entity/(in modern fiction) fairy, elf, leprechaun etc/fig. lighthearted person/
审查	/to examine/to investigate/to censor out/censorship/
审理	/to hear (a case)/
审美	/esthetics/appreciating the arts/taste/
