八	eight; 8
倍	-fold; times; double; to increase or multiply
汇	to remit; to converge; to exchange; class; collection
陶	surname Tao; pottery; pleased
咀	to chew; to masticate
腾	to gallop; to prance; to soar; to hover; to make room; to clear out; to vacate; ; steaming; scathing
攒	to bring together; to collect; to hoard; to accumulate; to save
妹	younger sister; younger sister; young woman
始	to begin; to start; then; only then
懵	stupid
写	to write
奥	Austria; Olympics; obscure; mysterious
寓	to reside; to imply; to contain; residence
锲	to cut; to carve; to engrave; to chisel; fig. to chisel away at
臊	to smell of urine; shame; bashfulness; to shame; to humiliate
捧	to hold or offer with both hands; to sing the praises of; classifier for what can be held in both hands
墨	surname Mo; abbr. for 墨西哥[Mo4 xi1 ge1], Mexico; ink stick; China ink; corporal punishment consisting of tattooing characters on the victim's forehead
舞	to dance; to wield; to brandish
井	Jing, one of the 28 constellations of Chinese astronomy; surname Jing; a well; neat; orderly; always clean; orderly; methodical
列	to arrange; to line up; file; series; column; row
取	to take; to get; to choose; to fetch
单	surname Shan; bill; list; form; single; only; sole; odd number; only; merely; just
协	to cooperate; to harmonize; to help; to assist; to join
客	customer; visitor; guest
恍	in a hazy state of mind; to snap out of that state; used in 恍如[huang3 ru2] and 恍若[huang3 ruo4]
锻	to forge; to discipline; wrought
方	surname Fang; square; power or involution; upright; honest; fair and square; direction; side; party; place; method; prescription; just when; only or just; classifier for square things; abbr. for square or cubic meter
乐	surname Le; surname Yue; happy; cheerful; to laugh; music
咱	see 咱[zan2]; I or me; we
溅	to splash
履	shoe; to tread on
央	center; end; to beg; to plead
遭	to meet by chance; classifier for events: time, turn, incident
著	to make known; to show; to prove; to write; book; outstanding
胖	healthy; at ease; fat; plump
叔	uncle; father's younger brother; husband's younger brother; Taiwan pr. [shu2]; father's younger brother; uncle; Taiwan pr. [shu2 shu5]
续	to continue; to replenish; continuous; on and on; running
资	resources; capital; to provide; to supply; to support; money; expense
沐	to bathe; to cleanse; to receive; to be given
丽	Korea; beautiful; Lili
午	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month, year of the Horse; ancient Chinese compass point: 180°
甭	need not; please don't; very
辈	lifetime; generation; group of people; class; classifier for generations; classifier for people
寨	stronghold; stockade; camp; village
钟	surname Zhong; handleless cup; goblet; to concentrate; clock; o'clock; time as measured in hours and minutes; bell
庇	to protect; cover; shelter; hide or harbor
扬	abbr. for 揚州|扬州[Yang2 zhou1]; surname Yang; to raise; to hoist; the action of tossing or winnowing; scattering; to flutter; to propagate
迫	to persecute; to oppress; embarrassed; used in 迫擊炮|迫击炮[pai3 ji1 pao4]; to force; to compel; to approach or go towards; urgent; pressing
含	to keep in the mouth; to contain
犹	as if; like; just as; still; yet
非	abbr. for 非洲[Fei1 zhou1], Africa; to not be; not; wrong; incorrect; non-; un-; in-; de-; to reproach; to blame; to insist on; simply must
灵	quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin
旬	ten days; ten years; full period
郎	surname Lang; minister; official; noun prefix denoting function or status; a youth
投	to throw; to cast; to cast; to put in; to send; to throw oneself into; to go to; to seek refuge; to place oneself into the hands of; to rinsein water
探	to explore; to search out; to scout; to visit; to stretch forward
铭	to engrave; inscribed motto
掷	to toss; to throw dice; Taiwan pr. [zhi2]
辨	to distinguish; to recognize
珠	bead; pearl
素	raw silk; white; plain, unadorned; vegetarian; essence; nature; element; constituent; usually; always; ever
竖	to erect; vertical; vertical stroke
蓄	to store up; to grow; to entertain
舍	to give up; to abandon; to give alms; surname She; residence
益	surname Yi; benefit; profit; advantage; beneficial; to increase; to add; all the more
学	to learn; to study; to imitate; science; -ology
船	boat; vessel; ship
乒	ping; bing
茶	tea; tea plant
厘	Li, sixth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Ai 哀[Ai1]; one hundredth; centi-
干	surname Gan; dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; rude; blunt; to cold-shoulder; surname Gan; to have to do with; to concern oneself with; one of the ten heavenly stems 天干[tian gan1]; shield; tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill; to fuck; pissed off; annoyed
扰	to disturb
麻	hemp; surname Ma; generic name for hemp, flax etc; hemp or flax fiber for textile materials; sesame; rough or coarse; pocked; pitted; to have pins and needles or tingling; to feel numb
踪	footprint; trace; tracks
稿	manuscript; draft; stalk of grain
场	threshing floor; classifier for events and happenings: spell, episode, bout; large place used for a specific purpose; stage; scene; classifier for sporting or recreational activities; classifier for number of exams; variant of 場|场[chang3]
位	position; location; place; seat; classifier for people; classifier for binary bits; potential
吹	to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through
魔	evil spirit; devil; supernatural; magical
援	to help; to assist; to aid
阵	disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration
挫	obstructed; to fail; to oppress; to repress; to lower the tone; to bend back; to dampen
乖	obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal; well-behaved; obediently; darling; sweetie; goodness gracious!; oh my lord!
往	to go; to; towards; bound for; past; previous; usually; in many cases; more often than not
摸	to feel with the hand; to touch; to stroke; to grope; to steal; to abstract
鲁	surname Lu; Lu, ancient state of China 魯國|鲁国[Lu3 guo2]; Lu, short name for Shandong 山東|山东[Shan1 dong1]; crass; stupid; rude; 
勒	bridle; halter; headstall; to rein in; to compel; to force; to carve; to engrave; to command; to lead; lux; to strap tightly; to bind
训	to teach; to train; to admonish; instruction; teachings; rule
下	down; downwards; below; lower; later; next; second; to decline; to go down; to arrive at; measure word to show the frequency of an action
丢	to lose; to put aside; to throw
洒	to sprinkle; to spray; to spill; to shed
罢	to stop; to cease; to dismiss; to suspend; to quit; to finish; 
搁	to place; to put aside; to shelve; to bear; to stand; to endure
绿	green; to cheat on
码	weight; number; code; to pile; to stack; classifier for length or distance, happenings etc
忠	loyal; devoted; faithful
霾	haze
轰	explosion; bang; boom; rumble; to attack; to shoo away; to expel; booming; roaring
矛	spear; lance; pike
断	to break; to snap; to cut off; to give up or abstain from sth; to judge; absolutely; definitely; decidedly
值	value; worth; to happen to; to be on duty
怼	to attack verbally; to publicly criticize; to call out; dislike; hate
秀	refined; elegant; graceful; beautiful; superior; excellent; show; to grow; to bloom;to produce ears
颗	classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
颠	top; apex; to fall forwards; inverted; to jolt; glad and diligent
岗	hillock; mound; sentry post; policeman's beat; job; post
羞	shy; ashamed; shame; bashful; delicacies
掠	to take over by force; to rob; to plunder; to brush over; to skim; to sweep
倒	to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change; to move around; to resell at a profit; to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet
少	few; less; to lack; to be missing; to stop; seldom; young
草	grass; straw; manuscript; draft; careless; rough; carelessly; hastily
宅	residence; to stay in at home; to hang around at home
熟	ripe; mature; thoroughly cooked; done; familiar; acquainted; experienced; skilled; deep; profound; also pr. [shou2]
扣	to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct; discount; to knock; to smash, spike or dunk; to cover; to tag a label on sb; code; QQ instant messenger; button
沫	foam; suds
渣	slag; dregs
京	abbr. for Beijing; surname Jing; Jing ethnic minority; capital city of a country; big; algebraic term for a large number; artificial mound
债	debt
独	alone; independent; single; sole; only; alone
愉	pleased
惦	to think of; to remember; to miss
欣	happy
氏	clan name; maiden name; see 月氏[Yue4 zhi1] and 閼氏|阏氏[yan1 zhi1]
婴	infant; baby
耽	to indulge in; to delay
岂	old variant of 凱|凯[kai3]; how?
平	surname Ping; flat; level; equal; to tie; to draw; calm; peaceful; abbr. for 平聲|平声[ping2 sheng1]; average; mediocre
黄	surname Huang or Hwang; yellow; pornographic; to fall through
崎	mountainous
丹	red; pellet; powder; cinnabar
广	"house on a cliff" radical in Chinese characters, occurring in 店, 序, 底 etc; surname Guang; wide; numerous; to spread
田	surname Tian; field; farm
击	to hit; to strike; to break; Taiwan pr. [ji2]
库	warehouse; storehouse; library
喊	to yell; to shout; to call out for
众	abbr. for 眾議院|众议院[Zhong4 yi4 yuan4], House of Representatives; crowd; multitude; many; numerous
掉	to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall; to lose; to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed; 
武	surname Wu; martial; military
途	way; route; road
哭	to cry; to weep
墟	ruins; village; country fair
具	tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies
审	to examine; to investigate; carefully; to try
古	surname Gu; ancient; old; paleo-
悔	to regret; to repent
奖	prize; award; encouragement
卵	egg; ovum; spawn; testicles; penis; fucking
队	squadron; team; group
保	Bulgaria; to defend; to protect; to keep; to guarantee; to ensure; civil administration unit in the baojia 保甲[bao3 jia3] system
测	to survey; to measure; to conjecture
商	Shang Dynasty; surname Shang; commerce; merchant; dealer; to consult; 2nd note in pentatonic scale; quotient
班	surname Ban; team; class; grade; squad; work shift; classifier for groups of people and scheduled transport vehicles
雪	surname Xue; snow; to wipe away
雹	hail
穴	cave; cavity; hole; acupuncture point; Taiwan pr. [xue4]
着	move; trick; all right!; to add; to touch; to come in contact with; to feel; to be affected by; to catch fire; to burn; to fall asleep; hitting the mark; succeeding in; aspect particle indicating action in progress or ongoing state; to wear; to contact; to use; to apply
血	blood; colloquial pr. [xie3]
餐	meal; to eat; classifier for meals
寝	to lie down to sleep or rest; bedroom; imperial tomb; to stop; to cease
宵	night
纹	line; trace; mark; pattern; grain
厌	to loathe; to be fed up with; to satiate; to satisfy
员	person engaged in a certain field of activity; member
嚷	to shout; to bellow; to make a big deal of sth; to make a fuss about sth; to argue noisily; to shout; to make widely known; to reproach
手	hand; to hold; person engaged in certain types of work; person skilled in certain types of work; personal; convenient; classifier for skill
练	to practice; to train; to drill; to perfect; exercise; white silk; to boil and scour raw silk
傍	near; approaching; to depend on; to have an intimate relationship with sb; Taiwan pr. [pang2], [bang1], [bang4]
判	to differentiate; to distinguish; clearly; to judge; to decide; to grade; to sentence
紫	purple; violet
聊	to chat; temporarily; for a while; somewhat; slightly; to depend upon
斥	to blame; to reprove; to reprimand; to expel; to oust; to reconnoiter; to expand; saline marsh
孔	surname Kong; hole; classifier for cave dwellings
昼	daytime
玫	; used in 玫瑰[mei2 gui1]
观	surname Guan; to look at; to watch; to observe; to behold; to advise; concept; point of view; outlook; Taoist monastery; palace gate watchtower; platform
册	book; booklet; classifier for books
毁	to destroy; to ruin; to defame; to slander; to destroy by fire; to defame; to slander
膊	shoulder; upper arm
猛	ferocious; fierce; violent; brave; suddenly; abrupt; awesome
犬	dog; Kangxi radical 94
沾	to moisten; to be infected by; to receive benefit or advantage through a contact; to touch; to moisten
拦	to block sb's path; to obstruct; to flag down
执	to execute; to grasp
塔	pagoda; tower; minaret; stupa
支	surname Zhi; to support; to sustain; to erect; to raise; branch; division; to draw money; classifier for rods such as pens and guns, for army divisions and for songs or compositions
喂	hello; hey; to feed; to feed
售	to sell; to make or carry out
工	work; worker; skill; profession; trade; craft; labor
乃	to be; thus; so; therefore; then; only; thereupon
碾	stone roller; roller and millstone; to grind; to crush; to husk
禽	generic term for birds and animals; birds; to capture
腔	cavity; tune; accent; 
承	surname Cheng; Cheng, third of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; to bear; to carry; to hold; to continue; to undertake; to take charge; owing to; due to; to receive
范	pattern; model; example; surname Fan
扮	to disguise oneself as; to dress up; to play; to put on
式	type; form; pattern; style
睁	to open
寻	to search; to look for; to seek
累	to accumulate; to involve or implicate; continuous; repeated; tired; weary; to strain; to wear out; to work hard; clusters of; piles of; heaps of; gaunt; haggard; wretched; Taiwan pr. [lei3 lei3]; again and again; innumerable; repeated; riddled with; accumulated; surname Lei; rope; to bind together; to twist around
廊	corridor; veranda; porch
舶	ship
偶	accidental; image; pair; mate
桥	bridge
迟	surname Chi; late; delayed; slow; late; slow
杯	cup; trophy cup; classifier for certain containers of liquids: glass, cup; variant of 杯[bei1]; trophy cup; classifier for certain containers of liquids: glass, cup
摧	to break; to destroy; to devastate; to ravage; to repress
跑	to paw; to run; to run away; to escape; to run around; to leak or evaporate; away; off
壶	pot; classifier for bottled liquid
次	next in sequence; second; the second; secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo-; classifier for enumerated events: time
慕	to admire
尾	tail; remainder; remnant; extremity; sixth of the 28 constellations; classifier for fish; horse's tail; pointed posterior section of a locust etc
骤	sudden; unexpected; abrupt; suddenly; Taiwan pr. [zou4]
狱	prison
埋	to bury; used in 埋怨[man2 yuan4]
心	heart; mind; intention; center; core
思	to think; to consider
胎	fetus; classifier for litters; padding; womb carrying a fetus; origin; source; tire
巢	surname Chao; nest
嫖	to visit a prostitute
丝	silk; thread-like thing;shreds or julienne strips; classifier: a trace, a tiny bit etc
暴	surname Bao; sudden; violent; cruel; to show or expose; to injure
汹	torrential rush; tumultuous
焰	flame
琢	to cut; used in 琢磨[zuo2 mo5]; Taiwan pr. [zhuo2]
性	nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence
萄	used in 葡萄[pu2 tao5]
讨	to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry; to discuss or study
获	to catch; to capture; to get; to obtain; to win; to reap; to harvest
窝	nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods
刚	hard; firm; strong; just; barely; exactly; just recently; just a moment ago
鸦	crow
踢	to kick; to play; butch
杂	mixed; miscellaneous; various; to mix
娘	mother; young lady; effeminate; queen; empress; imperial concubine; Goddess, esp. Xi Wangmu 王母娘娘 or 西王母, Queen Mother of the West; mother; aunt
灾	disaster; calamity; old variant of 災|灾[zai1]
稠	dense; crowded; thick; many
并	and; furthermore; also; together with; at all; simultaneously; to combine; to join; to merge; to combine; to amalgamate; short name for Taiyuan 太原[Tai4 yuan2]
晃	to dazzle; to flash past; to sway; to shake; to wander about
漠	desert; unconcerned
撒	to let go; to cast; to let loose; to discharge; to give expression to; to pee; to scatter; to sprinkle; to spill
圣	to dig; holy; sacred; saint; sage
噪	to chirp; to make a cacophonous noise
头	head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; suffix for nouns; head; chief
秋	surname Qiu; autumn; fall; harvest time; see 鞦韆|秋千[qiu1 qian1]
囧	emoticon signifying embarrassment, shock, helplessness etc
辕	shafts of cart; yamen
睬	to pay attention; to take notice of; to care for
惕	fearful; respectful
洞	cave; hole; zero
莓	berry; strawberry
熏	to smoke; to fumigate; to assail the nostrils; to perfume; fragrance; warm; to educate; to smoke; to fumigate
察	short name for Chahar Province 察哈爾|察哈尔[Cha2 ha1 er3]; to examine; to inquire; to observe; to inspect; to look into; obvious; clearly evident; clean; spotless
带	band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear; to lead; to bring; to look after; to raise
蝴	used in 蝴蝶[hu2 die2]
景	surname Jing; scenery; circumstance; situation; scene; sunlight
辟	king; monarch; to summon to official service; to repel; penal law; to open; to open up; to dispel; to refute; to repudiate; penetrating; incisive
烁	bright; luminous; flickering; glittering
灯	lamp; light; lantern
鐵	no definition found
哪	how; which; ; used in 哪吒[Ne2 zha1]; Taiwan pr. [nuo2]; which?
稚	infantile; young; variant of 稚[zhi4]
俱	all; both; entirely; without exception; to be together; to be alike
哑	sound of cawing; sound of infant learning to talk; mute; dumb; incapable of speech; hoarse; husky; dud
马	surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; horse; horse or cavalry piece in Chinese chess; knight in Western chess
疗	to treat; to cure; therapy
俗	custom; convention; popular; common; coarse; vulgar; secular
种	seed; species; kind; type; classifier for types, kinds, sorts; to plant; to grow; to cultivate; all kinds of
胁	flank; to coerce; to threaten
节	see 節骨眼|节骨眼[jie1 gu5 yan3]; joint; node; section; segment; solar term; seasonal festival; to economize; to save; moral integrity; chastity; classifier for segments: lessons, train wagons, biblical verses etc; knot; step by step; little by little
洛	surname Luo; old name of several rivers; used in transliteration
播	to sow; to scatter; to spread; to broadcast; Taiwan pr. [bo4]
帖	fitting snugly; appropriate; suitable; to paste; to obey; invitation card; notice; rubbing from incised inscription
曝	to air; to sun
吞	to swallow; to take
显	to make visible; to reveal; prominent; conspicuous; phanero-
寡	few; scant; widowed
肪	animal fat
免	to excuse sb; to exempt; to remove or dismiss from office; to avoid; to avert; to escape; to be prohibited
誉	to praise; to acclaim; reputation
核	pit; stone; nucleus; nuclear; to examine; to check; to verify; to investigate
烫	to scald; to burn; to blanch; to heatup in hot water; to perm; to iron; scalding hot
胆	gall bladder; courage; guts; gall; inner container
门	surname Men; gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; sect; school; class; category; phylum or division; classifier for large guns; classifier for lessons, subjects, branches of technology; -gate
求	to seek; to look for; to request; to demand; to beseech
杰	hero; heroic; outstanding person; prominent; distinguished
离	mythical beast; surname Li; to leave; to part from; to be away from; from; without; independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲
令	used in 脊令[ji2 ling2]; used in 令狐[Ling2 hu2]; classifier for a ream of paper; to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position; type of short song or poem
撸	to rub one's hand along; to fire; to reprimand
技	skill
培	to bank up with earth; to cultivate; to train
排	a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc
璃	; Taiwan pr. [li4]; colored glaze; glass
屿	islet
艇	vessel; small ship
辫	a braid or queue; to plait
铺	store; to spread; to display; to set up; holder for door-knocker; plank bed; place to sleep; shop; store; relay station
缺	deficiency; lack; scarce; vacant post; to run short of
茄	phonetic character used in loanwords for the sound "jia", although 夾|夹[jia2] is more common; eggplant
税	taxes; duties
譬	to give an example
隘	pass; defile; narrow; confined; in distress
枝	branch; classifier for sticks, rods, pencils etc
接	to receive; to answer; to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb
瑰	; extraordinary
粒	grain; granule; classifier for small round things
揭	surname Jie; to take the lid off; to expose; to unmask
疯	insane; mad; wild
旁	one side; other; different; lateral component of a Chinese character
措	to handle; to manage; to put in order; to arrange; to administer; to execute; to take action on; to plan
彰	clear; conspicuous; manifest; obvious; manifest; clearly visible
咽	throat; pharynx; narrow pass; to choke; to swallow
控	to control; to accuse; to charge; to sue; to invert a container to empty it; buff; enthusiast; devotee; -phile or -philia
紊	involved; tangled; disorderly; confused; chaotic; Taiwan pr. [wen4]
溶	to dissolve; soluble
奈	used in expressions that convey frustration and futility, such as 無奈|无奈[wu2 nai4] and 莫可奈何|莫可奈何[mo4 ke3 nai4 he2]; used for its phonetic value in writing foreign words
督	to supervise
防	to protect; to defend; to guard against; to prevent
耀	brilliant; glorious
殃	calamity
摔	to throw down; to fall; to drop and break
拱	to cup one's hands in salute; to surround; to arch; to dig earth with the snout; arched
哺	to feed; to eat; evening meal
跨	to step across; to stride over; to straddle; to span
饭	cooked rice; meal; fan; devotee
嗦	suck
痕	scar; traces
书	abbr. for 書經|书经[Shu1 jing1]; book; letter; document; to write
驳	variegated; heterogeneous; to refute; to contradict; to ship by barge; a barge; a lighter
界	boundary; border; realm
则	but; then; standard; norm; principle; to imitate; to follow; classifier for written items
爽	bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate
礼	surname Li; abbr. for 禮記|礼记[Li3 ji4], Classic of Rites; gift; rite; ceremony; propriety; etiquette; courtesy
呢	particle indicating that a previously asked question is to be applied to the preceding word; particle for inquiring about location; particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board; particle indicating continuation of a state or action; particle indicating strong affirmation; woolen material; garrulous; talkative
肩	shoulder; to shoulder
拒	to resist; to repel; to refuse
膨	swollen
啊	interjection of surprise; Ah!; Oh!; interjection expressing doubt or requiring answer; Eh?; what?; interjection of surprise or doubt; Eh?; My!; what's up?; interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent
贵	expensive; highly valued; precious; noble; of high rank; your
衣	clothes; Kangxi radical 145; to dress; to wear; to put on
椒	pepper
肺	lung
宏	great; magnificent; macro; macro-
谋	to plan; to seek; scheme
眠	to sleep; to hibernate
听	smile; to listen to; to hear; to heed; to obey; a can; classifier for canned beverages; to let be; to allow; to administer; to deal with
偏	to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations; unfortunately; as it happened; stubbornly; contrarily; against reason; precisely; only; of all people
澈	clear; thorough
乘	surname Cheng; to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply; Buddhist sect or creed; four horse military chariot; four; generic term for history books
敲	to hit; to strike; to tap; to rap; to knock; to rip sb off; to overcharge
畅	free; unimpeded; smooth; at ease; free from worry; fluent
混	brainless; foolish; Taiwan pr. [hun4]; to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless
霑	no definition found
何	surname He; what; how; why; which; carry
电	lightning; electricity; electric; to getan electric shock; phone call or telegram etc; to send via telephone or telegram etc
间	between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; gap; to separate; to thin out; to sow discontent
裙	skirt
孙	surname Sun; grandson; descendant
肌	flesh; muscle
附	to add; to attach; to be close to; to be attached
别	surname Bie; to leave; to part; to differentiate; to distinguish; other; another; different; don't ...!; to fasten with a pin or clip; to stick in; to insert; category; to make sb change their ways, opinions etc
鼻	nose
毛	surname Mao; hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; to devalue or depreciate; classifier for Chinese fractional monetary unit; 
妇	woman
姥	grandma; governess; old woman; mother's mother; maternal grandmother
汉	Han ethnic group; Chinese; the Han dynasty; man
灶	kitchen stove; kitchen; mess; canteen
赌	to bet; to gamble
蹒	used in 蹣跚|蹒跚[pan2 shan1]; Taiwan pr. [man2]
歪	askew; at a crooked angle; devious; noxious; to lie on one's side; to sprain
耕	to plow; to till
善	good; benevolent; well-disposed; good at sth; to improve or perfect
步	surname Bu; a step; a pace; walk; march; stages in a process; situation; step by step; at every step
今	now; the present time; current; contemporary; this
脏	viscera; organ; dirty; filthy; to getdirty; dirty
捉	to clutch; to grab; to capture
碳	carbon
疼	hurts; sore; to love dearly
酬	variant of 酬[chou2]; to entertain; to repay; to return; to reward; to compensate; to reply; to answer
唠	to chatter; to gossip; to chat
煎	to pan fry; to sauté
菜	vegetable; greens; dish; weak; poor; type
砂	sand; gravel; granule
瓦	roof tile; abbr. for 瓦特[wa3 te4]
衷	inner feelings
会	can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; union; group; association; a moment; to balance an account; accounting; accountant
挣	used in 掙扎|挣扎[zheng1 zha2]; to struggle to get free; to strive to acquire; to make
从	surname Cong; from; through; via; to follow; to obey; to engage in; ever; retainer; attendant; assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor
通	to go through; to know well; expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc; classifier for an activity, taken in its entirety; all; entire; complete
目	eye; to look; to regard; eye; mesh; mesh size; grit size; item; section; list; catalogue; order; name; title
您	you
狼	wolf
律	surname Lü; law
斧	hatchet
尬	embarrassing; awkward
懂	to understand; to comprehend
肉	meat; flesh; pulp; squashy; flabby; irresolute; Kangxi radical 130
捡	to pick up; to collect; to gather
弥	full; to fill; completely; more; brimming or overflowing
纬	latitude; woof; weft
橡	oak; Quercus serrata
它	it
购	to buy; to purchase
啤	beer
扛	to raise aloft with both hands; to carry sth together; to carry on one's shoulder; to take on
佳	surname Jia; beautiful; fine; good
歐	no definition found
跃	to jump; to leap
涨	to rise; to swell; to distend
柬	abbr. for 柬埔寨[Jian3 pu3 zhai4], Cambodia; card; note; letter
打	dozen; to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play; since; from
荣	surname Rong; glory; honor; thriving
赚	to earn; to make a profit; to cheat; to swindle
戾	to bend; to violate; to go against; ruthless and tyrannical
撤	to remove; to take away
徒	surname Tu; disciple; apprentice; believer; on foot; bare; empty; to no avail; only; prison sentence
挤	to crowd in; to cram in; to force others aside; to press; to squeeze; to find
荤	strong-smelling vegetable; non-vegetarian food; vulgar; obscene
注	to inject; to pour into; to concentrate; to pay attention; stake; classifier for sums of money; to register; to annotate; note; comment
萎	to wither; to drop; to decline; spiritless; Taiwan pr. [wei1]
榨	to press; to extract; to press; to extract; device for extracting juice, oils etc
扁	surname Pian; flat; to beatup; small boat
仅	barely; only; merely; barely; only; merely; only
旨	imperial decree; purport; aim; purpose
苏	used in 嚕囌|噜苏[lu1 su1]; to revive; surname Su; abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联; abbr. for Jiangsu province 江蘇|江苏; abbr. for Suzhou city 蘇州|苏州; Perilla frutescens; place name; to revive; used as phonetic in transliteration
铅	lead
握	to hold; to grasp; to clench; to have in one's control; classifier: a handful
牲	domestic animal; sacrificial animal
裕	abundant
朵	flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc
咖	used in 咖喱[ga1 li2]; coffee; class; grade
嗨	oh alas; hey!; hi!; a high
骚	to disturb; to disrupt; flirty; coquettish; abbr. for 離騷|离骚[Li2 Sao1]; literary writings; poetry; male
针	needle; pin; injection; stitch
寒	cold; poor; to tremble
碗	variant of 碗[wan3]; bowl; cup
放	to put; to place; to release; to free; to let go; to let out; to set off
重	to repeat; repetition; again; re-; classifier: layer; heavy; serious; to attach importance to; layer upon layer; one after another; heavily; severely
无	not to have; no; none; not; to lack; un-; -less
老	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old; venerable; experienced; of long standing; always; all the time; of the past; very; outdated; tough; maternal grandmother; same as 姥姥
毫	hair; drawing brush; least; one thousandth; currency unit, 0.1 yuan
筒	tube; cylinder; to encase in sth cylindrical
籍	surname Ji; book or record; registry; roll; place of one's family or ancestral records; membership; noisy; of high reputation; intricate
戳	to jab; to poke; to stab; to sprain; to blunt; to fuck; to stand; to standupright; stamp; seal
愿	honest and prudent; wish; hope; desire; to be willing; to wish; may ...; vow; pledge
逝	to pass by; to pass away; to die
侨	emigrant; to reside abroad
雌	female; Taiwan pr. [ci1]
拐	to turn; to kidnap; to swindle; to misappropriate; seven; cane; walking stick; crutch; old man's staff
两	two; both; some; a few; tael, unit of weight equal to 50 gramsor 1⁄16 of a catty 斤[jin1]
荷	Holland; the Netherlands; abbr. for 荷蘭|荷兰[He2 lan2]; lotus; to carry on one's shoulder or back; burden; responsibility
凰	phoenix
格	square; frame; rule; case; style; character; standard; pattern; case; to obstruct; to hinder; to arrive; to come; to investigate; to study exhaustively; princess
晤	to meet
垮	to collapse
公	public; collectively owned; common; international; make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable; father-in-law; male; husband's father; father-in-law; grandpa; grandad; form of address for a eunuch
拟	doubtful; suspicious; to emulate; to imitate; to plan to; to draft; to imitate; to assess; to compare; pseudo-
释	to explain; to release; Buddha; Buddhism
宁	abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1]; abbr. for Nanjing 南京[Nan2 jing1]; surname Ning; peaceful; to pacify; to visit; would rather; to prefer; how; Taiwan pr. [ning2]
啃	to gnaw; to nibble; to bite
