几	少
兑现	现金
队伍	行列
顿时	即便;忽然;随即;就;立刻;突然;立即;赶快
哆嗦	发抖;颤抖
额外	多余
恶化	变质
遏制	将军;克制;蕴藏;清理;容纳;刹车;约束;憋;拘束;支票;盛;制止;制服;包含;报到;挫折;对照
恩怨	嫌
发布	宣布;颁布;分散;布告;发表;版本;分布;课题;散发;发行;分配;释放;颁发;公布
发呆	空想
发动	激发;动员;鼓动;发射;开展;开辟
发觉	发现;找
发射	射击;发动;解雇;放;排放;释放;散发;开展;火
发行	发布;颁布;分散;公布;发表;版本;分布;刊登;课题;释放;散发;分配;颁发;出版
发扬	开拓;发达;发挥;发育;演变;开展;生长;发展
发育	开拓;动态;发达;发挥;演变;成长;开发;开展;生长;发展;发扬
法人	集团
番	善良;仁慈;轮流;时刻;时候;趟;亲切;和气;些;某;遍;时间
繁华	欣欣向荣;忙碌;繁荣;繁忙
繁忙	忙;忙碌;占线;繁华
繁殖	孕育;培育;传播;品种
凡是	各;所有;每;都;统统
反常	别致;异常;特殊
反感	嫌;讨厌
反抗	抵抗;对抗;抵制
反面	对方
反射	反映;反思;照;体现;思考
反思	反射;反映;考核;复习;照;体现;回顾;思考;检讨
反问	过问;索取;问;征求
反之	反而;鉴于
范畴	类型
贩卖	交通;卖;推销
方位	神态;姿势;立场;方向;位置;位;职务;阵地;部位;职位
方针	政策;策略
防守	辩护;维护;保护;辩解;防御;守护;保卫;捍卫
防御	防守
防止	保守;预防;守护;阻止;戒备;捍卫
访问	参观;拜访;看望;探望;呼吁;游览
放大	扩充
放射	辐射
飞翔	航班;航行;飘扬
飞跃	跳跃;蹦;踊跃
诽谤	糟蹋;污蔑
废除	撤销
分辨	辨认;鉴别;区分;志气;识别;分解
分解	分辨;志气
分裂	爆发;违反;断绝;粉碎;磨合;折;破;划分;除;断;间隔;中断
分歧	误差;岔;差距;区别;差别
分散	发布;分布;散发;发行;分配
吩咐	指令;指示;指挥;告诉;关照;嘱咐;转告;命令;率领
坟墓	庄重
粉末	灰尘;灰
粉色	白
粉碎	爆发;违反;中断;分裂;磨合;折;破;扣;砸;断;断绝;撞
分量	测量;锤;包袱;重量
风度	神态;神气
风光	风景;伟大;庄重;见解;现场;威风;镜头;景色;厉害;隆重;看待;壮观;雄伟;目光;场面;宏伟;情景
风气	气氛
风趣	机智;逗;幽默;伶俐
封闭	局限;倒闭;封锁;密封
封锁	密封;封闭
丰满	富;丰富;充沛;油腻;充实;雄厚;丰盛
丰盛	富;丰富;丰满;油腻;充实;雄厚
锋利	尖锐;灵敏;敏锐;急剧
否决	抵制;排斥;拒绝
夫人	太太;女士
敷衍	表演;阐述;戏剧;玩弄;精心;玩;耍;播放
幅度	规模;地步;范围
服从	延期;拖延;遵循;遵守
服气	接受;采纳;将就;确信
符号	标志;签;手势;登录;痕迹;迹象;标记;签署;象征
辐射	放射
腐败	腐蚀;腐朽;贪污;败坏;烂
腐烂	腐蚀
腐蚀	腐烂;生锈;贪污;腐败
腐朽	变质;烂;腐败
辅助	赞助;协助;附属;副
抚养	抬;教养;举;饲养;提;翘;培养;耸
抚摸	宠物
俯视	疏忽;忽略
富裕	丰富;雄厚;充足;充沛
副	次要;助理;助手;附属;辅助
覆盖	扣;包庇;掩护;掩盖;盖;被
附件	执着
附属	执着;下属;辅助;副
复活	振兴;复兴
复兴	复活;振兴
赋予	给予;委托;放弃;指定;屈服;给;让步
改良	完善;改善;改进;进步
干旱	干燥;干
干扰	障碍;干涉
干涉	干预;干扰
干预	干涉
尴尬	笨拙;难堪;别扭;拘束
感慨	感受;感觉;感情;滋味
感染	熏陶;影响;势力;传染
干劲	驾驶;志气;魄力;驱逐
纲领	节目;计划;方案;规划
港口	端;包庇
岗位	职务;公告;职位
高超	优秀;庄重;显著;优异;杰出;出色;突出;卓越
高潮	高涨;掀起
高峰	个子
高明	心灵;鲜明;辉煌;机灵;英明;上级;亮;灿烂;明智;光辉;优越
高尚	耸;崇高;贵族
高涨	掀起;高潮
告诫	警告;井;警惕
搁	窝;所;位置;场所;寄托;部位
疙瘩	周折;课题;扣
隔阂	疏远
隔离	孤立
格局	布局;局势;局面;结构;状况;机构;款式;事态;图案;情形;样式;地步;建筑;场合;形势;情况;情景;模型;形态
格式	规范;表格;形式;构成;形态;组成;规格
个体	个别;个人
根源	来历;来源;根
跟前	将近;濒临;关闭;截止;近;附近;亲密;闭塞;精密;就近
跟随	伴随;遵循;盯
跟踪	尾巴;执行;运行;踪迹;影子;跑步;追
更新	装修
更正	正;纠正;正确;端正;改正
公道	司法;公正;公平;正当;正义
公告	布告;职务;须知;岗位;启事;通知;职位
公正	恰巧;索性;正;刚才;公平;正当;刚;唯独;公道
供给	配备;提供
功劳	贡献;荣誉
功效	成效;作用;效果
攻击	冲击;谴责;袭击;进攻;闯;指责;打击
攻克	取;征服;捕捉;起飞;拿;采取;搭
巩固	整顿;综合
共计	归纳;总和
构思	图案;设计;华丽;款式
孤独	寂寞
孤立	隔离
辜负	背叛
姑且	暂时;暂且
股份	股票;份
鼓动	激发;动员;发动;挑拨;搅拌
固然	当然
固体	牢固;坚实;立体;扎实;坚硬
固有	内在
固执	倔强;执着;一贯;持久;顽固
顾虑	疑惑
故乡	家;家乡;祖国
故障	缺陷;毛病;误差;缺点;障碍;偏差;过失;错误;失败
雇佣	租赁;招收;使用
关怀	周到
关照	处置;告诉;瞧;寻觅;目光;提醒;模样;留神;嘱咐;当心;操劳;气色;照顾;吩咐;寻找;转告;保管;东张西望;神态;样子;看
官方	政府;治理
观光	参观
管辖	治理;规律;节制;统治;规定;支配;规章;规则
罐	能;可以;会;壶;锅
贯彻	扛;戴;执行;履行;提;挎;端;实施;携带;开展;实行;落实
惯例	习俗
光彩	光芒;光辉
光辉	辉煌;高明;英明;光彩;灿烂;光芒;壮丽;荣誉;宏伟;雄伟
光芒	光彩;光辉;照耀
广阔	宽;辽阔;宽敞;开阔
规范	指标;格式;调节;规定;标准;准则;规格;规章
规格	规范;指标;格式;准则;标准
规划	节目;计划;纲领;打算;策划
规章	规律;规范;章程;统治;管辖;规定;规矩;规则
轨道	盘旋
贵族	君子;高尚
棍棒	党;俱乐部
果断	坚强;牢固;坚固;坚决;硬;扎实;坚定
过度	奢侈;过期;荒唐;挥霍;过分
过渡	转折
过奖	吹捧;捧
过滤	筛选
过失	缺陷;毛病;故障
过问	索取;问;征求;反问
过瘾	趣味
含糊	模糊;隐约;暧昧
含义	暗示;意思;意义;提示;内涵;示意
捍卫	辩护;保障;保守;维护;辩解;防止;守护;防守;保卫;保管
航行	飞翔;导航;飘扬
行列	队伍
豪迈	开朗;开明;英勇;壮烈;虚心
毫无	无;完全
号召	命名;称;叫;呼吁;命令
耗费	糟蹋;消耗;花（动词）;度过;浪费;支出;代价
呵	哎;哦
和蔼	仁慈;善良;亲切;和气;慈祥
和解	调和;调节;妥协;结算;奠定;沉淀
和睦	和谐;融洽;调和
和气	善良;仁慈;友好;亲切;和蔼;斯文;礼貌;番
和谐	和睦;融洽;调和
合成	构成
合伙	合作;搭档
合算	打量;计算;屑
嘿	喂（叹词）
痕迹	符号;标志;踪迹;迹象;标记
狠心	冷酷
哼	呻吟
哄	骗;喧哗
宏伟	庄重;风光;隆重;壮观;壮丽;雄伟;光辉;伟大
洪水	淹没
喉咙	嗓子
忽略	疏忽;忽视;俯视;怠慢
呼唤	喊;嚷
呼啸	哨
呼吁	号召;访问;拜访;看望
胡乱	马虎;大意;任意;粗心;草率;随意
华丽	图案;设计;构思;款式
华侨	领袖;裁判
化妆	制定;交;使;包装;制作;捏;挣;组成;补偿;搞;弄
划分	分裂;除;间隔
话筒	麦克风
欢乐	幸福;舒畅;快活;痛快;愉快;开心;快乐;高兴;喜悦;美满;乐趣
环节	联络;片断
缓和	节制;缓解;温和
荒凉	冷落;凄凉;偏僻
荒谬	荒唐;岂有此理
荒唐	岂有此理;荒谬;过度
黄昏	傍晚
晃	颠簸;摇;震撼;颤抖
挥霍	奢侈;敏捷;过度;潇洒;灵活
辉煌	英明;高明;灿烂;壮丽;光辉;卓越;美妙
回报	报复;回;报答;还（动词）;往返
回避	避免;逃避
回顾	反思;复习;考核;检讨
回收	愈;恢复;挽回
悔恨	遗憾;后悔
毁灭	摧残;糟蹋;灭亡;销毁;破坏;败坏
会晤	碰;见面;会议;遭遇;符合;迎接
汇报	申报;报告;报道
荤	庸俗
浑身	遍布
混合	混淆;夹杂;搀;串;搅拌
混乱	混淆;乱
混淆	混合;夹杂;搀;迷惑;串;混乱;搅拌
混浊	脏
活该	应该
活力	生机;气势;精神;能量;精力
货币	通用;钱
基地	基础;卑鄙;底
机动	塑造;动机;调动;灵活
机构	结构;制度;格局;团体;组织;建筑
机灵	心灵;伶俐;英明;高明;巧妙;灵敏;机智;聪明;明智
机密	秘密;奥秘
机械	机器
机遇	时机;机会
机智	伶俐;心灵;风趣;机灵
激发	动员;启发;发动;鼓舞;鼓动;耸;振奋
激励	动力;劝;叮嘱;促使;勉励;鼓励;催;动机
激情	热情;热心
讥笑	嘲笑
极端	深沉
极限	局限;限制;约束;界限;制止
即便	随即;顿时;哪怕;即使;立刻;立即
级别	平坦;等级;档次;年级;水平
嫉妒	恨;厌恶;讨厌;羡慕
及早	尽快
急剧	尖锐;迅速;锋利;灵敏;敏锐
急于求成	急躁
急躁	不耐烦;迫不及待;急于求成
集团	团;法人;组;群;派别;团体
吉祥	幸运
给予	展现;表演;放弃;展示;表示;演出;屈服;给;出示;赋予;炫耀;让步;符合
寄托	窝;所;位置;场所;搁;部位
继承	随身;进行
记性	回忆;记忆
记载	纪录;档案;记录
季度	季节
计较	吵架;较量;不顾;无论
寂静	安静;沉默;鸦雀无声
技巧	技术;手法;本事
迹象	符号;标志;签;手势;登录;痕迹;标记;签署
加工	运行;办理;过程;提炼;处理
加剧	恼火
夹杂	混合;混淆;搀;串;搅拌
煎	油炸
坚定	坚强;牢固;坚固;稳定;沉着;踏实;坚决;果断;硬;扎实
坚固	霸道;艰苦;沉重;重;坚定;结实;强烈;牢固;健全;坚决;浓;坚强;毅然;稳定;艰难;果断;硬;扎实;坚硬
坚韧	顽强
坚实	牢固;固体;立体;扎实;坚硬
坚硬	牢固;坚实;固体;坚固;艰苦;立体;沉重;艰难;硬;扎实
监督	治理;操纵;克制;控制;节制;支配;牵制;考察;检查;检验
尖端	最好
尖锐	强烈;激烈;锋利;剧烈;灵敏;敏锐;急剧
艰难	难;别扭;坚固;艰苦;沉重;硬;坚硬
拣	摘;捡;接;掐;拾
检讨	反思;复习;回顾;考核
检验	实验;试验;审查;考验;考核;测验;检查;考察;监督
简化	精简
简要	总而言之;总之
溅	泼
鉴别	分辨;区分;辨认;识别
鉴定	考核;认定;评估;辨认;评价
鉴于	反之
间隔	分裂;缺口;除;划分
见解	意见;风光;主张;看待;目光
见闻	知识;资料;学问;信息
健全	坚强;结实;霸道;强烈;坚固;重;浓;扎实
将近	濒临;关闭;跟前;截止;近;亲密;几乎;差不多;闭塞;精密
将军	遏制;清理;刹车;支票;制止;制服;普遍;报到;挫折;对照
将就	接受;采纳;服气;容忍
桨	划
奖励	报酬;奖赏
奖赏	报酬;奖励
降临	成为;抵达;到;降落;到达
交叉	穿越
交代	递;交;解释;完;辩解;完毕;说明;明确;提示;坦白;表明
交涉	磋商;谈判
焦点	重心;重点;集中
娇气	嫩;精致;细致
搅拌	混合;混淆;夹杂;搀;串;鼓动
缴纳	工资;付款;开支;待遇;支出
教养	培训;抚养;列车;斯文;文化;教育;训练;培育;培养;孕育
较量	竞争;计较
接连	连续;纷纷;陆续
揭露	曝光;暴露;查获;透露
节奏	旋律;揍;拍;殴打
节制	治理;缓和;操纵;克制;温和;控制;调剂;管辖;制约;支配;牵制;拘束;约束;束缚;监督
杰出	优秀;高超;显著;出色;突出;卓越
结晶	成效;成果;致使
结局	结论
结算	和解
竭尽全力	拼命
截至	以致;上;为期;以至;凭
截止	将近;濒临;关闭;跟前;拦;阻拦;近;堵塞;终止;亲密;期限;刹车;闭塞;停;精密;制止
解除	抬;缓解;举;解雇;拆;空闲;消除;排除;摆脱;除;排斥;清除;掀起;自由
解放	释放
解雇	射击;解除;发射;火
解散	融化;溶解
解体	瓦解;倒闭;崩溃;塌
戒备	防止;惊动
界限	局限;境界;极限;边界;限制;边缘;约束;制止
金融	财政
紧迫	迫切;紧急
进攻	冲击;扑;袭击;攻击;打击
进化	演变
进展	演变;上进;相处
近来	最近;一向
浸泡	沐浴;陡峭
精华	灵魂;本质;实质
精简	简化;降低;减少;凝聚
精密	将近;濒临;关闭;跟前;截止;精确;近;确切;亲密;斯文;闭塞;精致;准确;文雅
精确	精密;准确;确切
精通	良好;熟练;乖;好;出息;拿手;主人;掌握
精心	无微不至;阐述;罚款;一丝不苟;精致;细致;晴;优美;敷衍;详细
精致	嫩;娇气;斯文;罚款;精心;细致;晴;优美;精密;文雅
经费	心血;开支;资金
经纬	要点
惊动	骚扰;打扰;捣乱;戒备;扰乱
惊奇	吃惊
惊讶	吃惊;了不起;诧异
井	警告;告诫;嗯;警惕
警告	井;告诫;警惕
警惕	警告;井;告诫
境界	状态;局势;边界;状况;州;界限;陈述;地步
竞赛	种族;竞争
镜头	现场;场面;风光;情景
纠纷	争端;争议;是非;打官司
纠正	正;更正;正确;端正;改正
酒精	掠夺
就近	跟前;附近
就职	上任
拘留	滞留
拘束	笨拙;尴尬;别扭;克制;节制;难受;制约;遏制;牵制;约束;憋;束缚
居民	居住
居住	居民
局部	地方;当地;部位;零件;部分
局面	场合;局势;格局;形势;状况;淘汰;层次;情况;步骤;事态;侧面;地步;情形;方面;情景
局势	境界;场合;状态;格局;形势;状况;州;情况;事态;局面;地步;情形;陈述;情景
局限	极限;封闭;限制;约束;界限;制止
举动	演习;动作;动态;玩意儿;搬;挪;运行;事业;移动;行动;绕;扮演;活动;迁徙;动静
沮丧	泄气;忧郁;沉闷
剧烈	尖锐;激烈;敏锐;厉害;猛烈;暴力;严厉;凶恶;严峻
卷	册;体积;滚
觉悟	意识;知觉
倔强	执着;固执;顽固
君子	绅士;贵族
卡通	漫画;动画片
开采	提炼;开拓;剥削
开除	驱逐
开阔	开放;宽敞;睁;公开;敞开;瞪;开辟;开展;广阔;宽;开;展开
开朗	开明;快活;乐观;愉快;豪迈;虚心
开明	开朗;启蒙;豪迈;虚心;启示
开辟	发动;着手;衬托;镶嵌;成立;睁;公开;开展;修建;展开;开放;建设;树立;瞪;出发;搭;开阔;开;设置;设立;敞开
开拓	发达;发挥;开采;剥削;发育;演变;开展;生长;发展;发扬
开展	发动;发达;实施;落实;开辟;睁;公开;发挥;携带;实行;展开;开放;开拓;扛;戴;贯彻;提;瞪;端;生长;发展;发扬;开阔;开;执行;发育;演变;发射;挎;敞开
开支	工资;付款;心血;经费;缴纳;待遇;支出
刊登	出版;公布;发表;发行
勘探	探测;展望;证明
看待	见解;风光;目光
慷慨	大方
扛	执行;戴;贯彻;实行;提;端;实施;携带;开展;挎;落实
考察	审查;辩证;探讨;检查;检验;监督;追究
考核	审查;评估;反思;复习;权衡;鉴定;回顾;检讨;评价;检验
考验	实验;试验;检验;测验
磕	扣;敲
科目	题目;标题
渴望	长;盼望;久;思念;悠久;巴不得;向往
可口	好吃
可恶	丑恶
可行	切实
课题	发布;颁布;疙瘩;周折;发表;任务;题;散发;发行;题目;颁发
克制	治理;束;操纵;控制;节制;遏制;拘束;牵制;约束;憋;支配;监督
客户	用户;顾客;当事人
啃	咬
恳切	认真;诚恳;踏实;诚挚;真挚
坑	诈骗
空洞	空;空虚
空前绝后	别致;唯独
空想	梦;发呆;幻想
空虚	空;空洞
孔	布局;洞
恐怖	糟糕;凶恶;要命;可怕
恐吓	威胁
恐惧	害怕;胆怯;畏惧
口气	语气
口腔	口;嘴
扣	疙瘩;逮捕;粉碎;纽扣儿;敲;覆盖;砸;系;磕;包庇;掩护;掩盖;盖;被
哭泣	哭
枯燥	无聊;莫名其妙
枯萎	疲惫
挎	扛;戴;贯彻;执行;提;端;实施;携带;开展;实行;落实
快活	幸福;开朗;舒畅;痛快;愉快;开心;欢乐;快乐;高兴;喜悦;美满
宽敞	广阔;宽;开阔
宽容	仁慈;饶恕;原谅;慈善
款待	招待
款式	模样;模型;格局;体裁;模式;风格;图案;形态;华丽;构思;样式;设计;造型
框架	陷害;提纲;诬陷
况且	除非;另外;此外;并且
亏损	遗失;赤字;损失
捆绑	束;约束;束缚
扩充	延伸;延期;放大;延长;铺;蔓延;扩大;发展;扩张
扩散	延伸;流传;摊;铺;蔓延;散布;弥漫;传播
扩张	扩充;发展;扩大
喇叭	角
来历	根源;来源;历史
来源	根源;来历
懒惰	懒;空闲
捞	钓;鱼
牢固	坚强;坚实;坚硬;固体;坚固;立体;坚决;果断;硬;扎实;坚定
牢骚	埋怨;闲话;抱怨
乐趣	趣味;喜悦;欢乐
乐意	满意;内容;内涵
类似	相似;犹如
冷酷	冷却;凉快;狠心;镇定;镇静;严峻
冷却	镇定;镇静;凉快;冷酷
冷落	荒凉;凄凉;偏僻
愣	恰巧;竟然;不料;居然
理睬	讲究;注重
理智	道理;理由;原因;情理;正当;缘故;智力;合理
立场	姿势;位置;方位;位;职务;阵地;部位;职位
立体	牢固;坚实;固体;扎实;坚硬
立足	敌视;对抗
历来	向来;一直;始终;总是;一向;从来
利害	权利;趣味;利息;利益
力所能及	尽量
力争	操劳;力求;争取;努力;谋求
力求	力争;争取;努力;谋求
连同	随着;一起
联络	交流;环节;通讯;交际;联系
联盟	联合
联想	党
廉洁	老实;正当;诚实;坦白;人格
辽阔	广阔
吝啬	意味着;残忍;卑鄙;小气
零星	随意
灵感	启发
灵魂	心灵;气概;气魄;志气;精华;精神
灵敏	尖锐;心灵;伶俐;机灵;巧妙;智能;敏感;敏锐;锋利;敏捷;聪明;急剧
伶俐	智能;巧妙;机灵;灵敏;机智;聪明;风趣
领会	理解;把握;抓紧;懂;了解;领悟
领土	土地
领悟	理解;懂;了解;领会
领先	带领;引导;婴儿;主导;引起;导致;率领
领袖	华侨;裁判;领导
留恋	留念
留念	留恋
留神	手表;小心;处置;关照;保管;当心
流浪	漂浮;串;徘徊
流露	表示;暴露;展示
流氓	无赖;歹徒
流通	循环
隆重	兴旺;庄重;兴隆;昌盛;风光;壮观;雄伟;宏伟;庄严;伟大;繁荣
搂	抱;拥抱
轮船	船
论证	示威;证明;示范
啰唆	麻烦;伤脑筋
落实	实用;扛;戴;贯彻;实行;执行;履行;踏实;提;端;实施;扎实;携带;做主;开展;切实;挎
络绎不绝	昼夜
屡次	一再;反复;再三
履行	执行;贯彻;表演;实施;采取;实行;落实
掠夺	酒精;抢劫;抢
麻痹	秃;麻木;挫折;瘫痪
麻木	麻痹
埋怨	牢骚;抱怨
漫画	卡通;动画片
蔓延	延伸;扩散;流传;延期;摊;延长;铺;散布;扩充;传播
忙碌	忙;占线;繁华;繁忙
茫然	作废;愚昧
盲目	瞎
冒犯	得罪;触犯
枚	颗
媒介	媒体;中介
美观	美丽;漂亮;美妙
美满	幸福;舒畅;快活;完备;完美;愉快;痛快;开心;欢乐;快乐;高兴;喜悦
美妙	美丽;辉煌;奇妙;美观;灿烂;卓越;精彩;漂亮
猛烈	激烈;剧烈;厉害;暴力;凶恶
弥补	挽救;补救
弥漫	扩散;渗透
迷惑	混淆
密封	封锁;封闭
免得	以免
勉励	鼓励;激励
面貌	模样;神态;脸;样子;特征;容貌;体面;面对;面子
面子	表彰;威望;名誉;外表;威风;尊严;声誉;脸;信誉;荣誉;体面;面貌;面对;外
描绘	塑造;描写;形容
瞄准	宗旨;目的;针对
渺小	分;分钟;微不足道
藐视	轻视;鄙视;蔑视;看不起
蔑视	鄙视;看不起;贬低;藐视;轻视
灭亡	去世;熄灭;销毁;毁灭;破坏;淘汰;逝世;死
民间	通俗;火;热门
敏捷	灵敏;挥霍;灵活
敏锐	尖锐;锋利;剧烈;灵敏;急剧
明明	显然;斩钉截铁
明智	机灵;英明;正当;高明
名誉	表彰;尊严;声誉;信誉;荣誉;面子
命名	命令;叫;称;号召
摩擦	揉;致辞;争端;冲突
磨合	爆发;违反;戴;粉碎;分裂;折;破;穿;断;断绝;中断
模范	模型;榜样;模特;典型;塑造
模式	模样;方式;体裁;款式;风格;方法;样式;造型
模型	格局;榜样;模特;款式;图案;形态;典型;模范;样式;塑造
抹杀	取缔;创作;著作;压制;擦;写
莫名其妙	无聊;枯燥
谋求	力求;力争;争取;寻找;努力
模样	对于;寻觅;瞧;目光;体裁;款式;风格;样式;当心;操劳;气色;照顾;寻找;关照;左右;面貌;造型;东张西望;神态;样子;大约;看;模式;关于
目光	见解;眼光;寻觅;瞧;视力;凝视;模样;注视;眼睛;当心;操劳;气色;照顾;寻找;关照;盯;东张西望;神态;样子;风光;看;看待
沐浴	浸泡
拿手	良好;精通;乖;好;出息;专家
难得	珍稀
难堪	尴尬
恼火	生气;要命;加剧
内涵	意图;内容;意思;意义;含义;乐意;心眼儿;动机;意向
内在	天生;固有
能量	精神;活力;精力;气势
拟定	制定;草案;吸取;学习;起草
年度	年
捏	揉;制定;交;使;包装;制作;拧;挣;组成;化妆;掐;补偿;搞;弄
拧	捏;掐
凝固	冻;冻结
凝聚	配套;精简
凝视	注视;瞪;盯;目光
宁肯	宁可;宁愿
宁愿	宁可;愈;宁肯
纽扣儿	扣
扭转	颠倒;挫折
浓厚	深;深刻;稠密;浓;深沉;厚
挪	举动;转移;搬;运行;移动;绕;迁徙
虐待	糟蹋;弊端
哦	呀;啊;哈;哎;呵
殴打	打架;揍;砸;电池;打击;节奏;撞;拍
呕吐	吐
排斥	解除;拆;消灭;否决;消除;淘汰;排除;抵制;除;清除;拒绝
排除	解除;拆;消灭;消除;淘汰;摆脱;除;排斥;清除
排放	放;散发;发射;释放
徘徊	犹豫;迟疑;流浪
派别	团;组;群;派;集团;团体
派遣	发;寄;派
攀登	扒;规模
盘旋	漂浮;伴随;触犯;循环;轨道;去;圈
畔	储蓄;银行;岸;旁边
判决	裁判;句子
庞大	厉害;巨大
抛弃	甩;放弃
培育	培训;教养;列车;训练;品种;孕育;繁殖
配备	装备;器材;供给;武装;支配;拨;设备;提供
配偶	伴侣
配套	凝聚
盆地	盆
捧	称赞;表扬;吹捧;夸;过奖;赞美
劈	看见;砍;拍
批发	分布;布局;分配
批判	谴责;指责
疲惫	疲倦;枯萎;累
疲倦	疲惫;累
屁股	底
譬如	例如;比如
偏差	错误;误差;故障
偏僻	遥远;冷落;荒凉;闭塞;凄凉
偏偏	可惜
片断	部分;部位;环节;节
片刻	时刻;一会儿;刻;瞬间;趁
飘扬	航行;波浪;扑;飞翔;挥
漂浮	飘;盘旋;串;流浪
撇	摔倒;丢;甩;唾弃;铸造
拼搏	斗争;挣扎;搏斗;奋斗;挣
拼命	竭尽全力
频繁	不时;经常;时常;往往
贫乏	穷;可怜;贫困
贫困	穷;可怜;贫乏
品尝	标本;样品
品质	质量;档次
品种	孕育;培育;繁殖;种类
平凡	平庸
平坦	光滑;顺利;平;扁;尚且;档次;级别;熨;水平;连
平行	并列
平原	田野;朴实;领域
平庸	平凡
评估	权衡;评价;鉴定;考核
评论	洽谈;探讨;讨论
屏障	障碍;墙
屏幕	筛选;掩护
坡	倾斜
泼	溅
颇	未免;很;挺;相当;体面
迫不及待	不耐烦;急躁
迫害	折磨
魄力	干劲;气魄;勇气;驾驶;志气;勇于;驱逐
扑	进攻;飘扬
铺	延伸;扩散;流传;延期;摊;延长;蔓延;散布;扩充;传播
普及	普遍
朴实	单纯;简单;踏实;平原
期望	预期;预料;意料;展望;期待;希望;指望
期限	截止;项
欺骗	作弊;骗
凄凉	荒凉;冷落;偏僻
奇妙	精彩;美妙
齐全	完整;完毕;完备;十足;完成
起草	制定;拟定;草案
起初	本来;当初
起码	至少
起源	创立;来自
启示	开明;启蒙
启事	须知;通知;布告;公告
启蒙	开明;倡议;传授;倡导;启示;创业
企图	尝试;试图
岂有此理	荒唐;荒谬;不像话
器材	装备;物质;武装;设备;配备
器官	仪器
气概	心灵;灵魂;气魄;志气;精神
气魄	心灵;气概;灵魂;志气;精神;魄力
气色	模样;神态;操劳;照顾;样子;东张西望;看;寻觅;瞧;寻找;关照;目光;当心
气势	声势;能量;精神;活力;精力
气味	味道;闻
气质	脾气
迄今为止	仍旧;尚且;还;仍然;依旧;依然;至今;还是
掐	打架;斗争;战斗;搏斗;摘;捡;争取;拧;拣;接;争夺;捏;拾
恰当	妥当;适宜;妥善;相应;合适
恰巧	公正;索性;愣;正;刚才;竟然;正当;居然;幸亏;刚;唯独;不料
洽谈	探讨;评论;讨论
牵	拉;扒;撤退
牵扯	涉及;包括
牵制	治理;操纵;克制;妨碍;控制;节制;制约;支配;拘束;约束;束缚;制止;监督
签署	符号;标志;预订;签;手势;登录;迹象;标记
迁就	适应;让步;屈服;容纳
迁徙	举动;搬;挪;运行;移动;绕
谦逊	谦虚;虚心
前景	前途;出息
谴责	批判;攻击;批评;指责
抢劫	掠夺;抢
抢救	救;挽救
强迫	逼迫;动力;暴力
桥梁	桥
翘	抬;抚养;举;饲养;提;耸
窍门	玩意儿;手法;骗;圈套
锲而不舍	坚持
切实	实用;现实;踏实;扎实;可行;落实
亲密	将近;密切;关闭;濒临;亲热;跟前;截止;近;闭塞;精密
亲热	密切;亲密
侵犯	违反;触犯;违背
钦佩	瞻仰;佩服;折
勤劳	勤奋;刻苦;辛勤;用功
清澈	清楚;清晰;清理;明白;显然;澄清
清除	解除;消灭;消除;淘汰;排除;摆脱;除;排斥
清洁	干净;清真;打扫
清理	将军;报到;清楚;制止;清晰;布置;遏制;明白;刹车;清澈;支票;显然;制服;澄清;挫折;对照
清晰	鲜明;清楚;清理;明白;清澈;显然;澄清
清真	纯粹;打扫;干净;清洁;纯洁;单纯
倾听	听
倾向	趋势;潮流;动态;导向
倾斜	坡;靠
情报	智力;智慧;智能
情节	形势;情况;情形;策划;阴谋;条件
情理	道理;理由;原因;理智;缘故
情形	场合;局势;格局;形势;状况;情节;情况;事态;局面;地步;情景;条件
请柬	请帖
请教	磋商;协商;咨询
请帖	请柬
区分	分辨;鉴别;辨认;识别
区域	地区;面积;领域
屈服	窝;给予;迁就;放弃;折;给;赋予;投降;让步
曲折	复杂
驱逐	开除;干劲;驾驶;志气;魄力
取缔	禁止;抹杀;压制
曲子	音乐
趣味	口味;过瘾;利益;利害;味道;审美;利息;滋味;尝;权利;乐趣
圈套	手法;骗;陷阱;玩意儿;窍门
权衡	称;考核;调剂;评估;考虑;着想;平衡;斟酌
权威	威信
拳头	高档
犬	狗
缺口	突破;间隔
缺陷	毛病;故障;过失
确保	保障;保管;保证;担保
确立	成立;创立;树立;奠定;建立;设立
确切	精密;明确;准确;精确
确信	务必;服气;确定
染	抓;捕捉
嚷	喊;呼唤
让步	给予;迁就;放弃;屈服;给;赋予
饶恕	原谅;宽容
扰乱	骚扰;打扰;捣乱;惊动
热门	热;通俗;民间;火
人道	人性
人格	尊严;廉洁;性格;体面;个性
人工	虚伪;人为
人家	本人;家庭;我
人间	世界
人士	人
人为	虚伪;人工
人性	人道
仁慈	善良;亲切;和蔼;和气;宽容;慈祥;慈善;番;爱心
忍耐	压迫
忍受	承受;挨;熬;生育;受罪;吃苦;承担
认定	测量;保养;意志;维护;辨认;决心;维持;鉴定;保持;确定;断定
认可	证书;批准;行;赞成
任命	约会
任意	随意;胡乱
仍旧	尚且;还;迄今为止;仍然;残留;倒;依旧;而;却;剩;依然;不过;还是
融化	衔接;组合;解散;溶解
融洽	和睦;和谐;调和
溶解	解散;方案;融化
容貌	特征;面貌
容纳	算数;抱;迁就;容忍;蕴藏;把;遏制;举行;占领;憋;举办;占据;盛;扶;包含
容忍	将就;容纳
荣誉	名誉;声誉;信誉;光辉;功劳;面子
