"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"工人⠀";"gōngrén";"/worker/CL:個|个[ge4],名[ming2]//worker/CL:个[gè],名[míng]";"工 (work)";"Other words using this character: 工作 (work); 工资 (wages); 打工 (work); 工厂 (factory); 工具 (tool); 工业 (industry); 手工 (handwork); 员工 (staff); 工程师 (engineer)";"人 (person)";"Other words using this character: 人 (person); 男人 (man); 女人 (wife); 别人 (others); 客人 (visitor); 成人 (adulthood); 敌人 (enemy); 个人 (individual); 人才 (talent); 人类 (humanity)";"❈ 他是一名优秀的工人，工作非常努力。";"<i>tā shì yīmíng yōuxiù de gōngrén, gōngzuò fēicháng nǔlì.</i><br></br>He is an excellent worker and works very hard.";"❈ 工人们正在进行罢工。";"<i>gōngrén men zhèngzài jìnxíng bàgōng.</i><br></br>The workers are on strike.";"❈ 这家工厂有很多工人。";"<i>zhèjiā gōngchǎng yǒu hěnduō gōngrén.</i><br></br>This factory has many workers.";"🐇 蓝曦臣是一名负责的工人，总是认真对待自己的工作。";"<i>lánxīchén shì yīmíng fùzé de gōngrén, zǒngshì rènzhēnduìdài zìjǐ de gōngzuò.</i><br></br>Lan Xichen is a responsible worker, always taking his work seriously.";"♻❈ 工人们决定罢工以争取更好的工作条件。";"<i>gōngrén men juédìng bàgōng yǐ zhēngqǔ gēnghǎo de gōngzuò tiáojiàn.</i><br></br>The workers decided to go on strike to fight for better working conditions."
"恭喜⠀";"gōngxǐ";"/to congratulate/(interj.) congratulations!//to congratulate/(interj.) congratulations!";"恭 (respectful)";"There are no other HSK words in this level (or before) using this character.";"喜 (happy)";"Other words using this character: 喜欢 (like)";"❈ 恭喜你们的孩子获得了奖学金。";"<i>gōngxǐ nǐmen de háizi huòdé le jiǎngxuéjīn.</i><br></br>Congratulations on your child's scholarship.";"❈ 他们恭喜了新婚夫妇。";"<i>tāmen gōngxǐ le xīnhūnfūfù.</i><br></br>They congratulated the newlyweds.";"❈ 恭喜你通过了考试！";"<i>gōngxǐ nǐ tōngguò le kǎoshì!</i><br></br>Congratulations on passing the exam!";"🐇 温情恭喜金凌成为家族的新主人。";"<i>wēnqíng gōngxǐ jīnlíng chéngwéi jiāzú de xīn zhǔrén.</i><br></br>Wen Qing congratulated Jin Ling on becoming the new head of the family."
"贡献⠀";"gòngxiàn";"/to contribute/to dedicate/to devote/contribution/CL:個|个[ge4]//to contribute/to dedicate/to devote/contribution/CL:个[gè]";"贡 (tribute)";"There are no other HSK words in this level (or before) using this character.";"献 (offer)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的贡献被公司高度赞扬。";"<i>tā de gòngxiàn bèi gōngsī gāodùzànyáng.</i><br></br>Her dedication is highly praised by the company.";"❈ 他为这个项目做出了巨大的贡献。";"<i>tā wéi zhège xiàngmù zuòchū le jùdà de gòngxiàn.</i><br></br>He made a huge contribution to this project.";"❈ 这个成就是他多年努力的贡献。";"<i>zhège chéngjiù shì tā duōnián nǔlì de gòngxiàn.</i><br></br>This achievement is the result of his years of dedication.";"🐇 魏无羡为人族和魔道界做出了巨大的贡献。";"<i>wèiwúxiànwéi rénzú hé módàojiè zuòchū le jùdà de gòngxiàn.</i><br></br>Wei Wuxian has made enormous contributions to the human and demonic cultivation world.";"♻❈ 他号召大家一起为环保做贡献。";"<i>tā hàozhào dàjiā yīqǐ wéi huánbǎo zuò gòngxiàn.</i><br></br>He called on everyone to contribute to environmental protection."
"构成⠀";"gòuchéng";"/to constitute/to form/to compose/to make up/to configure (computing)//to constitute/to form/to compose/to make up/to configure (computing)";"构 (construct)";"Other words using this character: 结构 (structure)";"成 (succeed)";"Other words using this character: 成绩 (achievement); 完成 (complete); 成功 (succeed); 成为 (become); 养成 (cultivate); 成立 (establish); 成人 (adulthood); 成语 (idiom); 赞成 (approve); 造成 (cause)";"❈ 这些因素构成了成功的关键。";"<i>zhèxiē yīnsù gòuchéng le chénggōng de guānjiàn.</i><br></br>These factors constitute the key to success.";"❈ 这些部分构成了整个系统。";"<i>zhèxiē bùfen gòuchéng le zhěnggè xìtǒng.</i><br></br>These parts make up the entire system.";"❈ 这些数字构成了一个图案。";"<i>zhèxiē shùzì gòuchéng le yīgè túàn.</i><br></br>These numbers form a pattern.";"🐇 蓝曦臣的微笑构成了一道风景。";"<i>lánxīchén de wēixiào gòuchéng le yīdào fēngjǐng.</i><br></br>Lan Xichen's smile forms a beautiful scenery.";"♻❈ 他的言行对我们构成了威胁。";"<i>tā de yánxíng duì wǒmen gòuchéng le wēixié.</i><br></br>His words and actions pose a threat to us."
"姑姑⠀";"gūgu";"/paternal aunt/CL:個|个[ge4]//paternal aunt/CL:个[gè]";"姑 (paternal aunt)";"Other words using this character: 姑娘 (girl)";"姑 (paternal aunt)";"Other words using this character: 姑娘 (girl)";"❈ 我姑姑是我妈妈的妹妹。";"<i>wǒ gūgu shì wǒ māma de mèimei.</i><br></br>My aunt is my mother's sister.";"❈ 姑姑对我很关心。";"<i>gūgu duì wǒ hěn guānxīn.</i><br></br>My aunt cares a lot about me.";"❈ 我姑姑是一个很好的厨师。";"<i>wǒ gūgu shì yīgè hěn hǎo de chúshī.</i><br></br>My aunt is a very good cook.";"🐇 温情的姑姑总是给予我们无尽的爱和关怀。";"<i>wēnqíng de gūgu zǒngshì jǐyǔ wǒmen wújìn de ài hé guānhuái.</i><br></br>A warm-hearted paternal aunt always gives us endless love and care."
"古典⠀";"gǔdiǎn";"/classical//classical";"古 (ancient)";"Other words using this character: 古代 (ancient); 名胜古迹 (historical sites)";"典 (canon)";"Other words using this character: 词典 (dictionary); 经典 (classic)";"❈ 这是一部古典文学作品。";"<i>zhèshì yībù gǔdiǎnwénxué zuòpǐn.</i><br></br>This is a classical literary work.";"❈ 古典建筑有着悠久的历史。";"<i>gǔdiǎnjiànzhù yǒuzhe yōujiǔ de lìshǐ.</i><br></br>Classical architecture has a long history.";"❈ 我喜欢听古典音乐。";"<i>wǒ xǐhuan tīng gǔdiǎnyīnyuè.</i><br></br>I like to listen to classical music.";"🐇 温情的舞蹈风格充满了古典的韵味。";"<i>wēnqíng de wǔdǎo fēnggé chōngmǎn le gǔdiǎn de yùnwèi.</i><br></br>Wen Qing's dance style is full of classical charm.";"♻❈ 这个乐队演奏了一系列古典乐曲。";"<i>zhège yuèduì yǎnzòu le yīxìliè gǔdiǎn yuèqǔ.</i><br></br>The band performed a series of classical musical compositions."
"鼓舞⠀";"gǔwǔ";"/heartening (news)/to boost (morale)/CL:個|个[ge4]//heartening (news)/to boost (morale)/CL:个[gè]";"鼓 (drum)";"Other words using this character: 鼓励 (encourage); 鼓掌 (applaud)";"舞 (dance)";"Other words using this character: 跳舞 (dance)";"❈ 这个好消息鼓舞了我们的士气。";"<i>zhège hǎoxiāoxí gǔwǔ le wǒmen de shìqì.</i><br></br>This good news boosted our morale.";"❈ 他的话鼓舞了我，让我更有信心。";"<i>tā dehuà gǔwǔ le wǒ, ràng wǒ gēng yǒu xìnxīn.</i><br></br>His words inspired me and gave me more confidence.";"❈ 音乐总是能够鼓舞人的心情。";"<i>yīnyuè zǒngshì nénggòu gǔwǔ rén de xīnqíng.</i><br></br>Music always has the power to uplift people's spirits.";"🐇 金凌的坚韧不拔鼓舞了家族的信心，让他们更加坚定。";"<i>jīnlíng de jiānrènbùbá gǔwǔ le jiāzú de xìnxīn, ràng tāmen gèngjiā jiāndìng.</i><br></br>Jin Ling's perseverance boosted the confidence of the clan, making them more determined.";"♻🐇 温情挥舞着手中的旗子，鼓舞着士兵们的斗志。";"<i>wēnqíng huīwǔ zhe shǒuzhōng de qízi, gǔwǔ zhe shìbīng men de dòuzhì.</i><br></br>Wen Qing waved the flag in her hand, boosting the soldiers' morale."
"股票⠀";"gǔpiào";"/share certificate/stock (finance)//share certificate/stock (finance)";"股 (thigh)";"There are no other HSK words in this level (or before) using this character.";"票 (ticket)";"Other words using this character: 票 (ticket); 发票 (invoice); 支票 (check)";"❈ 这家公司的股票价格一直在上涨。";"<i>zhèjiā gōngsī de gǔpiàojiàgé yīzhí zài shàngzhǎng.</i><br></br>The stock price of this company has been rising.";"❈ 他买了一些股票。";"<i>tā mǎi le yīxiē gǔpiào.</i><br></br>He bought some stocks.";"❈ 她的父母给她买了一些股票作为礼物。";"<i>tā de fùmǔ gěi tā mǎi le yīxiē gǔpiào zuòwéi lǐwù.</i><br></br>Her parents bought her some stocks as a gift.";"❈ 她的父母给了她一些股票作为礼物。";"<i>tā de fùmǔ gěi le tā yīxiē gǔpiào zuòwéi lǐwù.</i><br></br>Her parents gave her some stocks as a gift."
"固定⠀";"gùdìng";"/to fix/to fasten/to set rigidly in place/fixed/set/regular//to fix/to fasten/to set rigidly in place/fixed/set/regular";"固 (solid)";"There are no other HSK words in this level (or before) using this character.";"定 (fix)";"Other words using this character: 决定 (decide); 一定 (certainly); 规定 (stipulate); 肯定 (affirmative); 稳定 (stable); 制定 (formulate); 否定 (negate); 确定 (definite); 说不定 (maybe)";"❈ 这个架子需要固定在墙上。";"<i>zhège jiàzi xūyào gùdìng zài qiángshàng.</i><br></br>This shelf needs to be fixed to the wall.";"❈ 他的工作时间很固定。";"<i>tā de gōngzuò shíjiān hěn gùdìng.</i><br></br>His work schedule is very regular.";"❈ 我们每周固定开会。";"<i>wǒmen měizhōu gùdìng kāihuì.</i><br></br>We have a regular meeting every week.";"🐇 蓝湛固定了琴弦，准备为云深不知处的客人演奏。";"<i>lánzhàn gùdìng le qínxián, zhǔnbèi wéiyúnshēn bùzhī chù de kèrén yǎnzòu.</i><br></br>Lan Zhan fixed the strings and prepared to play for the visitors of the Cloud Recesses.";"♻❈ 这个数额是固定的，不会改变。";"<i>zhège shùé shì gùdìng de, bùhuì gǎibiàn.</i><br></br>This amount is fixed and will not change."
"挂号⠀";"guàhào";"/to register (at a hospital etc)/to send by registered mail//to register (at a hospital etc)/to send by registered mail";"挂 (to hang)";"Other words using this character: 挂 (to hang)";"号 (cry)";"Other words using this character: 号 (cry); 号码 (number); 信号 (signal)";"❈ 挂号需要排队吗？";"<i>guàhào xūyào páiduì ma?</i><br></br>Do I need to line up to register?";"❈ 你可以挂号寄信。";"<i>nǐ kěyǐ guàhào jìxìn.</i><br></br>You can send the mail by registered mail.";"❈ 我需要挂号看医生。";"<i>wǒ xūyào guàhào kàn yīshēng.</i><br></br>I need to register to see the doctor.";"🐇 金凌挂号信里装着对亲人的思念。";"<i>jīnlíng guàhàoxìn lǐzhuāng zhe duì qīnrén de sīniàn.</i><br></br>Jin Ling's registered mail contained his longing for his family."
"拐弯⠀";"guǎiwān";"/to go round a curve/to turn a corner/fig. a new direction//to go round a curve/to turn a corner/fig. a new direction";"拐 (turn)";"There are no other HSK words in this level (or before) using this character.";"弯 (bend)";"There are no other HSK words in this level (or before) using this character.";"❈ 在生活中，我们常常需要拐弯。";"<i>zàishēnghuózhōng, wǒmen chángcháng xūyào guǎiwān.</i><br></br>In life, we often need to turn corners.";"❈ 小狗在拐弯处停了下来。";"<i>xiǎogǒu zài guǎiwānchù tíng le xiàlai.</i><br></br>The puppy stopped at the corner.";"❈ 他拐弯的速度很快。";"<i>tā guǎiwān de sùdù hěnkuài.</i><br></br>He turns corners very quickly.";"🐇 金凌拐弯后，变得更加成熟。";"<i>jīnlíng guǎiwān hòu, biànde gèngjiā chéngshú.</i><br></br>Jin Ling became more mature after turning the corner.";"♻🐇 江澄一般就说实话，不喜欢拐弯抹角。";"<i>jiāngchéng yībān jiù shuōshíhuà, bù xǐhuan guǎiwānmòjiǎo.</i><br></br>Jiang Cheng generally speaks the truth and doesn't like beating around the bush."
"官⠀";"guān";"/government official/governmental/official/public/organ of the body/CL:個|个[ge4]//government official; governmental; official; public; organ of the body; surname Guan; CL:个[gè]";"官 (official)";"There are no other HSK words in this level (or before) using this character.";"❈ 官员们正在讨论新的政策。";"<i>guānyuán men zhèngzài tǎolùn xīn de zhèngcè.</i><br></br>The officials are discussing new policies.";"❈ 这个机构的官员都很有能力。";"<i>zhège jīgòu de guānyuán dōu hěn yǒu nénglì.</i><br></br>The officials of this organization are very capable.";"❈ 他是一名政府官员。";"<i>tā shì yīmíng zhèngfǔ guānyuán.</i><br></br>He is a government official.";"🐇 金光瑶的身份是金家的官员。";"<i>jīnguāng yáo de shēnfèn shì jīnjiā de guānyuán.</i><br></br>Jin Guangyao's identity is an official of the Jin family.";"♻❈ 肺是人体的重要器官之一。";"<i>fèi shì réntǐ de zhòngyào qìguān zhīyī.</i><br></br>The lung is one of the important organs of the human body."
"关闭⠀";"guānbì";"/to close; to shut (a window etc)/(of a shop, school etc) to shut down//to close; to shut (a window etc)/(of a shop, school etc) to shut down";"关 (close)";"Other words using this character: 没关系 (it's okay); 关 (close); 关系 (relationship); 关心 (concerned); 关于 (pertaining to); 关键 (crucial); 海关 (customs); 相关 (related)";"闭 (close)";"There are no other HSK words in this level (or before) using this character.";"❈ 商店关闭了，我们需要找另外一个地方。";"<i>shāngdiàn guānbì le, wǒmen xūyào zhǎo lìngwài yīgè dìfāng.</i><br></br>The shop is closed, we need to find another place.";"❈ 学校关闭了两天，进行消毒。";"<i>xuéxiào guānbì le liǎngtiān, jìnxíng xiāodú.</i><br></br>The school closed for two days for disinfection.";"❈ 请关闭门窗，防止蚊虫进入。";"<i>qǐng guānbì ménchuāng, fángzhǐ wénchóng jìnrù.</i><br></br>Please close the doors and windows to prevent mosquitoes from entering.";"🐇 魏无羡关闭了窗户，让屋内的气氛变得更加温馨。";"<i>wèiwúxiàn guānbì le chuānghù, ràng wūnèi de qìfēn biànde gèngjiā wēnxīn.</i><br></br>Wei Wuxian closed the window, making the atmosphere inside the room even cozier.";"🐇 江澄关闭了蓝曦臣的书房，不让他过度劳累。";"<i>jiāngchéng guānbì le lánxīchén de shūfáng, bùràng tā guòdù láolèi.</i><br></br>Jiang Cheng closed Lan Xichen's study, not allowing him to overwork."
"观点⠀";"guāndiǎn";"/point of view/viewpoint/standpoint/CL:個|个[ge4]//point of view/viewpoint/standpoint/CL:个[gè]";"观 (observe)";"Other words using this character: 参观 (visit); 观众 (spectators); 悲观 (pessimistic); 观察 (observe); 观念 (notion); 客观 (objective); 主观 (subjective); 乐观 (optimistic)";"点 (point)";"Other words using this character: 一点儿 (a little); 点 (point); 地点 (place); 缺点 (shortcoming); 特点 (characteristic); 优点 (merit); 重点 (focus); 标点 (punctuation); 点心 (pastry)";"❈ 我不同意他的观点。";"<i>wǒ bù tóngyì tā de guāndiǎn.</i><br></br>I don't agree with his point of view.";"❈ 他的观点很有道理。";"<i>tā de guāndiǎn hěn yǒu dàoli.</i><br></br>His viewpoint is very reasonable.";"❈ 你有什么观点想要分享吗？";"<i>nǐ yǒu shénme guāndiǎn xiǎngyào fēnxiǎng ma?</i><br></br>Do you have any viewpoints to share?";"🐇 蓝曦臣和蓝忘机的观点总是一致。";"<i>lánxīchén hé lánwàngjī de guāndiǎn zǒngshì yīzhì.</i><br></br>Lan Xichen and Lan Wangji's viewpoints are always consistent.";"🦝 水豚是一个受人喜爱的动物，这是大家的共同观点。";"<i>shuǐtún shì yīgè shòurén xǐài de dòngwù, zhèshì dàjiā de gòngtóng guāndiǎn.</i><br></br>The capybara is a beloved animal; this is everyone's common view."
"管子⠀";"guǎnzǐ||guǎnzi";"/tube/pipe/drinking straw/CL:根[gen1]//pipe; drinking straw; Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period; Guanzi, classical book containing writings of Guan Zhong and his school||tube; CL:根[gēn]";"管 (control)";"Other words using this character: 不管 (regardless); 管理 (manage); 尽管 (despite)";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 这根管子连接了两个容器。";"<i>zhègēn guǎnzi liánjiē le liǎnggè róngqì.</i><br></br>This pipe connects two containers.";"❈ 他用管子喝果汁。";"<i>tā yòng guǎnzi hē guǒzhī.</i><br></br>He drinks juice with a straw.";"❈ 这个管子用来输送氧气。";"<i>zhège guǎnzi yònglái shūsòng yǎngqì.</i><br></br>This tube is used to deliver oxygen.";"🐇 蓝曦臣在园林里修理水管子。";"<i>lánxīchén zài yuánlín lǐ xiūlǐ shuǐ guǎnzi.</i><br></br>Lan Xichen is repairing the water pipes in the garden.";"♻❈ 这个管子弯曲了。";"<i>zhège guǎnzi wānqū le.</i><br></br>This pipe is curved."
"光临⠀";"guānglín";"/(formal) to honor with one's presence/to attend//(formal) to honor with one's presence/to attend";"光 (light)";"Other words using this character: 光 (light); 阳光 (sunshine); 光滑 (sleek); 光明 (light); 光盘 (compact disc)";"临 (face)";"Other words using this character: 临时 (temporary); 面临 (face)";"❈ 感谢各位光临我们的展览。";"<i>gǎnxiè gèwèi guānglín wǒmen de zhǎnlǎn.</i><br></br>Thank you for attending our exhibition.";"❈ 欢迎光临我们的餐厅。";"<i>huānyíngguānglín wǒmen de cāntīng.</i><br></br>Welcome to our restaurant.";"❈ 他们光临了我们的婚礼。";"<i>tāmen guānglín le wǒmen de hūnlǐ.</i><br></br>They honored us with their presence at our wedding.";"🐇 温情光临了医馆，为伤员们治疗伤势。";"<i>wēnqíng guānglín le yīguǎn, wéi shāngyuán men zhìliáo shāngshì.</i><br></br>Wen Qing attended the clinic and treated the injuries of the wounded.";"♻❈ 这是你的收据，谢谢光临。";"<i>zhè shì nǐ de shōujù, xièxie guānglín.</i><br></br>This is your receipt, thank you for coming."
"光盘⠀";"guāngpán";"/compact disc (CD); DVD; CD-ROM/CL:片[pian4],張|张[zhang1]//compact disc (CD); DVD; CD-ROM/CL:片[piàn],张[zhāng]";"光 (light)";"Other words using this character: 光 (light); 阳光 (sunshine); 光滑 (sleek); 光明 (light); 光临 (honor with presence)";"盘 (plate)";"Other words using this character: 盘子 (plate); 键盘 (keyboard)";"❈ 我买了一张新的光盘。";"<i>wǒ mǎi le yīzhāng xīn de guāngpán.</i><br></br>I bought a new CD.";"❈ 这张光盘里有很多好听的歌曲。";"<i>zhèzhāng guāngpán lǐ yǒu hěnduō hǎotīng de gēqǔ.</i><br></br>This CD has a lot of nice songs.";"❈ 他的光盘收藏非常丰富。";"<i>tā de guāngpán shōucáng fēicháng fēngfù.</i><br></br>His CD collection is very extensive.";"🐇 魏无羡的光盘收藏非常丰富。";"<i>wèiwúxiàn de guāngpán shōucáng fēicháng fēngfù.</i><br></br>Wei Wuxian's CD collection is very extensive.";"♻❈ 这是一张盗版光盘。";"<i>zhèshì yīzhāng dàobǎn guāngpán.</i><br></br>This is a pirated CD."
"广场⠀";"guǎngchǎng";"/public square; plaza//public square; plaza";"广 (wide)";"Other words using this character: 广播 (broadcast); 广告 (advertising); 广大 (widespread); 广泛 (wide); 推广 (popularize)";"场 (place)";"Other words using this character: 机场 (airport); 场 (place); 操场 (playground); 市场 (marketplace)";"❈ 这个城市的广场很漂亮。";"<i>zhège chéngshì de guǎngchǎng hěnpiāoliàng.</i><br></br>The plaza in this city is very beautiful.";"❈ 广场上有很多人在跳舞。";"<i>guǎngchǎng shàng yǒu hěnduō rén zài tiàowǔ.</i><br></br>There are many people dancing in the square.";"❈ 我们在广场上举行了音乐会。";"<i>wǒmen zài guǎngchǎng shàng jǔxíng le yīnyuèhuì.</i><br></br>We held a concert in the public square.";"❈ 我们在广场上散步。";"<i>wǒmen zài guǎngchǎng shàng sànbù.</i><br></br>We are taking a walk in the square.";"❈ 这个广场很大。";"<i>zhège guǎngchǎng hěndà.</i><br></br>This square is very big."
"广泛⠀";"guǎngfàn";"/wide; broad; extensive; widespread//wide; broad; extensive; widespread";"广 (wide)";"Other words using this character: 广播 (broadcast); 广告 (advertising); 广大 (widespread); 广场 (public square); 推广 (popularize)";"泛 (flood)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个问题影响很广泛。";"<i>zhège wèntí yǐngxiǎng hěn guǎngfàn.</i><br></br>This issue has a wide impact.";"❈ 这个观点得到了广泛的认同。";"<i>zhège guāndiǎn dédào le guǎngfàn de rèntóng.</i><br></br>This view has gained widespread acceptance.";"❈ 他的兴趣广泛，涉及很多领域。";"<i>tā de xìngqù guǎngfàn, shèjí hěnduō lǐngyù.</i><br></br>His interests are wide-ranging, involving many fields.";"❈ 广泛的讨论会有助于解决问题。";"<i>guǎngfàn de tǎolùnhuì yǒuzhùyú jiějuéwèntí.</i><br></br>Extensive discussions will help solve the problem.";"❈ 这个词在中国广泛使用。";"<i>zhège cí zài zhōngguó guǎngfàn shǐyòng.</i><br></br>This word is widely used in China."
"规矩⠀";"guīju";"/lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved//lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved";"规 (rule)";"Other words using this character: 规定 (stipulate); 规律 (rule); 规则 (rule); 规模 (scale)";"矩 (rule)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个公司有很严格的规矩。";"<i>zhège gōngsī yǒu hěn yángé de guīju.</i><br></br>This company has very strict rules.";"❈ 她教育孩子要遵守规矩。";"<i>tā jiàoyù háizi yào zūnshǒu guīju.</i><br></br>She educates her children to follow the rules.";"❈ 他是一个很有规矩的人。";"<i>tā shì yīgè hěn yǒu guīju de rén.</i><br></br>He is a very well-behaved person.";"🐇 蓝曦臣的言行举止都很规矩，深受众人尊敬。";"<i>lánxīchén de yánxíngjǔzhǐ dōu hěn guīju, shēnshòu zhòngrén zūnjìng.</i><br></br>Lan Xichen's words and actions are all very upright and honest, earning him the respect of everyone.";"♻🐇 金凌多次挑战莲花坞的规矩，引起了家族的不满。";"<i>jīnlíng duōcì tiǎozhàn liánhuā wù de guīju, yǐnqǐ le jiāzú de bùmǎn.</i><br></br>Jin Ling repeatedly challenged the rules of Lotus Pier, causing dissatisfaction within the family."
"规模⠀";"guīmó";"/scale/scope/extent/CL:個|个[ge4]//scale/scope/extent/CL:个[gè]";"规 (rule)";"Other words using this character: 规定 (stipulate); 规律 (rule); 规则 (rule); 规矩 (established standard)";"模 (imitate)";"Other words using this character: 模糊 (vague); 模仿 (imitate); 模特 (model)";"❈ 这个项目的规模需要进一步扩大。";"<i>zhège xiàngmù de guīmó xūyào jìnyībù kuòdà.</i><br></br>The scale of this project needs to be further expanded.";"❈ 这场灾难的规模超出了我们的想象。";"<i>zhèchǎng zāinàn de guīmó chāochū le wǒmen de xiǎngxiàng.</i><br></br>The extent of this disaster is beyond our imagination.";"❈ 这家公司的规模很大。";"<i>zhèjiā gōngsī de guīmó hěndà.</i><br></br>This company has a large scale.";"🐇 温情的规模之大，让人感到震惊。";"<i>wēnqíng de guīmó zhīdà, ràng rén gǎndào zhènjīng.</i><br></br>The extent of Wen Qing's kindness is astonishing.";"♻❈ 学生们举行了一场大规模的抗议活动。";"<i>xuésheng men jǔxíng le yīcháng dàguīmó de kàngyì huódòng.</i><br></br>The students held a large-scale protest."
"归纳⠀";"guīnà";"/to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)//to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)";"归 (return)";"There are no other HSK words in this level (or before) using this character.";"纳 (receive)";"There are no other HSK words in this level (or before) using this character.";"❈ 归纳法是一种逻辑推理的方法。";"<i>guīnàfǎ shì yīzhǒng luójítuīlǐ de fāngfǎ.</i><br></br>Induction is a method of logical reasoning.";"❈ 通过归纳，我们得出了结论。";"<i>tōngguò guīnà, wǒmen déchū le jiélùn.</i><br></br>By summarizing, we reached a conclusion.";"❈ 归纳起来，这个问题并不难解决。";"<i>guīnàqǐlái, zhège wèntí bìng bùnán jiějué.</i><br></br>To sum it up, this problem is not difficult to solve.";"🐇 魏无羡：让我归纳一下，这个案件的关键点在哪里？";"<i>wèiwúxiàn ： ràng wǒ guīnà yīxià, zhège ànjiàn de guānjiàndiǎn zài nǎlǐ?</i><br></br>Wei Wuxian: Let me summarize, where is the key point of this case?"
"柜台⠀";"guìtái";"/variant of 櫃檯|柜台[gui4 tai2]//sales counter; front desk; bar; (of markets, medicines etc) OTC (over-the-counter)";"柜 (cupboard)";"There are no other HSK words in this level (or before) using this character.";"台 (Taiwan)";"Other words using this character: 台 (Taiwan); 台阶 (steps); 电台 (radio station); 阳台 (balcony)";"🐇 温情在柜台旁边接待着前来求医的村民。";"<i>wēnqíng zài guìtái pángbiān jiēdài zhe qiánlái qiúyī de cūnmín.</i><br></br>Wen Qing is receiving villagers who come for medical treatment next to the counter.";"♻❈ 我需要去外汇柜台兑换一些钱。";"<i>wǒ xūyào qù wàihuì guìtái duìhuàn yīxiē qián.</i><br></br>I need to go to the foreign exchange counter to exchange some money."
"锅⠀";"guō";"/pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]//pot; pan; wok; cauldron/pot-shaped thing/CL:口[kǒu],只[zhī]";"锅 (pot)";"There are no other HSK words in this level (or before) using this character.";"❈ 他正在锅里煮面条。";"<i>tā zhèngzài guōlǐzhǔ miàntiáo.</i><br></br>He is cooking noodles in the pot.";"❈ 她用锅煎了一些鸡蛋。";"<i>tā yòng guō jiān le yīxiē jīdàn.</i><br></br>She fried some eggs in the pan.";"❈ 这个锅很重，我帮你拿。";"<i>zhège guō hěnzhòng, wǒ bāng nǐ ná.</i><br></br>This pot is very heavy, let me help you carry it.";"♻❈ 她会做一锅八宝汤。";"<i>tā huì zuò yīguō bābǎo tāng.</i><br></br>She can make a pot of eight treasure soup.";"♻🐇 魏无羡亲手熬制了一锅八宝汤，香气扑鼻。";"<i>wèiwúxiàn qīnshǒu áozhì le yīguō bābǎo tāng, xiāngqìpūbí.</i><br></br>Wei Wuxian personally brewed a pot of Eight Treasure Soup, with a delightful aroma."
"国王⠀";"guówáng";"/king/CL:個|个[ge4]//king/CL:个[gè]";"国 (country)";"Other words using this character: 中国 (China); 国家 (country); 国际 (international); 国籍 (nationality); 国庆节 (National Day)";"王 (king)";"Other words using this character: 王子 (prince)";"❈ 国王的权力是有限的。";"<i>guówáng de quánlì shì yǒuxiàn de.</i><br></br>The power of the king is limited.";"❈ 国王在宫殿里举行了盛大的宴会。";"<i>guówáng zài gōngdiàn lǐ jǔxíng le shèngdà de yànhuì.</i><br></br>The king held a grand banquet in the palace.";"❈ 这个国王对人民很仁慈。";"<i>zhège guówáng duì rénmín hěn réncí.</i><br></br>This king is very kind to the people."
