"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"插⠀";"chā";"/old variant of 插[cha1]//to insert; stick in; pierce; to take part in; to interfere; to interpose";"插 (insert)";"There are no other HSK words in this level (or before) using this character.";"❈ 他插了一根香烟。";"<i>tā chā le yīgēn xiāngyān.</i><br></br>He lit a cigarette.";"❈ 他插了一把伞在地上。";"<i>tā chā le yībǎ sǎn zài dìshang.</i><br></br>He stuck an umbrella in the ground.";"❈ 她插了一朵花在头发里。";"<i>tā chā le yīduǒhuā zài tóufa lǐ.</i><br></br>She put a flower in her hair.";"❈ 他把插头插进插座。";"<i>tā bǎ chātóu chājìn chāzuò.</i><br></br>He plugged the plug into the socket.";"❈ 他把花插在花瓶里。";"<i>tā bǎ huāchā zài huāpíng lǐ.</i><br></br>He put the flowers in the vase."
"叉子⠀";"chāzi";"/fork/CL:把[ba3]//fork/CL:把[bǎ]";"叉 (fork)";"There are no other HSK words in this level (or before) using this character.";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 他用叉子吃饭。";"<i>tā yòng chāzi chīfàn.</i><br></br>He eats with a fork.";"❈ 这个叉子很锋利。";"<i>zhège chāzi hěn fēnglì.</i><br></br>This fork is very sharp.";"❈ 请给我一个叉子。";"<i>qǐng gěi wǒ yīgè chāzi.</i><br></br>Please give me a fork.";"🐇 蓝曦臣用叉子搅拌着沙拉，优雅得体。";"<i>lánxīchén yòng chāzi jiǎobàn zhe shālā, yōuyǎ détǐ.</i><br></br>Lan Xichen uses a fork to mix the salad, elegant and graceful."
"拆⠀";"chāi";"/to tear open/to tear down/to tear apart/to open//to tear open/to tear down/to tear apart/to open";"拆 (tear open)";"There are no other HSK words in this level (or before) using this character.";"❈ 她拆开了一封信。";"<i>tā chāikāi le yīfēngxìn.</i><br></br>She opened a letter.";"❈ 政府计划拆除这些建筑。";"<i>zhèngfǔ jìhuà chāichú zhèxiē jiànzhù.</i><br></br>The government plans to tear down these buildings.";"❈ 他拆开了包裹。";"<i>tā chāikāi le bāoguǒ.</i><br></br>He tore open the package.";"🐇 蓝曦臣拆除了云深不知处的禁制，让外界可以进入。";"<i>lánxīchén chāichú le yúnshēn bùzhī chù de jìnzhì, ràng wàijiè kěyǐ jìnrù.</i><br></br>Lan Xichen removed the restrictions of the Cloud Recesses, allowing outsiders to enter.";"♻❈ 他成功拆除了炸弹。";"<i>tā chénggōng chāichú le zhàdàn.</i><br></br>He successfully defused the bomb."
"产生⠀";"chǎnshēng";"/to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate//to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate";"产 (produce)";"Other words using this character: 财产 (property); 产品 (product); 破产 (bankrupt); 生产 (produce)";"生 (born)";"Other words using this character: 学生 (student); 医生 (doctor); 先生 (gentleman); 生日 (birthday); 生病 (fall ill); 生气 (angry); 出生 (born); 发生 (occur); 生活 (life); 生命 (life)";"❈ 这个问题产生了很多争议。";"<i>zhège wèntí chǎnshēng le hěnduō zhēngyì.</i><br></br>This issue has generated a lot of controversy.";"❈ 这个新发明产生了巨大的影响。";"<i>zhège xīnfāmíng chǎnshēng le jùdà de yǐngxiǎng.</i><br></br>This new invention has had a huge impact.";"❈ 这种政策可能会产生一些负面影响。";"<i>zhèzhǒng zhèngcè kěnéng huì chǎnshēng yīxiē fùmiànyǐngxiǎng.</i><br></br>This policy may bring about some negative effects.";"🐇 魏无羡的调皮捣蛋总是会产生一连串的笑声。";"<i>wèiwúxiàn de tiáopídǎodàn zǒngshì huì chǎnshēng yīliánchuàn de xiàoshēng.</i><br></br>Wei Wuxian's mischievous antics always produce a series of laughter.";"🐇 蓝曦臣的指导产生了蓝湛的进步，让人赞叹不已。";"<i>lánxīchén de zhǐdǎo chǎnshēng le lánzhàn de jìnbù, ràng rén zàntànbùyǐ.</i><br></br>Lan Xichen's guidance has produced great progress in Lan Zhan, earning admiration."
"常识⠀";"chángshí";"/common sense/general knowledge/CL:門|门[men2]//common sense/general knowledge/CL:门[mén]";"常 (often)";"Other words using this character: 非常 (very); 经常 (frequently); 正常 (normal); 平常 (ordinary); 通常 (usually); 日常 (daily); 照常 (as usual)";"识 (know)";"Other words using this character: 认识 (know); 知识 (knowledge)";"❈ 这是每个人都应该知道的常识。";"<i>zhèshì měige rén dōu yīnggāi zhīdào de chángshí.</i><br></br>This is common knowledge that everyone should know.";"❈ 他对这个问题一无所知，连常识都没有。";"<i>tā duì zhège wèntí yīwúsuǒzhī, lián chángshí dōu méiyǒu.</i><br></br>He knows nothing about this issue, not even common sense.";"❈ 这是基本常识。";"<i>zhèshì jīběnchángshí.</i><br></br>This is basic common sense.";"🐇 蓝曦臣认为尊重长辈是每个人都应该知道的常识。";"<i>lánxīchén rènwéi zūnzhòng zhǎngbèi shì měige rén dōu yīnggāi zhīdào de chángshí.</i><br></br>Lan Xichen believes that respecting elders is common sense that everyone should know.";"♻❈ 你起码应该知道这个常识。";"<i>nǐ qǐmǎ yīnggāi zhīdào zhège chángshí.</i><br></br>You should at least know this common knowledge."
"潮湿⠀";"cháoshī";"/damp/moist//damp/moist";"潮 (tide)";"There are no other HSK words in this level (or before) using this character.";"湿 (moist)";"Other words using this character: 湿润 (moist)";"❈ 潮湿的环境容易滋生细菌。";"<i>cháoshī de huánjìng róngyì zīshēng xìjūn.</i><br></br>Damp environments are prone to bacterial growth.";"❈ 这个地方很潮湿。";"<i>zhège dìfāng hěn cháoshī.</i><br></br>This place is very damp.";"❈ 潮湿的天气对身体不好。";"<i>cháoshī de tiānqì duì shēntǐ bùhǎo.</i><br></br>Damp weather is not good for the body.";"🐇 江澄的衣物被雨淋湿了，感觉很潮湿。";"<i>jiāngchéng de yīwù bèi yǔlín shī le, gǎnjué hěn cháoshī.</i><br></br>Jiang Cheng's clothes got wet in the rain and felt very damp.";"♻❈ 东部地区的气候比较潮湿。";"<i>dōngbù dìqū de qìhòu bǐjiào cháoshī.</i><br></br>The climate in the eastern region is relatively humid."
"吵⠀";"chǎo";"/to quarrel/to make a noise/noisy/to disturb by making a noise//to quarrel/to make a noise/noisy/to disturb by making a noise";"吵 (to quarrel)";"Other words using this character: 吵架 (quarrel)";"❈ 请不要在图书馆里吵。";"<i>qǐng bùyào zài túshūguǎn lǐ chǎo.</i><br></br>Please don't make noise in the library.";"❈ 这里太吵了，我无法集中精力。";"<i>zhèlǐ tàichǎo le, wǒ wúfǎ jízhōngjīnglì.</i><br></br>It's too noisy here, I can't concentrate.";"❈ 他们在吵架。";"<i>tāmen zài chǎojià.</i><br></br>They are quarreling.";"🐇 魏无羡和江澄吵了一架，气氛变得很尴尬。";"<i>wèiwúxiàn hé jiāngchéngchǎo le yījià, qìfēn biànde hěn gāngà.</i><br></br>Wei Wuxian and Jiang Cheng had a quarrel, making the atmosphere very awkward.";"♻🐇 蓝曦臣敲门的时候总是很温柔，生怕吵到别人。";"<i>lánxīchén qiāomén de shíhou zǒngshì hěn wēnróu, shēngpà chǎo dào biéren.</i><br></br>Lan Xichen always knocks on the door very gently, afraid of disturbing others."
"车库⠀";"chēkù";"/garage//garage";"车 (car)";"Other words using this character: 出租车 (taxi); 公共汽车 (bus); 火车站 (train station); 自行车 (bicycle); 堵车 (traffic jam); 列车 (train); 摩托车 (motorcycle); 车厢 (carriage); 救护车 (ambulance); 卡车 (truck)";"库 (warehouse)";"There are no other HSK words in this level (or before) using this character.";"❈ 他把车停在了车库里。";"<i>tā bǎ chē tíng zài le chēkùlǐ.</i><br></br>He parked the car in the garage.";"❈ 车库里堆满了各种工具。";"<i>chēkùlǐ duīmǎn le gèzhǒng gōngjù.</i><br></br>The garage is filled with all kinds of tools.";"❈ 这个车库可以容纳两辆汽车。";"<i>zhège chēkù kěyǐ róngnà liǎngliàng qìchē.</i><br></br>This garage can accommodate two cars.";"🐇 蓝忘机的剑收纳在了车库里。";"<i>lánwàngjī de jiàn shōunà zài le chēkùlǐ.</i><br></br>Lan Wangji's sword is stored in the garage.";"♻❈ 我们需要打扫车库。";"<i>wǒmen xūyào dǎsǎo chēkù.</i><br></br>We need to clean the garage."
"彻底⠀";"chèdǐ";"/thorough/thoroughly/complete//thorough/thoroughly/complete";"彻 (thorough)";"There are no other HSK words in this level (or before) using this character.";"底 (bottom)";"Other words using this character: 到底 (finally); 底 (bottom)";"❈ 这个计划彻底失败了。";"<i>zhège jìhuà chèdǐ shībài le.</i><br></br>This plan failed completely.";"❈ 他彻底改变了自己。";"<i>tā chèdǐgǎibiàn le zìjǐ.</i><br></br>He thoroughly changed himself.";"❈ 我们需要彻底解决这个问题。";"<i>wǒmen xūyào chèdǐjiějué zhège wèntí.</i><br></br>We need to thoroughly solve this problem.";"🐇 魏无羡彻底改变了他的态度，决心重新做人。";"<i>wèiwúxiàn chèdǐgǎibiàn le tā de tàidu, juéxīn chóngxīnzuòrén.</i><br></br>Wei Wuxian completely changed his attitude and was determined to start anew.";"♻🐇 江澄不愿意签订和解协议，他要的是彻底的公正。";"<i>jiāngchéng bù yuànyì qiāndìng héjiě xiéyì, tā yào de shì chèdǐ de gōngzhèng.</i><br></br>Jiang Cheng is unwilling to sign a peace agreement; what he wants is complete justice."
"趁⠀";"chèn";"/old variant of 趁[chen4]//to avail oneself of; to take advantage of";"趁 (take advantage)";"There are no other HSK words in this level (or before) using this character.";"🐇 温情趁着混乱逃离。";"<i>wēnqíng chènzhe hùnluàn táolí.</i><br></br>Wen Qing fled during the chaos."
"称⠀";"chèn||chēng";"/variant of 秤[cheng4]/steelyard//to fit; balanced; suitable||to weigh; to state; to name; name; appellation; to praise";"称 (name)";"Other words using this character: 称赞 (praise); 称呼 (call)";"❈ 这个称可以称重。";"<i>zhège chēng kěyǐ chēngzhòng.</i><br></br>This steelyard can weigh things.";"❈ 他在称上称了一下自己的体重。";"<i>tā zài chēng shàng chēng le yīxià zìjǐ de tǐzhòng.</i><br></br>H/gce weighed himself on the scale.";"🐇 蓝忘机用称来称量一斤米。";"<i>lánwàng jīyòng chēnglái chēngliáng yījīn mǐ.</i><br></br>Lan Wangji uses a steelyard to weigh a catty of rice.";"♻❈ 粤菜以清淡、鲜美著称。";"<i>yuècài yǐ qīngdàn  xiānměi zhùchēng.</i><br></br>Cantonese cuisine is known for its light and fresh flavors.";"♻❈ 这个词是古代称呼可汗的称号。";"<i>zhège císhì gǔdài chēnghu kèhán de chēnghào.</i><br></br>This word is the ancient title for a khan."
"称赞⠀";"chēngzàn";"/to praise/to acclaim/to commend/to compliment//to praise/to acclaim/to commend/to compliment";"称 (name)";"Other words using this character: 称 (name); 称呼 (call)";"赞 (praise)";"Other words using this character: 赞成 (approve); 赞美 (praise)";"❈ 老师称赞了我的作文。";"<i>lǎoshī chēngzàn le wǒ de zuòwén.</i><br></br>The teacher praised my composition.";"❈ 他的演出受到了观众的称赞。";"<i>tā de yǎnchū shòudào le guānzhòng de chēngzàn.</i><br></br>His performance was praised by the audience.";"❈ 她的努力受到了领导的称赞。";"<i>tā de nǔlì shòudào le lǐngdǎo de chēngzàn.</i><br></br>Her efforts were praised by the leader.";"🐇 蓝曦臣对弟弟的表现给予了高度的称赞。";"<i>lánxīchén duì dìdi de biǎoxiàn jǐyǔ le gāodù de chēngzàn.</i><br></br>Lan Xichen gave high praise to his younger brother's performance.";"♻🐇 温情此次的医治效果非常出色，受到了村民们的称赞。";"<i>wēnqíng cǐcì de yīzhì xiàoguǒ fēicháng chūsè, shòudào le cūnmín men de chēngzàn.</i><br></br>Wen Qing's medical treatment this time was very effective and received praise from the villagers."
"承担⠀";"chéngdān";"/to undertake/to assume (responsibility etc)//to undertake/to assume (responsibility etc)";"承 (bear)";"Other words using this character: 承受 (bear); 承认 (admit)";"担 (to undertake)";"Other words using this character: 担心 (worried); 担任 (assume)";"❈ 她愿意承担风险。";"<i>tā yuànyì chéngdānfēngxiǎn.</i><br></br>She is willing to take on risks.";"❈ 我们需要承担更多的责任。";"<i>wǒmen xūyào chéngdān gēng duō de zérèn.</i><br></br>We need to take on more responsibilities.";"❈ 他承担了这个项目的领导工作。";"<i>tā chéngdān le zhège xiàngmù de lǐngdǎo gōngzuò.</i><br></br>He took on the leadership of this project.";"🐇 魏无羡愿意承担起保护蓝忘机的责任。";"<i>wèiwúxiàn yuànyì chéngdān qǐ bǎohù lánwàngjī de zérèn.</i><br></br>Wei Wuxian is willing to undertake the responsibility of protecting Lan Wangji.";"♻❈ 自己的选择要自己承担后果。";"<i>zìjǐ de xuǎnzé yào zìjǐ chéngdān hòuguǒ.</i><br></br>You have to bear the consequences of your own choices."
"承受⠀";"chéngshòu";"/to bear/to support/to inherit//to bear/to support/to inherit";"承 (bear)";"Other words using this character: 承担 (undertake); 承认 (admit)";"受 (to receive)";"Other words using this character: 接受 (accept); 难受 (unwell); 受不了 (unbearable); 受到 (receive); 受伤 (to be injured); 享受 (enjoy); 感受 (perception)";"❈ 他无法承受这么大的压力。";"<i>tā wúfǎ chéngshòu zhème dà de yālì.</i><br></br>He can't bear such great pressure.";"❈ 她承受了很多痛苦。";"<i>tā chéngshòu le hěnduō tòngkǔ.</i><br></br>S/gche has endured a lot of pain.";"🐇 温情承受着家族的遗产。";"<i>wēnqíng chéngshòu zhe jiāzú de yíchǎn.</i><br></br>Wen Qing inherits the legacy of her family.";"♻❈ 这个柱子承受了很大的重量。";"<i>zhège zhùzi chéngshòu le hěndà de zhòngliàng.</i><br></br>This pillar bears a lot of weight.";"♻❈ 这个柱子承受了很大的压力。";"<i>zhège zhùzi chéngshòu le hěndà de yālì.</i><br></br>This pillar has endured a lot of pressure."
"程序⠀";"chéngxù";"/procedures/sequence/order/computer program//procedures/sequence/order/computer program";"程 (rule)";"Other words using this character: 过程 (process); 日程 (schedule); 程度 (degree); 工程师 (engineer); 课程 (course)";"序 (order)";"Other words using this character: 顺序 (order); 秩序 (order)";"❈ 这个程序需要改进。";"<i>zhège chéngxù xūyào gǎijìn.</i><br></br>This program needs to be improved.";"❈ 按照程序来做。";"<i>ànzhào chéngxù lái zuò.</i><br></br>Do it according to the procedure.";"❈ 请按照程序操作。";"<i>qǐng ànzhào chéngxù cāozuò.</i><br></br>Please operate according to the procedure.";"🐇 温情设计了一个程序，帮助大家更高效地工作。";"<i>wēnqíng shèjì le yīgè chéngxù, bāngzhù dàjiā gēng gāoxiào dì gōngzuò.</i><br></br>Wen Qing designed a program to help everyone work more efficiently.";"♻❈ 法规的制定需要经过程序。";"<i>fǎguī de zhìdìng xūyào jīngguò chéngxù.</i><br></br>The formulation of legislation needs to go through a process."
"成立⠀";"chénglì";"/to establish/to set up/to be tenable/to hold water//to establish/to set up/to be tenable/to hold water";"成 (succeed)";"Other words using this character: 成绩 (achievement); 完成 (complete); 成功 (succeed); 成为 (become); 养成 (cultivate); 成人 (adulthood); 成语 (idiom); 赞成 (approve); 造成 (cause); 组成 (form)";"立 (stand)";"Other words using this character: 立刻 (immediate); 独立 (independent); 建立 (establish); 立即 (immediately)";"❈ 他们成立了一个新的团队。";"<i>tāmen chénglì le yīgè xīn de tuánduì.</i><br></br>They set up a new team.";"❈ 这个理论是否成立还有待验证。";"<i>zhège lǐlùn shìfǒu chénglì háiyǒu dài yànzhèng.</i><br></br>Whether this theory holds water remains to be verified.";"❈ 这家公司成立于2005年。";"<i>zhèjiā gōngsī chénglì yú èrlínglíngwǔ nián.</i><br></br>This company was established in 2005.";"🐇 魏无羡和蓝忘机成立了一家新的修炼机构。";"<i>wèiwúxiàn hé lánwàngjī chénglì le yījiā xīn de xiūliàn jīgòu.</i><br></br>Wei Wuxian and Lan Wangji established a new cultivation institution.";"♻❈ 他们正在庆祝公司成立十周年。";"<i>tāmen zhèngzài qìngzhù gōngsī chénglì shízhōunián.</i><br></br>They are celebrating the company's tenth anniversary."
"成人⠀";"chéngrén";"/to reach adulthood/an adult//to reach adulthood/an adult";"成 (succeed)";"Other words using this character: 成绩 (achievement); 完成 (complete); 成功 (succeed); 成为 (become); 养成 (cultivate); 成立 (establish); 成语 (idiom); 赞成 (approve); 造成 (cause); 组成 (form)";"人 (person)";"Other words using this character: 人 (person); 男人 (man); 女人 (wife); 别人 (others); 客人 (visitor); 敌人 (enemy); 个人 (individual); 人才 (talent); 人类 (humanity); 人生 (life)";"❈ 成人礼是一个重要的仪式。";"<i>chéngrénlǐ shì yīgè zhòngyào de yíshì.</i><br></br>Coming of age ceremony is an important ritual.";"❈ 成人之后，他开始独立生活。";"<i>chéngrén zhīhòu, tā kāishǐ dúlì shēnghuó.</i><br></br>After becoming an adult, he started living independently.";"❈ 他已经成人了。";"<i>tā yǐjīng chéngrén le.</i><br></br>He has reached adulthood.";"🐇 魏无羡在十六岁成人礼上受到了很多礼物。";"<i>wèiwúxiàn zài shíliùsuì chéngrénlǐ shàng shòudào le hěnduō lǐwù.</i><br></br>Wei Wuxian received many gifts at his coming-of-age ceremony at sixteen.";"🦝 在这个游乐园里，成人和孩子们都可以找到适合自己的娱乐项目。";"<i>zài zhège yóulèyuán lǐ, chéngrén hé háizi men dōu kěyǐ zhǎodào shìhé zìjǐ de yúlè xiàngmù.</i><br></br>In this amusement park, both adults and children can find entertainment suitable for themselves."
"成语⠀";"chéngyǔ";"/Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage/CL:條|条[tiao2],本[ben3],句[ju4]//idiom; proverb; saying; adage/CL:条[tiáo],本[běn],句[jù]; Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation";"成 (succeed)";"Other words using this character: 成绩 (achievement); 完成 (complete); 成功 (succeed); 成为 (become); 养成 (cultivate); 成立 (establish); 成人 (adulthood); 赞成 (approve); 造成 (cause); 组成 (form)";"语 (language)";"Other words using this character: 汉语 (Chinese language); 词语 (word); 语法 (grammar); 语言 (language); 语气 (tone)";"❈ 他经常在演讲中使用成语来增加趣味。";"<i>tā jīngcháng zài yǎnjiǎng zhōng shǐyòng chéngyǔ lái zēngjiā qùwèi.</i><br></br>He often uses idioms in his speeches to add interest.";"❈ 这个成语来源于中国古代的一个故事。";"<i>zhège chéngyǔ láiyuányú zhōngguó gǔdài de yīgè gùshi.</i><br></br>This set expression originates from a story in ancient China.";"❈ 学习成语是学习中文的重要部分。";"<i>xuéxí chéngyǔ shì xuéxí zhōngwén de zhòngyào bùfen.</i><br></br>Learning idioms is an important part of learning Chinese.";"🐇 蓝湛在教导魏无羡时常常引用古代成语来教导他。";"<i>lánzhàn zài jiàodǎo wèiwúxiànshí chángcháng yǐnyòng gǔdài chéngyǔ lái jiàodǎo tā.</i><br></br>Lan Zhan often uses ancient idioms to teach Wei Wuxian."
"诚恳⠀";"chéngkěn";"/sincere/honest/cordial//sincere/honest/cordial";"诚 (sincere)";"Other words using this character: 诚实 (honest)";"恳 (earnest)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的笑容显得很诚恳。";"<i>tā de xiàoróng xiǎnde hěn chéngkěn.</i><br></br>Her smile looks very sincere.";"❈ 他的道歉很诚恳。";"<i>tā de dàoqiàn hěn chéngkěn.</i><br></br>His apology is very sincere.";"❈ 请你诚恳地对待这个问题。";"<i>qǐng nǐ chéngkěn dì duìdài zhège wèntí.</i><br></br>Please treat this issue sincerely.";"🐇 金凌对待朋友总是诚恳而真诚。";"<i>jīnlíng duìdài péngyou zǒngshì chéngkěn ér zhēnchéng.</i><br></br>Jin Ling is always sincere and genuine in his treatment of friends.";"♻🐇 江澄拒绝了蓝忘机的道歉，他觉得这个道歉不够诚恳。";"<i>jiāngchéng jùjué le lánwàngjī de dàoqiàn, tā juéde zhège dàoqiàn bùgòu chéngkěn.</i><br></br>Jiang Cheng refused Lan Wangji's apology; he felt it wasn't sincere enough."
"持续⠀";"chíxù";"/to continue/to persist/to last/sustainable/preservation//to continue/to persist/to last/sustainable/preservation";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 主持 (host); 保持 (maintain)";"续 (continue)";"Other words using this character: 继续 (continue); 手续 (procedure); 连续 (continuous); 陆续 (successively)";"❈ 他的笑容持续了很久。";"<i>tā de xiàoróng chíxù le hěn jiǔ.</i><br></br>His smile lasted for a long time.";"❈ 我们要持续努力才能取得成功。";"<i>wǒmen yào chíxù nǔlì cáinéng qǔdéchénggōng.</i><br></br>We need to continue to work hard in order to succeed.";"❈ 这种疼痛可能会持续一段时间。";"<i>zhèzhǒng téngtòng kěnéng huì chíxù yīduànshíjiān.</i><br></br>This kind of pain may last for a while.";"🐇 温情的医治持续了数日，终于让众人康复。";"<i>wēnqíng de yīzhì chíxù le shùrì, zhōngyú ràng zhòngrén kāngfù.</i><br></br>Wen Qing's medical treatment persisted for several days, finally allowing everyone to recover.";"🦝 他的笑容持续了整个晚上，没有消失过。";"<i>tā de xiàoróng chíxù le zhěnggè wǎnshàng, méiyǒu xiāoshī guò.</i><br></br>His smile lasted the whole night without disappearing."
"尺子⠀";"chǐzi";"/ruler (measuring instrument)/CL:把[ba3]//ruler (measuring instrument)/CL:把[bǎ]";"尺 (ruler)";"There are no other HSK words in this level (or before) using this character.";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 我需要一把尺子来画直线。";"<i>wǒ xūyào yībǎ chǐzi láihuà zhíxiàn.</i><br></br>I need a ruler to draw a straight line.";"❈ 他用尺子测量了桌子的长度。";"<i>tā yòng chǐzi cèliáng le zhuōzi de chángdù.</i><br></br>He measured the length of the table with a ruler.";"❈ 这个尺子是塑料的。";"<i>zhège chǐzi shì sùliào de.</i><br></br>This ruler is made of plastic.";"🐇 蓝忘机的尺子上刻着他的名字。";"<i>lánwàngjī de chǐzi shàngkè zhe tā de míngzì.</i><br></br>Lan Wangji's name is engraved on his ruler.";"♻🐇 温宁用尺子测量了门口的宽度。";"<i>wēnníngyòng chǐzi cèliáng le ménkǒu de kuāndù.</i><br></br>Wen Ning measured the width of the doorway with a ruler."
"冲⠀";"chōng||chōng||chòng";"/powerful/vigorous/pungent/towards/in view of//(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with||thoroughfare; to go straight ahead; to rush; to clash||powerful; vigorous; pungent; towards; in view of";"冲 (dash)";"There are no other HSK words in this level (or before) using this character.";"❈ 他的冲劲让人印象深刻。";"<i>tā de chòngjìn ràng rén yìnxiàng shēnkè.</i><br></br>His vigor is very impressive.";"❈ 面对困难，他冲了上去。";"<i>miànduì kùnnán, tā chōng le shàngqu.</i><br></br>Facing the difficulties, he charged forward.";"❈ 他朝我冲过来。";"<i>tā cháo wǒ chōngguòlái.</i><br></br>He rushed towards me.";"🐇 魏无羡的性格冲，总是能带动周围的人。";"<i>wèiwúxiàn de xìnggé chōng, zǒngshì néng dàidòng zhōuwéi de rén.</i><br></br>Wei Wuxian's personality is powerful, always able to drive the people around him.";"♻❈ 文化冲突是不可避免的。";"<i>wénhuàchōngtū shì bùkěbìmiǎn de.</i><br></br>Cultural conflicts are inevitable."
"充分⠀";"chōngfèn";"/ample/sufficient/adequate/full/fully/to the full//ample/sufficient/adequate/full/fully/to the full";"充 (fill)";"Other words using this character: 补充 (replenish); 充电器 (battery charger); 充满 (full)";"分 (divide)";"Other words using this character: 分钟 (minute); 分 (divide); 百分之 (percent); 部分 (part); 十分 (very); 分布 (distribute); 分手 (break up); 成分 (component); 分别 (part); 分配 (distribute)";"❈ 他给了我充分的时间来决定。";"<i>tā gěi le wǒ chōngfèn de shíjiān lái juédìng.</i><br></br>He gave me ample time to decide.";"❈ 她的解释充分说明了问题的原因。";"<i>tā de jiěshì chōngfēnshuōmíng le wèntí de yuányīn.</i><br></br>Her explanation fully explained the reason for the problem.";"❈ 我们应该充分利用这个机会。";"<i>wǒmen yīnggāi chōngfēnlìyòng zhège jīhuì.</i><br></br>We should make full use of this opportunity.";"🐇 温宁的忠诚是充分的，他会为主人赴汤蹈火。";"<i>wēnníng de zhōngchéng shì chōngfèn de, tāhuì wéizhǔ rén fùtāngdǎohuǒ.</i><br></br>Wen Ning's loyalty is sufficient; he would go through fire and water for his master.";"♻❈ 疲惫的身体需要充分的休息。";"<i>píbèi de shēntǐ xūyào chōngfèn de xiūxi.</i><br></br>An exhausted body needs adequate rest."
