"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"破⠀";"pò";"/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of//broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of";"破 (broken)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们破了对手的防线。";"<i>tāmen pò le duìshǒu de fángxiàn.</i><br></br>They broke through the opponent's defense.";"❈ 他的承诺被证明是破的。";"<i>tā de chéngnuò bèi zhèngmíng shì pò de.</i><br></br>His promise was proven to be false.";"❈ 这个杯子破了。";"<i>zhège bēizi pò le.</i><br></br>This cup is broken.";"🐇 温情的心破了，她却依然坚强。";"<i>wēnqíng de xīnpò le, tā què yīrán jiānqiáng.</i><br></br>Wen Qing's heart is broken, but she remains strong.";"🐇 魏无羡的衣服破了，他却不在意。";"<i>wèiwúxiàn de yīfú pò le, tā què bùzàiyì.</i><br></br>Wei Wuxian's clothes are torn, but he doesn't mind.";"♻❈ 这个消息打破了我的幻想。";"<i>zhège xiāoxi dǎpò le wǒ de huànxiǎng.</i><br></br>This news shattered my illusion."
"葡萄⠀";"pútao";"/grape//grape";"葡 (Portugal)";"There are no other HSK words in this level (or before) using this character.";"萄 (grape)";"There are no other HSK words in this level (or before) using this character.";"❈ 我喜欢吃葡萄。";"<i>wǒ xǐhuan chī pútao.</i><br></br>I like to eat grapes.";"❈ 这个葡萄园的葡萄很甜。";"<i>zhège pútáoyuán de pútao hěntián.</i><br></br>The grapes in this vineyard are very sweet.";"❈ 葡萄酒是用葡萄酿制而成的。";"<i>pútaojiǔ shì yòng pútao niàngzhì érchéng de.</i><br></br>Wine is made from grapes.";"🐇 金凌拿着一串葡萄，笑得合不拢嘴。";"<i>jīnlíng ná zhe yīchuàn pútao, xiào dé hébùlǒngzuǐ.</i><br></br>Jin Ling holds a bunch of grapes and smiles from ear to ear.";"🐇 蓝曦臣在湖边摆了一张桌子，上面摆满了新鲜的葡萄。";"<i>lánxīchén zài húbiān bǎi le yīzhāng zhuōzi, shàngmiàn bǎimǎn le xīnxiān de pútao.</i><br></br>Lan Xichen set up a table by the lake, covered with fresh grapes.";"♻🐇 魏无羡扒了一把葡萄，逃跑时还扒着地往前爬。";"<i>wèiwúxiàn bā le yībǎ pútao, táopǎo shí hái bā zhe dì wǎngqián pá.</i><br></br>Wei Wuxian stole a bunch of grapes and crawled forward while escaping."
"普遍⠀";"pǔbiàn";"/universal/general/widespread/common//universal/general/widespread/common";"普 (general)";"Other words using this character: 普通话 (Mandarin)";"遍 (everywhere)";"Other words using this character: 遍 (everywhere)";"❈ 这种观点在学术界很普遍。";"<i>zhèzhǒng guāndiǎn zài xuéshùjiè hěn pǔbiàn.</i><br></br>This view is very common in the academic community.";"❈ 这种现象在社会中普遍存在。";"<i>zhèzhǒng xiànxiàng zài shèhuì zhōng pǔbiàncúnzài.</i><br></br>This phenomenon is common in society.";"❈ 这个问题在全球范围内都很普遍。";"<i>zhège wèntí zài quánqiú fànwéi nèi dōu hěn pǔbiàn.</i><br></br>This issue is widespread globally.";"🐇 对于人类来说，对美的追求是一种普遍的心理。";"<i>duìyú rénlèi láishuō, duì měidí zhuīqiú shì yīzhǒng pǔbiàn de xīnlǐ.</i><br></br>For humans, the pursuit of beauty is a common psychological trait.";"🐇 对于修真者来说，修炼是一种普遍的生活方式。";"<i>duìyú xiūzhēnzhě láishuō, xiūliàn shì yīzhǒng pǔbiàn de shēnghuó fāngshì.</i><br></br>For cultivators, cultivation is a universal way of life.";"♻❈ 混血儿在这个国家很普遍。";"<i>hùnxuèér zài zhège guójiā hěn pǔbiàn.</i><br></br>Mixed-blood individuals are very common in this country."
"普通话⠀";"pǔtōnghuà";"/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech//Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech";"普 (general)";"Other words using this character: 普遍 (universal)";"通 (through)";"Other words using this character: 交通 (traffic); 通过 (to pass through); 通知 (notify)";"话 (conversation)";"Other words using this character: 打电话 (telephone call); 说话 (speak); 对话 (talk); 笑话 (joke)";"❈ 她的普通话说得很标准。";"<i>tā de pǔtōnghuà shuō dé hěn biāozhǔn.</i><br></br>Her Mandarin is spoken very standardly.";"❈ 普通话是中国的官方语言。";"<i>pǔtōnghuà shì zhōngguó de guānfāngyǔyán.</i><br></br>Mandarin is the official language of China.";"❈ 学习普通话对外国人来说有一定的难度。";"<i>xuéxí pǔtōnghuà duì wàiguórén láishuō yǒu yīdìng de nándù.</i><br></br>Learning Mandarin is somewhat difficult for foreigners.";"🐇 魏无羡教蓝忘机说普通话。";"<i>wèiwúxiànjiào lánwàngjī shuō pǔtōnghuà.</i><br></br>Wei Wuxian taught Lan Wangji to speak Mandarin.";"🐇 温情的普通话让外地人也能听懂。";"<i>wēnqíng de pǔtōnghuà ràng wàidìrén yě néng tīngdǒng.</i><br></br>Wen Qing's ordinary speech can be understood by people from other places.";"♻❈ 这是普通话课程。";"<i>zhèshì pǔtōnghuà kèchéng.</i><br></br>This is a Mandarin course."
"其次⠀";"qícì";"/next/secondly//next/secondly";"其 (its)";"Other words using this character: 其实 (actually); 其他 (other); 其中 (among); 尤其 (especially)";"次 (next)";"Other words using this character: 次 (next)";"❈ 他的工作需要分为两个步骤，首先是调研，其次是撰写报告。";"<i>tā de gōngzuò xūyào fēnwéi liǎnggè bùzhòu, shǒuxiān shì tiáoyán, qícì shì zhuànxiě bàogào.</i><br></br>His work needs to be divided into two steps, first is research, and secondly, writing the report.";"❈ 首先要解决的是安全问题，其次是效率问题。";"<i>shǒuxiān yào jiějué de shì ānquán wèntí, qícì shì xiàolǜ wèntí.</i><br></br>The first thing to solve is the safety issue, and secondly, the efficiency issue.";"❈ 首先，我们需要准备好材料，其次是动手做。";"<i>shǒuxiān, wǒmen xūyào zhǔnbèi hǎo cáiliào, qícì shì dòngshǒuzuò.</i><br></br>First, we need to prepare the materials, and secondly, we need to start working.";"🐇 蓝忘机注重礼仪，其次才是言语。";"<i>lánwàngjī zhùzhòng lǐyí, qícì cái shì yányǔ.</i><br></br>Lan Wangji values etiquette, secondly, he values speech.";"🐇 魏无羡喜欢弹琴，其次才是酒。";"<i>wèiwúxiàn xǐhuan tánqín, qícì cái shì jiǔ.</i><br></br>Wei Wuxian likes playing the qin, secondly, he likes alcohol."
"其中⠀";"qízhōng";"/among/in/included among these//among/in/included among these";"其 (its)";"Other words using this character: 其实 (actually); 其他 (other); 其次 (next); 尤其 (especially)";"中 (middle)";"Other words using this character: 中国 (China); 中午 (noon); 中文 (Chinese language); 中间 (the middle)";"❈ 其中一个原因是他的不作为。";"<i>qízhōng yīgè yuányīn shì tā de bù zuòwéi.</i><br></br>One of the reasons is his inaction.";"♻🐇 王一然的音乐总是能够触动人心，让人陶醉其中。";"<i>wángyīrán de yīnyuè zǒngshì nénggòu chùdòng rénxīn, ràng rén táozuì qízhōng.</i><br></br>Wang Yiran's music always touches people's hearts and makes them intoxicated.";"♻🐇 蓝忘机在音乐中找到了无尽的乐趣，让人陶醉其中。";"<i>lánwàngjī zài yīnyuè zhōng zhǎodào le wújìn de lèqù, ràng rén táozuì qízhōng.</i><br></br>Lan Wangji finds endless pleasure in music, which is intoxicating.";"♻🐇 温宁搬运货物，发现其中有一些体积过大，需要特别小心。";"<i>wēnníng bānyùn huòwù, fāxiàn qízhōng yǒu yīxiē tǐjī guòdà, xūyào tèbié xiǎoxīn.</i><br></br>Wen Ning is moving goods and found some with a large volume that need special care.";"♻🐇 蓝湛畔的风景如诗如画，令人陶醉其中。";"<i>lánzhànpàn de fēngjǐng rúshīrúhuà, lìngrén táozuì qízhōng.</i><br></br>The scenery by the side of Lan Zhan is like a poem and a painting, intoxicating.";"♻❈ 这个问题的答案就在其中当中。";"<i>zhège wèntí de dáàn jiù zài qízhōng dāngzhōng.</i><br></br>The answer to this question is right in the middle of it."
"气候⠀";"qìhòu";"/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]//(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:种[zhǒng]";"气 (air)";"Other words using this character: 天气 (weather); 不客气 (you're welcome); 生气 (angry); 空气 (air); 力气 (strength); 脾气 (temperament)";"候 (wait)";"Other words using this character: 时候 (time)";"❈ 他们正在研究如何改善当地的气候条件。";"<i>tāmen zhèngzài yánjiū rúhé gǎishàn dāngdì de qìhòu tiáojiàn.</i><br></br>They are studying how to improve the local climate conditions.";"❈ 这个地区的气候非常宜人。";"<i>zhège dìqū de qìhòu fēicháng yírén.</i><br></br>The climate in this area is very pleasant.";"❈ 政治气候对于企业的发展有着重要影响。";"<i>zhèngzhìqìhòu duìyú qǐyè de fāzhǎn yǒuzhe zhòngyào yǐngxiǎng.</i><br></br>The political climate has a significant impact on the development of enterprises.";"🐇 蓝忘机对魏无羡的态度就像气候一样多变。";"<i>lánwàngjī duì wèiwúxiàn de tàidu jiù xiàng qìhòu yīyàng duōbiàn.</i><br></br>Lan Wangji's attitude towards Wei Wuxian is as changeable as the weather.";"🐇 温情觉得这里的气候对她的身体很好。";"<i>wēnqíng juéde zhèlǐ de qìhòu duì tā de shēntǐ hěn hǎo.</i><br></br>Wen Qing felt that the climate here was very good for her health.";"♻❈ 这个地带的气候很适合种植水稻。";"<i>zhège dìdài de qìhòu hěn shìhé zhòngzhí shuǐdào.</i><br></br>The climate in this zone is very suitable for growing rice."
"千万⠀";"qiānwàn";"/ten million/countless/many/one must by all means//ten million/countless/many/one must by all means";"千 (thousand)";"Other words using this character: 千 (thousand)";"万 (ten thousand)";"Other words using this character: 万 (ten thousand)";"❈ 你千万不要忘记这个约会。";"<i>nǐ qiānwàn bùyào wàngjì zhège yuēhuì.</i><br></br>You must not forget this appointment by any means.";"❈ 他千万不能错过这个机会。";"<i>tā qiānwàn bùnéng cuòguò zhège jīhuì.</i><br></br>He must by all means not miss this opportunity.";"❈ 千万不要告诉别人我的秘密。";"<i>qiānwàn bùyào gàosu biéren wǒ de mìmì.</i><br></br>By all means, don't tell anyone my secret.";"🐇 温宁千万不要忘记了保护好自己。";"<i>wēnníng qiānwàn bùyào wàngjì le bǎohù hǎo zìjǐ.</i><br></br>Wen Ning must by all means remember to take care of himself.";"🐇 蓝曦臣千万不要忘了照顾自己的身体。";"<i>lánxīchén qiānwàn bùyào wàng le zhàogu zìjǐ de shēntǐ.</i><br></br>Lan Xichen must by all means remember to take care of his own health."
"签证⠀";"qiānzhèng";"/visa/to issue a visa//visa/to issue a visa";"签 (sign)";"There are no other HSK words in this level (or before) using this character.";"证 (certificate)";"Other words using this character: 保证 (guarantee); 证明 (proof)";"❈ 我需要办理签证。";"<i>wǒ xūyào bànlǐ qiānzhèng.</i><br></br>I need to apply for a visa.";"❈ 他们拿到了旅游签证。";"<i>tāmen nádào le lǚyóu qiānzhèng.</i><br></br>They obtained a tourist visa.";"❈ 签证办理需要一些时间。";"<i>qiānzhèng bànlǐ xūyào yīxiē shíjiān.</i><br></br>Visa processing takes some time.";"❈ 签证的手续需要一些时间。";"<i>qiānzhèng de shǒuxù xūyào yīxiē shíjiān.</i><br></br>The visa procedures will take some time.";"❈ 他们已经签证成功了。";"<i>tāmen yǐjīng qiānzhèng chénggōng le.</i><br></br>They have successfully obtained the visa.";"❈ 我需要办理签证去国外旅行。";"<i>wǒ xūyào bànlǐ qiānzhèng qù guówài lǚxíng.</i><br></br>I need to apply for a visa to travel abroad."
"敲⠀";"qiāo";"/to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge//to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge";"敲 (to strike)";"There are no other HSK words in this level (or before) using this character.";"❈ 请敲门后再进来。";"<i>qǐng qiāomén hòu zài jìnlái.</i><br></br>Please knock before entering.";"❈ 他敲了一下桌子，引起了大家的注意。";"<i>tā qiāo le yīxià zhuōzi, yǐnqǐ le dàjiā de zhùyì.</i><br></br>He tapped the table and got everyone's attention.";"❈ 他敲了几下门，但没有人回应。";"<i>tā qiāo le jǐxià mén, dàn méiyǒu rén huíyìng.</i><br></br>He knocked on the door a few times, but no one answered.";"🐇 蓝忘机敲了敲门，示意对方进来。";"<i>lánwàngjī qiāo le qiāomén, shìyì duìfāng jìnlái.</i><br></br>Lan Wangji knocked on the door, signaling the other party to come in.";"🐇 金凌敲了敲桌子，表示要大家安静。";"<i>jīnlíng qiāo le qiāo zhuōzi, biǎoshì yào dàjiā ānjìng.</i><br></br>Jin Ling knocked on the table, indicating everyone to be quiet.";"♻❈ 请不要敲门，孩子正在睡觉。";"<i>qǐng bùyào qiāomén, háizi zhèngzài shuìjiào.</i><br></br>Please don't knock on the door, the child is sleeping."
"桥⠀";"qiáo";"/bridge/CL:座[zuo4]//bridge/CL:座[zuò]";"桥 (bridge)";"There are no other HSK words in this level (or before) using this character.";"❈ 这座桥连接了两个城市。";"<i>zhèzuò qiáo liánjiē le liǎnggè chéngshì.</i><br></br>This bridge connects two cities.";"❈ 我们要过桥了。";"<i>wǒmen yào guòqiáo le.</i><br></br>We are going to cross the bridge.";"❈ 他喜欢在桥上散步。";"<i>tā xǐhuan zài qiáo shàng sànbù.</i><br></br>He likes to take a walk on the bridge.";"❈ 他们在河上建了一座新的桥。";"<i>tāmen zài héshàng jiàn le yīzuò xīn de qiáo.</i><br></br>They built a new bridge over the river.";"❈ 桥的两端有很多美丽的风景。";"<i>qiáo de liǎngduān yǒu hěnduō měilì de fēngjǐng.</i><br></br>There are many beautiful views at both ends of the bridge."
"巧克力⠀";"qiǎokèlì";"/chocolate (loanword)/CL:塊|块[kuai4]//chocolate (loanword)/CL:块[kuài]";"巧 (skillful)";"There are no other HSK words in this level (or before) using this character.";"克 (overcome)";"There are no other HSK words in this level (or before) using this character.";"力 (power)";"Other words using this character: 努力 (hard-working); 力气 (strength); 能力 (capability); 压力 (pressure)";"❈ 我喜欢吃巧克力。";"<i>wǒ xǐhuan chī qiǎokèlì.</i><br></br>I like to eat chocolate.";"❈ 巧克力对大多数人来说是一种享受。";"<i>qiǎokèlì duì dàduōshù rén láishuō shì yīzhǒng xiǎngshòu.</i><br></br>Chocolate is a pleasure for most people.";"❈ 她送了我一盒巧克力。";"<i>tā sòng le wǒ yīhé qiǎokèlì.</i><br></br>She gave me a box of chocolates.";"❈ 这家店有各种口味的巧克力。";"<i>zhèjiā diànyǒu gèzhǒng kǒuwèi de qiǎokèlì.</i><br></br>This shop has chocolates of various flavors."
"亲戚⠀";"qīnqi";"/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]//a relative (i.e. family relation)/CL:门[mén],个[gè],位[wèi]";"亲 (relative)";"Other words using this character: 父亲 (father); 母亲 (mother)";"戚 (grief)";"There are no other HSK words in this level (or before) using this character.";"❈ 亲戚聚会是我们家的传统。";"<i>qīnqi jùhuì shì wǒmen jiā de chuántǒng.</i><br></br>Family gatherings are a tradition in our family.";"❈ 他们是我的远房亲戚。";"<i>tāmen shì wǒ de yuǎnfángqīnqī.</i><br></br>They are my distant relatives.";"❈ 我的亲戚大多住在乡下。";"<i>wǒ de qīnqi dàduō zhù zài xiāngxià.</i><br></br>Most of my relatives live in the countryside.";"🐇 蓝湛的亲戚中有不少修行的人。";"<i>lánzhàn de qīnqi zhōngyǒu bùshǎo xiūxíng de rén.</i><br></br>Lan Zhan has many relatives who are cultivators.";"🐇 蓝曦臣对亲戚朋友总是很热情。";"<i>lánxīchén duì qīnqīpéngyǒu zǒngshì hěn rèqíng.</i><br></br>Lan Xichen is always very warm towards his relatives and friends.";"♻🐇 金凌的熟人很多，他在亲戚朋友中有很高的人缘。";"<i>jīnlíng de shúrén hěnduō, tā zài qīnqīpéngyǒu zhōngyǒu hěn gāo de rényuán.</i><br></br>Jin Ling has many acquaintances and has a good reputation among relatives and friends."
"轻⠀";"qīng";"/light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage//light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage";"轻 (light)";"Other words using this character: 年轻 (young); 轻松 (relaxed)";"❈ 她的笑声很轻。";"<i>tā de xiàoshēng hěn qīng.</i><br></br>Her laughter is very gentle.";"❈ 这个箱子很轻。";"<i>zhège xiāngzi hěn qīng.</i><br></br>This box is very light.";"❈ 他的态度太轻率了。";"<i>tā de tàidu tài qīngshuài le.</i><br></br>His attitude is too reckless.";"🐇 魏无羡的笑声轻轻地在山谷中回荡。";"<i>wèiwúxiàn de xiàoshēng qīngqīngdì zài shāngǔ zhōng huídàng.</i><br></br>Wei Wuxian's laughter lightly echoed in the valley.";"🐇 蓝忘机的指尖轻轻触碰着琴弦。";"<i>lánwàngjī de zhǐjiān qīngqīng chùpèng zhe qínxián.</i><br></br>Lan Wangji's fingertips lightly touched the strings of the qin.";"♻🐇 温宁的臂力很大，可以轻松举起一桶水。";"<i>wēnníng de bìlì hěndà, kěyǐ qīngsōng jǔqǐ yītǒng shuǐ.</i><br></br>Wen Ning has great arm strength and can easily lift a bucket of water."
"轻松⠀";"qīngsōng";"/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously//light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously";"轻 (light)";"Other words using this character: 年轻 (young); 轻 (light)";"松 (pine)";"Other words using this character: 放松 (relax)";"❈ 他的笑容让人感到轻松。";"<i>tā de xiàoróng ràng rén gǎndào qīngsōng.</i><br></br>His smile makes people feel at ease.";"❈ 今天的工作很轻松。";"<i>jīntiān de gōngzuò hěn qīngsōng.</i><br></br>Today's work is very relaxed.";"❈ 她总是能够轻松地完成任务。";"<i>tā zǒngshì nénggòu qīngsōng dì wánchéng rènwu.</i><br></br>She can always effortlessly complete tasks.";"🐇 蓝忘机的音乐总是让人感到轻松和愉悦。";"<i>lánwàngjī de yīnyuè zǒngshì ràng rén gǎndào qīngsōng hé yúyuè.</i><br></br>Lan Wangji's music always makes people feel relaxed and joyful.";"🐇 金凌在蓝曦臣的陪伴下，度过了一个轻松愉快的假期。";"<i>jīnlíng zài lánxīchén de péibàn xià, dùguò le yīgè qīngsōngyúkuài de jiàqī.</i><br></br>Jin Ling had a relaxed and enjoyable holiday with Lan Xichen's company.";"♻🐇 温宁的臂力很大，可以轻松举起一桶水。";"<i>wēnníng de bìlì hěndà, kěyǐ qīngsōng jǔqǐ yītǒng shuǐ.</i><br></br>Wen Ning has great arm strength and can easily lift a bucket of water."
"情况⠀";"qíngkuàng";"/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]//circumstances; state of affairs; situation/CL:个[gè],种[zhǒng]";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 爱情 (romance); 感情 (emotion); 同情 (sympathize); 心情 (mood)";"况 (moreover)";"There are no other HSK words in this level (or before) using this character.";"❈ 他对当前的情况感到很担忧。";"<i>tā duì dāngqián de qíngkuàng gǎndào hěn dānyōu.</i><br></br>He is very worried about the current situation.";"❈ 请告诉我你的具体情况。";"<i>qǐng gàosu wǒ nǐ de jùtǐqíngkuàng.</i><br></br>Please tell me about your specific circumstances.";"❈ 在这种情况下，我们需要冷静思考。";"<i>zài zhèzhǒng qíngkuàng xià, wǒmen xūyào lěngjìng sīkǎo.</i><br></br>In this kind of circumstance, we need to think calmly.";"🐇 温情向大家汇报了最新的情况。";"<i>wēnqíng xiàng dàjiā huìbào le zuìxīn de qíngkuàng.</i><br></br>Wen Qing briefed everyone on the latest situation.";"🐇 温宁在危急情况下保护了大家。";"<i>wēnníng zài wēijíqíngkuàng xià bǎohù le dàjiā.</i><br></br>Wen Ning protected everyone in a critical situation.";"♻❈ 请立即通知医生，这是紧急情况。";"<i>qǐng lìjí tōngzhī yīshēng, zhèshì jǐnjíqíngkuàng.</i><br></br>Please inform the doctor immediately, this is an emergency."
"穷⠀";"qióng";"/poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly//poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly";"穷 (poor)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们家很穷。";"<i>tāmen jiā hěnqióng.</i><br></br>Their family is very poor.";"❈ 这个问题让我感到很穷。";"<i>zhège wèntí ràng wǒ gǎndào hěnqióng.</i><br></br>This problem makes me feel exhausted.";"❈ 他穷尽一生追求真理。";"<i>tā qióngjìn yīshēng zhuīqiúzhēnlǐ.</i><br></br>He spent his whole life pursuing the truth.";"🐇 江澄穷尽一生精力来维护莲花坞。";"<i>jiāngchéng qióngjìn yīshēng jīnglì lái wéihù liánhuā wù.</i><br></br>Jiang Cheng exhausted all his energy to maintain Lotus Pier.";"🐇 魏无羡在夷陵老祖的诡计中陷入了穷途末路。";"<i>wèiwúxiàn zài yílíng lǎozǔ de guǐjì zhōng xiànrù le qióngtúmòlù.</i><br></br>Wei Wuxian fell into a desperate situation due to the Yiling Patriarch's scheme.";"♻❈ 女人的力量是无穷的。";"<i>nǚrén de lìliang shì wúqióngde.</i><br></br>The power of women is infinite."
"区别⠀";"qūbié";"/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]//difference/to distinguish/to discriminate/to make a distinction/CL:个[gè]";"区 (area)";"Other words using this character: 郊区 (suburb)";"别 (leave)";"Other words using this character: 别 (leave); 别人 (others); 特别 (unusual); 性别 (gender)";"❈ 他们之间有很大的区别。";"<i>tāmen zhījiān yǒu hěndà de qūbié.</i><br></br>There is a big difference between them.";"❈ 你能区别这两种花吗？";"<i>nǐ néng qūbié zhè liǎngzhǒng huā ma?</i><br></br>Can you distinguish these two kinds of flowers?";"❈ 这两种颜色很难区别。";"<i>zhè liǎngzhǒng yánsè hěnnán qūbié.</i><br></br>These two colors are very difficult to distinguish.";"🐇 温情善良，不会区别对待任何人。";"<i>wēnqíng shànliáng, bùhuì qūbiéduìdài rènhérén.</i><br></br>Wen Qing is kind and will not discriminate against anyone.";"🐇 江澄总是区别对待魏无羡和蓝湛。";"<i>jiāngchéng zǒngshì qūbiéduìdài wèiwúxiàn hé lánzhàn.</i><br></br>Jiang Cheng always treats Wei Wuxian and Lan Zhan differently.";"♻❈ 华氏度和摄氏度有什么区别？";"<i>huáshìdù hé shèshìdù yǒu shénme qūbié?</i><br></br>What is the difference between Fahrenheit and Celsius?"
"取⠀";"qǔ";"/to take/to get/to choose/to fetch//to take/to get/to choose/to fetch";"取 (take)";"There are no other HSK words in this level (or before) using this character.";"❈ 请取一张纸。";"<i>qǐngqǔ yīzhāng zhǐ.</i><br></br>Please take a piece of paper.";"❈ 他取了一瓶水。";"<i>tāqǔ le yīpíng shuǐ.</i><br></br>He got a bottle of water.";"❈ 你可以取任何你喜欢的书。";"<i>nǐ kěyǐ qǔ rènhé nǐ xǐhuan de shū.</i><br></br>You can choose any book you like.";"❈ 我要去取快递。";"<i>wǒyào qùqǔ kuàidì.</i><br></br>I'm going to pick up the delivery.";"❈ 取一个好名字对孩子很重要。";"<i>qǔ yīgè hǎo míngzì duì háizi hěn zhòngyào.</i><br></br>Choosing a good name is important for a child."
"全部⠀";"quánbù";"/whole; all//whole; all";"全 (all)";"Other words using this character: 安全 (safety); 完全 (complete)";"部 (department)";"Other words using this character: 部分 (part)";"❈ 这个问题需要全部的人一起讨论。";"<i>zhège wèntí xūyào quánbù de rén yīqǐ tǎolùn.</i><br></br>This issue needs to be discussed by everyone together.";"❈ 他把全部的钱都捐了出去。";"<i>tā bǎ quánbù de qián dōu juān le chūqù.</i><br></br>He donated all of his money.";"❈ 全部的学生都参加了活动。";"<i>quánbù de xuésheng dōu cānjiā le huódòng.</i><br></br>All the students participated in the activity.";"🐇 魏无羡把全部的事情都交代清楚了，不留任何疑问。";"<i>wèiwúxiàn bǎ quánbù de shìqing dōu jiāodài qīngchu le, bùliú rènhé yíwèn.</i><br></br>Wei Wuxian explained everything clearly, leaving no room for doubt.";"🐇 温情把全部的精力都投入到医治伤员的工作中，日夜不停。";"<i>wēnqíng bǎ quánbù de jīnglì dōu tóurù dào yīzhì shāngyuán de gōngzuò zhōng, rìyèbùtíng.</i><br></br>Wen Qing devoted all her energy to the work of treating the wounded, day and night.";"♻❈ 容貌并不代表一个人的全部。";"<i>róngmào bìng bù dàibiǎo yīgè rén de quánbù.</i><br></br>Looks do not represent everything about a person."
"缺点⠀";"quēdiǎn";"/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]//weak point/fault/shortcoming/disadvantage/CL:个[gè]";"缺 (lack)";"Other words using this character: 缺少 (lack)";"点 (point)";"Other words using this character: 一点儿 (a little); 点 (point); 地点 (place); 特点 (characteristic); 优点 (merit); 重点 (focus)";"❈ 这个产品的缺点是质量不稳定。";"<i>zhège chǎnpǐn de quēdiǎn shì zhìliàng bù wěndìng.</i><br></br>The disadvantage of this product is its unstable quality.";"❈ 他的缺点是不够细心。";"<i>tā de quēdiǎn shì bùgòu xìxīn.</i><br></br>His shortcoming is not being careful enough.";"❈ 每个人都有自己的缺点。";"<i>měige rén dōu yǒu zìjǐ de quēdiǎn.</i><br></br>Everyone has their own faults.";"❈ 了解自己的缺点是成长的一部分。";"<i>liǎojiě zìjǐ de quēdiǎn shì chéngzhǎng de yībùfen.</i><br></br>Understanding one's own shortcomings is part of growing up.";"❈ 她的缺点并不影响她的工作表现。";"<i>tā de quēdiǎn bìng bù yǐngxiǎng tā de gōngzuò biǎoxiàn.</i><br></br>Her shortcomings do not affect her work performance."
