我	wǒ	/I; me; my/
脑袋	nǎodai	/head/skull/brains/mental capability/CL:顆|颗[ke1],個|个[ge4]/
内科	nèikē	/internal medicine; general medicine/
嫩	nèn	/old variant of 嫩[nen4]/
能干	nénggàn	/capable/competent/
能源	néngyuán	/energy/power source/CL:個|个[ge4]/
年代	niándài	/a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]/
年纪	niánjì	/age/CL:把[ba3],個|个[ge4]/
宁可	nìngkě	/preferably/one would prefer to...(or not to...)/would rather/(would) be better to/(to pick) the lesser of two evils/
牛仔裤	niúzǎikù	/jeans/CL:條|条[tiao2]/
农村	nóngcūn	/rural area/village/CL:個|个[ge4]/
农业	nóngyè	/agriculture/farming/
女士	nǚshì	/lady/madam/CL:個|个[ge4],位[wei4]/Miss/Ms/
派	pài	/clique/school/group/faction/to dispatch/to send/to assign/to appoint/pi (Greek letter Ππ)/the circular ratio pi = 3.1415926/(loanword) pie/
赔偿	péicháng	/to compensate/
培养	péiyǎng	/to cultivate/to breed/to foster/to nurture/to educate/to groom (for a position)/education/fostering/culture (biology)/
配合	pèihé	/matching/fitting in with/compatible with/to correspond/to fit/to conform to/rapport/to coordinate with/to act in concert with/to cooperate/to become man and wife/to combine parts of machine/
披	pī	/to drape over one's shoulders/to open/to unroll/to split open/to spread out/
片面	piànmiàn	/unilateral/one-sided/
拼音	pīnyīn	/phonetic writing/pinyin (Chinese romanization)/
平	píng	/flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/abbr. for 平聲|平声[ping2 sheng1]/
平常	píngcháng	/ordinary/common/usually/ordinarily/
平方	píngfāng	/square (as in square foot, square mile, square root)/
平静	píngjìng	/tranquil/undisturbed/serene/
评价	píngjià	/to evaluate/to assess/
破坏	pòhuài	/destruction/damage/to wreck/to break/to destroy/
期待	qīdài	/to look forward to/to await/expectation/
奇迹	qíjì	/miracle/miraculous/wonder/marvel/
启发	qǐfā	/to enlighten/to explain (a text etc)/to stimulate (a mental attitude)/enlightenment/revelation/motivation/
气氛	qìfēn	/atmosphere; mood/
汽油	qìyóu	/gasoline/
谦虚	qiānxū	/modest/self-effacing/to make modest remarks/
签	qiān	/inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag/
浅	qiǎn	/shallow/light (color)/
枪	qiāng	/variant of 槍|枪[qiang1]/rifle/spear/
强调	qiángdiào	/to emphasize (a statement)/to stress/
抢	qiǎng	/to fight over/to rush/to scramble/to grab/to rob/to snatch/
悄悄	qiāoqiāo	/quiet; making little or no noise/surreptitious; stealthy/anxious; worried/Taiwan pr. [qiao3 qiao3]/
瞧	qiáo	/to look at/to see/to see (a doctor)/to visit/
巧妙	qiǎomiào	/ingenious; clever/ingenuity; artifice/
亲爱	qīn’ài	/dear/beloved/darling/
亲切	qīnqiè	/amiable/cordial/close and dear/familiar/
勤奋	qínfèn	/hardworking/diligent/
青春	qīngchūn	/youth/youthfulness/
轻视	qīngshì	/contempt/contemptuous/to despise/to scorn/scornful/
请求	qǐngqiú	/to request; to ask/request (CL:個|个[ge4])/
球迷	qiúmí	/fan (ball sports)/CL:個|个[ge4]/
趋势	qūshì	/trend; tendency/
去世	qùshì	/to pass away/to die/
权力	quánlì	/power/authority/
劝	quàn	/to advise/to urge/to try to persuade/to exhort/to console/to soothe/
缺乏	quēfá	/to lack; to be short of/
确认	quèrèn	/to confirm/to verify/confirmation/
群	qún	/group/crowd/flock, herd, pack etc/
燃烧	ránshāo	/to ignite/to combust/to burn/combustion/flaming/
绕	rào	/variant of 繞|绕[rao4], to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour/
热爱	rè’ài	/to love ardently/to adore/
热心	rèxīn	/enthusiastic; ardent; zealous/
人才	réncái	/talent/talented person/looks/attractive looks/
人类	rénlèi	/humanity/human race/mankind/
人生	rénshēng	/life (one's time on earth)/
人物	rénwù	/person; personage; figure (esp. sb of importance)/character (in a play, novel etc)/figure painting (as a genre of traditional Chinese painting)/
忍不住	rěnbuzhù	/cannot help/unable to bear/
日程	rìchéng	/schedule/itinerary/CL:個|个[ge4]/
日历	rìlì	/calendar/CL:張|张[zhang1],本[ben3]/
日用品	rìyòngpǐn	/articles for daily use/CL:件[jian4],個|个[ge4]/
如何	rúhé	/how/what way/what/
软件	ruǎnjiàn	/(computer) software/
洒	sǎ	/to sprinkle/to spray/to spill/to shed/
嗓子	sǎngzi	/throat/voice/CL:把[ba3]/
沙滩	shātān	/beach/sandy shore/CL:片[pian4]/
晒	shài	/(of the sun) to shine on/to bask in (the sunshine)/to dry (clothes, grain etc) in the sun/(fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share")/(coll.) to give the cold shoulder to/
闪电	shǎndiàn	/lightning/CL:道[dao4]/
善于	shànyú	/to be good at; to be adept at/
商品	shāngpǐn	/commodity; goods; merchandise/CL:件|件[jian4]/
商务	shāngwù	/commercial affairs/commercial/commerce/business/
伤害	shānghài	/to injure; to harm/
舍不得	shěbude	/to hate to do sth/to hate to part with/to begrudge/
设计	shèjì	/to design; to plan/design; plan/
摄影	shèyǐng	/to take a photograph/photography/to shoot (a movie)/
伸	shēn	/to stretch/to extend/
深刻	shēnkè	/profound/deep/deep-going/
身份	shēnfèn	/identity/aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)/role/capacity (as in "in his capacity as a ..." 以…的身份[yi3 xx5 de5 shen1 fen4])/status (social, legal etc)/position/rank/
神秘	shénmì	/mysterious/mystery/
生动	shēngdòng	/vivid/lively/
生长	shēngzhǎng	/to grow/to grow up/to be brought up/
诗	shī	/poem/CL:首[shou3]/poetry/verse/
失眠	shīmián	/to suffer from insomnia/
狮子	shīzi	/lion/CL:隻|只[zhi1],頭|头[tou2]/
时代	shídài	/age/era/epoch/period (in one's life)/CL:個|个[ge4]/
时髦	shímáo	/in vogue/fashionable/
时尚	shíshàng	/fashion/fad/fashionable/
实习	shíxí	/to practice/field work/to intern/internship/
实验	shíyàn	/experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment/
石头	shítou	/stone/CL:塊|块[kuai4]/
使劲儿	shǐjìnr	/erhua variant of 使勁|使劲[shi3 jin4]/
始终	shǐzhōng	/from beginning to end/all along/
试卷	shìjuàn	/examination paper/test paper/CL:份[fen4],張|张[zhang1]/
市场	shìchǎng	/marketplace/market (also in abstract)/
事物	shìwù	/thing; object/CL:個|个[ge4]/
收据	shōujù	/receipt/CL:張|张[zhang1]/
手工	shǒugōng	/handwork/manual/
手术	shǒushù	/(surgical) operation/surgery/CL:個|个[ge4]/
手续	shǒuxù	/procedure/CL:道[dao4],個|个[ge4]/formalities/
首	shǒu	/head/chief/first (occasion, thing etc)/classifier for poems, songs etc/
受伤	shòushāng	/to sustain injuries/wounded (in an accident etc)/harmed/
寿命	shòumìng	/life span/life expectancy/lifetime (of a machine)/
书架	shūjià	/bookshelf/CL:個|个[ge4]/
输入	shūrù	/to import/to input/
熟练	shúliàn	/practiced/proficient/skilled/skillful/
鼠标	shǔbiāo	/mouse (computing)/
数据	shùjù	/data/
数码	shùmǎ	/number/numerals/figures/digital/amount/numerical code/
摔倒	shuāidǎo	/to fall down/to slip and fall/to throw sb to the ground/
双方	shuāngfāng	/bilateral/both sides/both parties involved/
税	shuì	/taxes/duties/
说服	shuōfú	/to persuade/to convince/to talk sb over/Taiwan pr. [shui4 fu2]/
丝绸	sīchóu	/silk cloth/silk/
思想	sīxiǎng	/thought/thinking/idea/ideology/CL:個|个[ge4]/
似乎	sìhū	/it seems; seemingly; as if/
随身	suíshēn	/to (carry) on one's person/to (take) with one/
碎	suì	/(transitive or intransitive verb) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous/
损失	sǔnshī	/loss/damage/CL:個|个[ge4]/to lose/to suffer damage/
锁	suǒ	/old variant of 鎖|锁[suo3]/
台阶	táijiē	/steps/flight of steps/step (over obstacle)/fig. way out of an embarrassing situation/bench (geology)/
太极拳	tàijíquán	/shadowboxing or Taiji, T'aichi or T'aichichuan/traditional form of physical exercise or relaxation/a martial art/
逃	táo	/to escape/to run away/to flee/
淘气	táoqì	/naughty/mischievous/
讨价还价	tǎojiàhuánjià	/to haggle over price/to bargain/
套	tào	/to cover/to encase/cover/sheath/to overlap/to interleave/to model after/to copy/formula/harness/loop of rope/(fig.) to fish for/to obtain slyly/classifier for sets, collections/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)/
特色	tèsè	/characteristic/distinguishing feature or quality/
提倡	tíchàng	/to promote/to advocate/
题目	tímù	/subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])/
体贴	tǐtiē	/considerate (of other people's needs)/
体验	tǐyàn	/to experience for oneself/
天空	tiānkōng	/sky/
天真	tiānzhēn	/naive/innocent/artless/
调整	tiáozhěng	/to adjust/adjustment/revision/CL:個|个[ge4]/
通常	tōngcháng	/regular; usual; normal/usually; normally/
统一	tǒngyī	/to unify; to integrate/unified; integrated/
痛快	tòngkuài	/delighted/to one's heart's content/straightforward/also pr. [tong4 kuai5]/
偷	tōu	/to steal/to pilfer/to snatch/thief/stealthily/
投资	tóuzī	/investment/to invest/
突出	tūchū	/prominent/outstanding/to give prominence to/to protrude/to project/
土豆	tǔdòu	/potato (CL:個|个[ge4])/(Tw) peanut (CL:顆|颗[ke1])/
兔子	tùzi	/hare/rabbit/CL:隻|只[zhi1]/
推辞	tuīcí	/to decline (an appointment, invitation etc)/
推荐	tuījiàn	/to recommend/recommendation/
退	tuì	/to retreat; to withdraw/to reject; to return (sth)/to decline/
退休	tuìxiū	/to retire (from the workforce); to go into retirement/
外公	wàigōng	/(coll.) mother's father/maternal grandfather/
完整	wánzhěng	/complete/intact/
玩具	wánjù	/plaything/toy/
万一	wànyī	/just in case/if by any chance/contingency/
威胁	wēixié	/to threaten; to menace/
维修	wéixiū	/maintenance (of equipment)/to protect and maintain/
围绕	wéirào	/to revolve around/to center on (an issue)/
尾巴	wěiba	/tail/colloquial pr. [yi3 ba5]/
委屈	wěiqu	/to feel wronged/to cause sb to feel wronged/grievance/
胃	wèi	/stomach/CL:個|个[ge4]/
位于	wèiyú	/to be located at/to be situated at/to lie/
未必	wèibì	/not necessarily/maybe not/
温柔	wēnróu	/gentle and soft; tender; sweet (commonly used to describe a girl or woman)/
文具	wénjù	/stationery/item of stationery (pen, pencil, eraser, pencil sharpener etc)/
文学	wénxué	/literature/CL:種|种[zhong3]/
稳定	wěndìng	/steady/stable/stability/to stabilize/to pacify/
问候	wènhòu	/to give one's respects/to send a greeting/(fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)/
卧室	wòshì	/bedroom/CL:間|间[jian1]/
无数	wúshù	/countless/numberless/innumerable/
勿	wù	/do not/
物质	wùzhì	/matter/substance/material/materialistic/CL:個|个[ge4]/
吸取	xīqǔ	/to absorb/to draw (a lesson, insight etc)/to assimilate/
系统	xìtǒng	/system/CL:個|个[ge4]/
戏剧	xìjù	/a drama; a play; theater/script of a play/
吓	xià	/to frighten/to scare/
夏令营	xiàlìngyíng	/summer camp/
下载	xiàzài	/to download/also pr. [xia4 zai4]/
显然	xiǎnrán	/clearly; evidently; obviously/
县	xiàn	/county/
现象	xiànxiàng	/phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance/
香肠	xiāngcháng	/sausage/CL:根[gen1]/
相当	xiāngdāng	/equivalent to/appropriate/considerably/to a certain extent/fairly/quite/
相似	xiāngsì	/similar; alike/
想念	xiǎngniàn	/to miss/to remember with longing/to long to see again/
享受	xiǎngshòu	/to enjoy/to live it up/pleasure/CL:種|种[zhong3]/
项链	xiàngliàn	/necklace/CL:條|条[tiao2]/
象征	xiàngzhēng	/emblem/symbol/token/badge/to symbolize/to signify/to stand for/
消极	xiāojí	/negative/passive/inactive/
消失	xiāoshī	/to disappear; to fade away/
小气	xiǎoqi	/stingy/miserly/narrow-minded/petty/
孝顺	xiàoshun	/filial/dutiful/devoted to one's parents (and grandparents etc)/to show filial piety towards (an older family member)/filial piety/
斜	xié	/inclined/slanting/oblique/tilting/
写作	xiězuò	/to write/to compose/writing/written works/
心理	xīnlǐ	/psychology/mentality/
心脏	xīnzàng	/heart/CL:顆|颗[ke1],個|个[ge4]/
信任	xìnrèn	/to trust/to have confidence in/
行为	xíngwéi	/action/conduct/behavior/activity/
形容	xíngróng	/to describe/(literary) countenance; appearance/
形势	xíngshì	/circumstances/situation/terrain/CL:個|个[ge4]/
形状	xíngzhuàng	/form; shape/CL:個|个[ge4]/
幸运	xìngyùn	/fortunate/lucky/fortune/luck/
兄弟	xiōngdì	/brothers/younger brother/CL:個|个[ge4]/I, me (humble term used by men in public speech)/brotherly/fraternal/
虚心	xūxīn	/open-minded/humble/
宣布	xuānbù	/to declare/to announce/to proclaim/
学术	xuéshù	/learning/science/academic/CL:個|个[ge4]/
询问	xúnwèn	/to inquire/
训练	xùnliàn	/to train/to drill/training/CL:個|个[ge4]/
押金	yājīn	/deposit/down payment/
牙齿	yáchǐ	/tooth/dental/CL:顆|颗[ke1]/
宴会	yànhuì	/banquet/feast/dinner party/CL:席[xi2],個|个[ge4]/
痒	yǎng	/to itch/to tickle/
样式	yàngshì	/type/style/
腰	yāo	/waist/lower back/pocket/middle/loins/
咬	yǎo	/variant of 咬[yao3]/
夜	yè	/night/
业余	yèyú	/in one's spare time/outside working hours/amateur (historian etc)/
依然	yīrán	/still; as before/
一旦	yídàn	/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day/
一致	yízhì	/consistent; unanimous; in agreement/together; in unison/
一再	yízài	/repeatedly/
移民	yímín	/to immigrate/to migrate/emigrant/immigrant/
疑问	yíwèn	/question/interrogation/doubt/
以来	yǐlái	/since (a previous event)/
意外	yìwài	/unexpected/accident/mishap/CL:個|个[ge4]/
议论	yìlùn	/to comment/to talk about/to discuss/discussion/CL:個|个[ge4]/
义务	yìwù	/duty; obligation (CL:項|项[xiang4])/volunteer (work etc)/
因素	yīnsù	/element/factor/CL:個|个[ge4]/
英俊	yīngjùn	/handsome/
营养	yíngyǎng	/nutrition/nourishment/CL:種|种[zhong3]/
硬	yìng	/hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial/
应付	yìngfu	/to deal with; to cope/
应用	yìngyòng	/to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app/
拥挤	yōngjǐ	/crowded/to throng/congestion/
勇气	yǒngqì	/courage/valor/
用功	yònggōng	/diligent/industrious (in one's studies)/to study hard/to make great effort/
优惠	yōuhuì	/privilege/favorable (terms)/preferential (treatment)/discount (price)/
优势	yōushì	/superiority/dominance/advantage/
悠久	yōujiǔ	/long (tradition, history etc)/
油炸	yóuzhá	/to deep fry/
有利	yǒulì	/advantageous; favorable/
娱乐	yúlè	/to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy/
预报	yùbào	/forecast/
预防	yùfáng	/to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic/
圆	yuán	/circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)/
元旦	uándàn	/New Year's Day/
员工	yuángōng	/staff; personnel; employee/
愿望	yuànwàng	/desire/wish/
晕	yūn	/dizzy/halo/ring around moon or sun/
运气	yùnqi	/luck (good or bad)/
运用	yùnyòng	/to use/to put to use/
灾害	zāihài	/calamity/disaster/CL:個|个[ge4]/
在乎	zàihu	/to rest with; to lie in; to be due to (a certain attribute)/(often used in the negative) to care about/
再三	zàisān	/over and over again/again and again/
赞成	zànchéng	/to approve/to endorse/(literary) to assist/
糟糕	zāogāo	/too bad/how terrible/what bad luck/terrible/bad/
造成	zàochéng	/to bring about; to create; to cause/
责备	zébèi	/to blame/to criticize/condemnation/reproach/
窄	zhǎi	/narrow/narrow-minded/badly off/
展开	zhǎnkāi	/to unfold; to spread out; to open up/to launch; to carry out/
掌握	zhǎngwò	/to grasp (often fig.)/to control/to seize (initiative, opportunity, destiny)/to master/to know well/to understand sth well and know how to use it/fluency/
账户	zhànghù	/bank account/online account/
珍惜	zhēnxī	/to treasure/to value/to cherish/
阵	zhèn	/disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration/
睁	zhēng	/to open (one's eyes)/
争取	zhēngqǔ	/to fight for/to strive for/to win over/
整个	zhěnggè	/whole/entire/total/
整齐	zhěngqí	/orderly/neat/even/tidy/
正	zhèng	/straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive/
政府	zhèngfǔ	/government/CL:個|个[ge4]/
证件	zhèngjiàn	/certificate; papers; credentials; document; ID/
支	zhī	/to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions/
支票	zhīpiào	/check (bank)/cheque/CL:本[ben3]/
指导	zhǐdǎo	/to guide/to give directions/to direct/to coach/guidance/tuition/CL:個|个[ge4]/
制定	zhìdìng	/to draw up; to formulate/
制造	zhìzào	/to manufacture; to make/
智慧	zhìhuì	/wisdom; intelligence/
秩序	zhìxù	/order (orderly)/order (sequence)/social order/the state (of society)/CL:個|个[ge4]/
中介	zhōngjiè	/to act as intermediary/to link/intermediate/inter-/agency/agent/
中旬	zhōngxún	/middle third of a month/
周到	zhōudào	/thoughtful/considerate/attentive/thorough/also pr. [zhou1 dao5]/
逐步	zhúbù	/progressively/step by step/
竹子	zhúzi	/bamboo/CL:棵[ke1],支[zhi1],根[gen1]/
主持	zhǔchí	/to take charge of/to manage or direct/to preside over/to uphold/to stand for (justice etc)/to host (a TV or radio program etc)/(TV) anchor/
主观	zhǔguān	/subjective/
主题	zhǔtí	/theme/subject/
主任	zhǔrèn	/director/head/CL:個|个[ge4]/
抓	zhuā	/to grab/to catch/to arrest/to snatch/to scratch/
专家	zhuānjiā	/expert; specialist/
专心	zhuānxīn	/to focus one's attention; to concentrate on (doing sth)/
转告	zhuǎngào	/to pass on/to communicate/to transmit/
装	zhuāng	/adornment/to adorn/dress/clothing/costume (of an actor in a play)/to play a role/to pretend/to install/to fix/to wrap (sth in a bag)/to load/to pack/
装修	zhuāngxiū	/to decorate/interior decoration/to fit up/to renovate/
状况	zhuàngkuàng	/condition; state; situation/CL:個|个[ge4]/
追	zhuī	/to chase/to pursue/to look into/to investigate/to reminisce/to recall/to court (one's beloved)/to binge-watch (a TV drama)/retroactively/posthumously/
资格	zīgé	/qualifications/seniority/
资料	zīliào	/material/resources/data/information/profile (Internet)/CL:份[fen4],個|个[ge4]/
姿势	zīshì	/posture/position/
紫	zǐ	/purple/violet/
字幕	zìmù	/caption/subtitle/
自动	zìdòng	/automatic/voluntarily/
自由	zìyóu	/freedom; liberty/free; unrestricted/CL:種|种[zhong3]/
综合	zōnghé	/comprehensive/composite/synthesized/mixed/to sum up/to integrate/to synthesize/
总共	zǒnggòng	/altogether; in sum; in all; in total/
总理	zǒnglǐ	/premier/prime minister/CL:個|个[ge4],位[wei4],名[ming2]/
总算	zǒngsuàn	/at long last/finally/on the whole/
总之	zǒngzhī	/in a word/in short/in brief/
组成	zǔchéng	/to form/to make up/to constitute/
组织	zǔzhī	/to organize/organization/(biology) tissue/(textiles) weave/CL:個|个[ge4]/
作文	zuòwén	/to write an essay/composition (student essay)/CL:篇[pian1]/
哎	āi	/hey!/(interjection used to attract attention or to express surprise or disapprobation)/
爱护	àihù	/to cherish/to treasure/to take care of/to love and protect/
爱惜	àixī	/to cherish/to treasure/to use sparingly/
安装	ānzhuāng	/to install/to erect/to fix/to mount/installation/
暗	àn	/(literary) to close (a door)/to eclipse/confused; ignorant (variant of 暗[an4])/dark (variant of 暗[an4])/
把握	bǎwò	/to grasp (also fig.)/to seize/to hold/assurance/certainty/sure (of the outcome)/
摆	bǎi	/to arrange/to exhibit/to move to and fro/a pendulum/
办理	bànlǐ	/to handle; to transact; to conduct/
傍晚	bàngwǎn	/in the evening/when night falls/towards evening/at night fall/at dusk/
包裹	bāoguǒ	/to wrap up/to bind up/bundle/parcel/package/CL:個|个[ge4]/
包括	bāokuò	/to comprise/to include/to involve/to incorporate/to consist of/
薄	báo	/see 薄荷[bo4 he5]/
宝贝	bǎobèi	/treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character/
保持	bǎochí	/to keep/to maintain/to hold/to preserve/
保险	bǎoxiǎn	/insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]/
抱怨	bàoyuàn	/to complain/to grumble/to harbor a complaint/to feel dissatisfied/
报道	bàodào	/to report (news)/report/CL:篇[pian1],份[fen4]/
报社	bàoshè	/newspaper (i.e. a company)/CL:家[jia1]/
背	bèi	/the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing/
本质	běnzhì	/essence/nature/innate character/intrinsic quality/
彼此	bǐcǐ	/each other; one another/
毕竟	bìjìng	/after all/all in all/when all is said and done/in the final analysis/
避免	bìmiǎn	/to avert/to prevent/to avoid/to refrain from/
编辑	biānjí	/to edit/to compile/editor/compiler/
便	biàn	/used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]/
标点	biāodiǎn	/punctuation/a punctuation mark/to punctuate/CL:個|个[ge4]/
表明	biǎomíng	/to make clear/to make known/to state clearly/to indicate/known/
病毒	bìngdú	/virus/
播放	bōfàng	/to broadcast; to transmit (by radio or TV)/
脖子	bózi	/neck/CL:個|个[ge4]/
不要紧	búyàojǐn	/unimportant/not serious/it doesn't matter/never mind/it looks all right, but/
布	bù	/cloth/to declare/to announce/to spread/to make known/
不安	bù’ān	/unpeaceful/unstable/uneasy/disturbed/restless/worried/
不得了	bùdéliǎo	/desperately serious/disastrous/extremely/exceedingly/
不如	bùrú	/not equal to; not as good as; inferior to/it would be better to/
步骤	bùzhòu	/procedure/step/
采访	cǎifǎng	/to interview/to gather news/to hunt for and collect/to cover/
彩虹	cǎihóng	/rainbow/CL:道[dao4]/
参与	cānyù	/to participate (in sth)/
惭愧	cánkuì	/ashamed/
操心	cāoxīn	/to worry about/
册	cè	/book/booklet/classifier for books/
测验	cèyàn	/test/to test/CL:次[ci4],個|个[ge4]/
曾经	céngjīng	/once/already/former/previously/ever/(past tense marker used before verb or clause)/
差距	chājù	/disparity/gap/
产品	chǎnpǐn	/goods/merchandise/product/CL:個|个[ge4]/
长途	chángtú	/long distance/
抄	chāo	/to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms/
超级	chāojí	/super-/ultra-/hyper-/
朝	cháo	/morning/
炒	chǎo	/to sauté; to stir-fry/to speculate (in real estate etc); to scalp/to hype up/to sack; to fire (sb)/
吵架	chǎojià	/to quarrel/to have a row/quarrel/CL:頓|顿[dun4]/
车厢	chēxiāng	/carriage/CL:節|节[jie2]/
沉默	chénmò	/taciturn/uncommunicative/silent/
称呼	chēnghu	/to call; to address as/form of address; appellation/
承认	chéngrèn	/to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge/
程度	chéngdù	/degree; level; extent/
成分	chéngfèn	/composition; ingredient; element; component/one's social status/CL:個|个[ge4]/
成果	chéngguǒ	/result/achievement/gain/profit/CL:個|个[ge4]/
成就	chéngjiù	/accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about/
成熟	chéngshú	/mature; ripe/to mature; to ripen/Taiwan pr. [cheng2 shou2]/
成长	chéngzhǎng	/to mature/to grow/growth/
吃亏	chīkuī	/to suffer losses/to come to grief/to lose out/to get the worst of it/to be at a disadvantage/unfortunately/
迟早	chízǎo	/sooner or later/
池塘	chítáng	/pool/pond/
翅膀	chìbǎng	/wing/CL:個|个[ge4],對|对[dui4]/
充电器	chōngdiànqì	/battery charger/
充满	chōngmǎn	/full of/brimming with/very full/permeated/
抽屉	chōuti	/drawer/
臭	chòu	/sense of smell/smell bad/
出版	chūbǎn	/to publish/
出色	chūsè	/remarkable; outstanding/
初级	chūjí	/junior/primary/
传播	chuánbō	/to disseminate; to propagate; to spread/
传说	chuánshuō	/legend; folk tale/to repeat from mouth to mouth; they say that.../
窗帘	chuānglián	/window curtains/
创造	chuàngzào	/to create/to bring about/to produce/to set (a record)/
词汇	cíhuì	/vocabulary/list of words (e.g. for language teaching purposes)/word/
辞职	cízhí	/to resign/
刺激	cìjī	/to provoke; to irritate; to upset; to stimulate; to excite/irritant/
从此	cóngcǐ	/from now on/since then/henceforth/
从事	cóngshì	/to go for/to engage in/to undertake/to deal with/to handle/to do/
促进	cùjìn	/to promote (an idea or cause); to advance; boost/
催	cuī	/to urge/to press/to prompt/to rush sb/to hasten sth/to expedite/
存在	cúnzài	/to exist/to be/existence/
答应	dāying	/to answer; to respond/to answer positively; to agree; to accept; to promise/
达到	dádào	/to reach; to achieve; to attain/
打交道	dǎjiāodao	/to come into contact with/to have dealings/
打喷嚏	dǎpēntì	/to sneeze/
打听	dǎting	/to ask about/to make some inquiries/to ask around/
大方	dàfang	/generous/magnanimous/stylish/in good taste/easy-mannered/natural and relaxed/
大型	dàxíng	/large/large-scale/
呆	dāi	/foolish/stupid/expressionless/blank/to stay/
代替	dàitì	/to replace; to take the place of/
贷款	dàikuǎn	/a loan/CL:筆|笔[bi3]/to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)/
单纯	dānchún	/simple/pure/unsophisticated/merely/purely/
单独	dāndú	/alone/by oneself/on one's own/
单元	dānyuán	/unit (forming an entity)/element/(in a residential building) entrance or staircase/
胆小鬼	dǎnxiǎoguǐ	/coward/
当地	dāngdì	/local/
当心	dāngxīn	/to take care/to look out/
挡	dǎng	/variant of 擋|挡[dang3]/
岛屿	dǎoyǔ	/island/
导演	dǎoyǎn	/to direct/director (film etc)/
导致	dǎozhì	/to lead to; to create; to cause; to bring about/
到达	dàodá	/to reach; to arrive/
道德	dàodé	/virtue/morality/ethics/CL:種|种[zhong3]/
等待	děngdài	/to wait; to wait for/
的确	díquè	/really/indeed/
地道	dìdao	/authentic/genuine/proper/
地理	dìlǐ	/geography/
地区	dìqū	/local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]/
地位	dìwèi	/position/status/place/CL:個|个[ge4]/
点心	diǎnxin	/light refreshments/pastry/dim sum (in Cantonese cooking)/dessert/
电台	diàntái	/transmitter-receiver/broadcasting station/radio station/CL:個|个[ge4],家[jia1]/
钓	diào	/to fish with a hook and bait/
洞	dòng	/cave/hole/zero (unambiguous spoken form when spelling out numbers)/CL:個|个[ge4]/
豆腐	dòufu	/tofu/bean curd/
独立	dúlì	/independent/independence/to stand alone/
断	duàn	/to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly/
堆	duī	/to pile up/to heap up/a mass/pile/heap/stack/large amount/
对方	duìfāng	/the other person; the other side; the other party/
对象	duìxiàng	/target; object/partner; boyfriend; girlfriend/CL:個|个[ge4]/
兑换	duìhuàn	/to convert/to exchange/
蹲	dūn	/to crouch/to squat/to stay (somewhere)/
多余	duōyú	/superfluous/unnecessary/surplus/
躲藏	duǒcáng	/to conceal oneself/to go into hiding/to take cover/
恶劣	èliè	/vile/nasty/of very poor quality/
耳环	ěrhuán	/earring/CL:隻|只[zhi1],對|对[dui4]/
发愁	fāchóu	/to worry/to fret/to be anxious/to become sad/
发抖	fādǒu	/to tremble/to shake/to shiver/
发明	fāmíng	/to invent/an invention/CL:個|个[ge4]/
翻	fān	/variant of 翻[fan1]/
反复	fǎnfù	/repeatedly/over and over/to upend/unstable/to come and go/(of an illness) to return/
反映	fǎnyìng	/to mirror/to reflect/mirror image/reflection/(fig.) to report/to make known/to render/
