爱情	àiqíng	/romance; love (romantic)/CL:份[fen4]/
帅	shuài	/(bound form) commander-in-chief/(bound form) to lead; to command/handsome; graceful; dashing; elegant/(coll.) cool!; sweet!/(Chinese chess) general (on the red side, equivalent to a king in Western chess)/
顺便	shùnbiàn	/conveniently/in passing/without much extra effort/
顺利	shùnlì	/smoothly; without a hitch/
顺序	shùnxù	/sequence/order/
说明	shuōmíng	/to explain/to illustrate/to indicate/to show/to prove/explanation/directions/caption/CL:個|个[ge4]/
硕士	shuòshì	/master's degree/person who has a master's degree/learned person/
死	sǐ	/to die/impassable/uncrossable/inflexible/rigid/extremely/damned/
速度	sùdù	/speed/rate/velocity/(music) tempo/CL:個|个[ge4]/
塑料袋	sùliàodài	/plastic bag/
酸	suān	/sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/to make sarcastic remarks about sb/an acid/
随便	suíbiàn	/as one wishes/as one pleases/at random/negligent/casual/wanton/
随着	suízhe	/along with/in the wake of/following/
孙子	sūnzi	/grandson/son's son/
所有	suǒyǒu	/all/to have; to possess; to own/
台	tái	/typhoon/
抬	tái	/to lift/to raise/(of two or more persons) to carry/
态度	tàidu	/manner/bearing/attitude/approach/CL:個|个[ge4]/
谈	tán	/to speak/to talk/to converse/to chat/to discuss/
弹钢琴	tángāngqín	to play the piano
汤	tāng	/soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled/
糖	táng	/old variant of 糖[tang2]/
躺	tǎng	/to recline/to lie down/
趟	tàng	/classifier for times, round trips or rows/a time/a trip/
讨论	tǎolùn	/to discuss; to talk over/
讨厌	tǎoyàn	/to dislike/to loathe/disagreeable/troublesome/annoying/
特点	tèdiǎn	/characteristic (feature)/trait/feature/CL:個|个[ge4]/
提	tí	/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid/
提供	tígōng	/to offer/to supply/to provide/to furnish/
提前	tíqián	/to shift to an earlier date/to do sth ahead of time/in advance/
提醒	tíxǐng	/to remind/to call attention to/to warn of/
填空	tiánkòng	/to fill a job vacancy/to fill in a blank (e.g. on questionnaire or exam paper)/
条件	tiáojiàn	/condition; circumstance; term; factor/requirement; prerequisite; qualification/situation; state; condition/CL:個|个[ge4]/
停	tíng	/to stop/to halt/to park (a car)/
挺	tǐng	/straight/erect/to stick out (a part of the body)/to (physically) straighten up/to support/to withstand/outstanding/(coll.) quite/very/classifier for machine guns/
通过	tōngguò	/to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)/by means of; through; via/
通知	tōngzhī	/to notify/to inform/notice/notification/CL:個|个[ge4]/
同时	tóngshí	/at the same time; simultaneously/
同情	tóngqíng	/to sympathize with/sympathy/
推	tuī	/to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage/
推迟	tuīchí	/to postpone/to put off/to defer/
脱	tuō	/to shed/to take off/to escape/to get away from/
袜子	wàzi	/socks/stockings/CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]/
完全	wánquán	/complete; whole/totally; entirely/
往往	wǎngwǎng	/usually/in many cases/more often than not/
网球	wǎngqiú	/tennis/tennis ball/CL:個|个[ge4]/
网站	wǎngzhàn	/website/
危险	wēixiǎn	/danger/dangerous/
味道	wèidào	/flavor; taste/(fig.) feeling (of ...); sense (of ...); hint (of ...)/(fig.) interest; delight/(dialect) smell; odor/
卫生间	wèishēngjiān	/bathroom/toilet/WC/CL:間|间[jian1]/
温度	wēndù	/temperature/CL:個|个[ge4]/
文章	wénzhāng	/article/essay/literary works/writings/hidden meaning/CL:篇[pian1],段[duan4],頁|页[ye4]/
污染	wūrǎn	/to pollute; to contaminate (lit. and fig.)/
无	wú	/not to have/no/none/not/to lack/un-/-less/
无聊	wúliáo	/bored/boring/senseless/
无论	wúlùn	/no matter what or how/regardless of whether.../
误会	wùhuì	/to misunderstand/to mistake/misunderstanding/CL:個|个[ge4]/
西红柿	xīhóngshì	/tomato/CL:隻|只[zhi1]/
吸引	xīyǐn	/to attract; to appeal to; to fascinate/
咸	xián	/salted/salty/stingy/miserly/
现金	xiànjīn	/cash/
羡慕	xiànmù	/to envy/to admire/
香	xiāng	/fragrant/sweet smelling/aromatic/savory or appetizing/(to eat) with relish/(of sleep) sound/perfume or spice/joss or incense stick/CL:根[gen1]/
相反	xiāngfǎn	/opposite/contrary/
相同	xiāngtóng	/identical/same/
详细	xiángxì	/detailed/in detail/minute/
响	xiǎng	/echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises/
橡皮	xiàngpí	/rubber/an eraser/CL:塊|块[kuai4]/
消息	xiāoxi	/news/information/CL:條|条[tiao2]/
小吃	xiǎochī	/snack/refreshments/CL:家[jia1]/
小伙子	xiǎohuǒzi	/young man/young guy/lad/youngster/CL:個|个[ge4]/
小说	xiǎoshuō	/novel/fiction/CL:本[ben3],部[bu4]/
笑话	xiàohua	/joke; jest (CL:個|个[ge4])/to laugh at; to mock/ridiculous; absurd/
效果	xiàoguǒ	/result/effect/efficacy/(theater) sound or visual effects/
辛苦	xīnkǔ	/exhausting/hard/tough/arduous/to work hard/to go to a lot of trouble/hardship(s)/
心情	xīnqíng	/mood; frame of mind/CL:個|个[ge4]/
信封	xìnfēng	/envelope/CL:個|个[ge4]/
信息	xìnxī	/information/news/message/
信心	xìnxīn	/confidence/faith (in sb or sth)/CL:個|个[ge4]/
兴奋	xīngfèn	/excited/excitement/(physiology) excitation/
行	xíng	/to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense/
醒	xǐng	/to wake up/to be awake/to become aware/to sober up/to come to/
性别	xìngbié	/gender/sex/
性格	xìnggé	/nature/disposition/temperament/character/CL:個|个[ge4]/
幸福	xìngfú	/happiness/happy/blessed/
修理	xiūlǐ	/to repair/to fix/to prune/to trim/(coll.) to sort sb out/to fix sb/
许多	xǔduō	/many/a lot of/much/
学期	xuéqī	/term/semester/CL:個|个[ge4]/
压力	yālì	/pressure/
牙膏	yágāo	/toothpaste/CL:管[guan3]/
亚洲	yàzhōu	/Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1])/
呀	ya	/(particle equivalent to 啊 after a vowel, expressing surprise or doubt)/
盐	yán	/salt/CL:粒[li4]/
严格	yángé	/strict/stringent/tight/rigorous/
严重	yánzhòng	/grave/serious/severe/critical/
研究	yánjiū	/research/a study/CL:項|项[xiang4]/to research/to look into/
演出	yǎnchū	/to act (in a play)/to perform/to put on (a performance)/performance/concert/show/CL:場|场[chang3],次[ci4]/
演员	yǎnyuán	/actor; actress; performer/
眼镜	yǎnjìng	/spectacles/eyeglasses/CL:副[fu4]/
阳光	yángguāng	/sunshine/(of personality) upbeat; energetic/transparent (open to public scrutiny)/
养成	yǎngchéng	/to cultivate/to raise/to form (a habit)/to acquire/
样子	yàngzi	/appearance/manner/pattern/model/
邀请	yāoqǐng	/to invite/invitation/CL:個|个[ge4]/
要是	yàoshi	/(coll.) if/
钥匙	yàoshi	/key/CL:把[ba3]/
也许	yěxǔ	/perhaps/maybe/
页	yè	/page/leaf/
叶子	yèzi	/leaf (CL:片[pian4])/(slang) marijuana/
一切	yíqiè	/everything/every/all/
以	yǐ	/to use/by means of/according to/in order to/because of/at (a certain date or place)/
以为	yǐwéi	/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)/
意见	yìjiàn	/idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]/
艺术	yìshù	/art/
因此	yīncǐ	/thus; consequently; as a result/
引起	yǐnqǐ	/to give rise to; to lead to; to cause; to arouse/
印象	yìnxiàng	/impression (sth that stays in one's mind)/a memory/
应聘	yìngpìn	/to accept a job offer/to apply for an advertised position/
赢	yíng	/to beat/to win/to profit/
勇敢	yǒnggǎn	/brave; courageous/
永远	yǒngyuǎn	/forever/eternal/
优点	yōudiǎn	/merit/benefit/strong point/advantage/CL:個|个[ge4],項|项[xiang4]/
优秀	yōuxiù	/outstanding; excellent/
幽默	yōumò	/(loanword) humor/humorous/
由	yóu	/to follow/from/because of; due to/by; via; through/(before a noun and a verb) it is for ... to .../
由于	yóuyú	/due to/as a result of/thanks to/owing to/since/because/
邮局	yóujú	/post office/CL:家[jia1],個|个[ge4]/
尤其	yóuqí	/especially; particularly/
有趣	yǒuqù	/interesting/fascinating/amusing/
友好	yǒuhǎo	/friendly; amicable/close friend/
友谊	yǒuyì	/companionship/fellowship/friendship/
愉快	yúkuài	/cheerful/cheerily/delightful/pleasant/pleasantly/pleasing/happy/delighted/
于是	yúshì	/thereupon; as a result; consequently; thus; hence/
与	yǔ	/to take part in/
语法	yǔfǎ	/grammar/
语言	yǔyán	/language/CL:門|门[men2],種|种[zhong3]/
羽毛球	yǔmáoqiú	/badminton/shuttlecock/
预习	yùxí	/to prepare a lesson/
原来	yuánlái	/original; former/originally; formerly; at first/so, actually, as it turns out/
原谅	yuánliàng	/to excuse/to forgive/to pardon/
原因	yuányīn	/cause/origin/root cause/reason/CL:個|个[ge4]/
约会	yuēhuì	/appointment/engagement/date/CL:次[ci4],個|个[ge4]/to arrange to meet/
阅读	yuèdú	/to read/reading/
云	yún	/cloud/CL:朵[duo3]/
允许	yǔnxǔ	/to permit/to allow/
杂志	zázhì	/magazine/CL:本[ben3],份[fen4],期[qi1]/
咱们	zánmen	/we or us (including both the speaker and the person(s) spoken to)/(dialect) I or me/(dialect) (in a coaxing or familiar way) you/also pr. [za2 men5]/
暂时	zànshí	/temporary; provisional; for the time being/
脏	zāng	/dirty/filthy/to get (sth) dirty/
责任	zérèn	/responsibility/blame/duty/CL:個|个[ge4]/
增加	zēngjiā	/to raise; to increase/
占线	zhànxiàn	/busy (telephone line)/
招聘	zhāopìn	/to invite applications for a job/to recruit/
照	zhào	/according to/in accordance with/to shine/to illuminate/to reflect/to look at (one's reflection)/to take (a photo)/photo/as requested/as before/
真正	zhēnzhèng	/genuine; real; true/really; indeed/
整理	zhěnglǐ	/to arrange/to tidy up/to sort out/to straighten out/to list systematically/to collate (data, files)/to pack (luggage)/
正常	zhèngcháng	/regular/normal/ordinary/
正好	zhènghǎo	/just (in time)/just right/just enough/to happen to/to chance to/by chance/it just so happens that/
正确	zhèngquè	/correct; sound; right; proper/
正式	zhèngshì	/formal; official/
证明	zhèngmíng	/proof/certificate/identification/testimonial/CL:個|个[ge4]/to prove/to testify/to confirm the truth of/
之	zhī	/(possessive particle, literary equivalent of 的[de5])/him/her/it/
支持	zhīchí	/to be in favor of/to support/to back/support/backing/to stand by/CL:個|个[ge4]/
知识	zhīshi	/knowledge/CL:門|门[men2]/intellectual/
值得	zhídé	/to be worth/to deserve/
直接	zhíjiē	/direct (opposite: indirect 間接|间接[jian4 jie1])/immediate/straightforward/
植物	zhíwù	/plant/vegetation/CL:種|种[zhong3]/
职业	zhíyè	/occupation; profession; vocation/professional/
指	zhǐ	/finger/to point at or to/to indicate or refer to/to depend on/to count on/(of hair) to stand on end/
只好	zhǐhǎo	/to have no other option but to ...; to have to; to be forced to/
只要	zhǐyào	/if only/so long as/
质量	zhìliàng	/quality/(physics) mass/
至少	zhìshǎo	/at least/(to say the) least/
重	zhòng	/heavy/serious/to attach importance to/
重点	zhòngdiǎn	/important point; main point; focus/key (project etc)/to focus on; to put the emphasis on/
重视	zhòngshì	/to attach importance to sth; to value/
周围	zhōuwéi	/environs; surroundings; periphery/
主意	zhǔyi	/plan/idea/decision/CL:個|个[ge4]/Beijing pr. [zhu2 yi5]/
祝贺	zhùhè	/to congratulate/congratulations/CL:個|个[ge4]/
著名	zhùmíng	/famous/noted/well-known/celebrated/
专门	zhuānmén	/specialist/specialized/customized/
专业	zhuānyè	/specialty/specialized field/main field of study (at university)/major/CL:門|门[men2],個|个[ge4]/professional/
转	zhuàn	/to revolve/to turn/to circle about/to walk about/classifier for revolutions (per minute etc): revs, rpm/classifier for repeated actions/
赚	zhuàn	/to cheat/to swindle/
准确	zhǔnquè	/accurate; exact; precise/
准时	zhǔnshí	/on time/punctual/on schedule/
仔细	zǐxì	/careful; attentive; cautious/to be careful; to look out/
自然	zìrán	/nature/natural/naturally/
自信	zìxìn	/to have confidence in oneself/self-confidence/
总结	zǒngjié	/to sum up/to conclude/summary/résumé/CL:個|个[ge4]/
租	zū	/to hire/to rent/to charter/to rent out/to lease out/rent/land tax/
最好	zuìhǎo	/best/had better ...; it would be best to .../
尊重	zūnzhòng	/to esteem/to respect/to honor/to value/eminent/serious/proper/
左右	zuǒyòu	/left and right/nearby/approximately/attendant/to control/to influence/
座	zuò	/seat/base/stand/(archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects/
作家	zuòjiā	/author/CL:個|个[ge4],位[wei4]/
座位	zuòwèi	/seat/CL:個|个[ge4]/
作用	zuòyòng	/to act on; to affect/action; function; activity/impact; result; effect/purpose; intent/(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition/
作者	zuòzhě	/author; writer/
