唉	āi	/alas/oh dear/
使劲儿	shǐjìnr	/erhua variant of 使勁|使劲[shi3 jin4]/
始终	shǐzhōng	/from beginning to end/all along/
试卷	shìjuàn	/examination paper/test paper/CL:份[fen4],張|张[zhang1]/
市场	shìchǎng	/marketplace/market (also in abstract)/
事物	shìwù	/thing; object/CL:個|个[ge4]/
收据	shōujù	/receipt/CL:張|张[zhang1]/
手工	shǒugōng	/handwork/manual/
手术	shǒushù	/(surgical) operation/surgery/CL:個|个[ge4]/
手续	shǒuxù	/procedure/CL:道[dao4],個|个[ge4]/formalities/
首	shǒu	/head/chief/first (occasion, thing etc)/classifier for poems, songs etc/
受伤	shòushāng	/to sustain injuries/wounded (in an accident etc)/harmed/
寿命	shòumìng	/life span/life expectancy/lifetime (of a machine)/
书架	shūjià	/bookshelf/CL:個|个[ge4]/
输入	shūrù	/to import/to input/
熟练	shúliàn	/practiced/proficient/skilled/skillful/
鼠标	shǔbiāo	/mouse (computing)/
数据	shùjù	/data/
数码	shùmǎ	/number/numerals/figures/digital/amount/numerical code/
摔倒	shuāidǎo	/to fall down/to slip and fall/to throw sb to the ground/
双方	shuāngfāng	/bilateral/both sides/both parties involved/
税	shuì	/taxes/duties/
说服	shuōfú	/to persuade/to convince/to talk sb over/Taiwan pr. [shui4 fu2]/
丝绸	sīchóu	/silk cloth/silk/
思想	sīxiǎng	/thought/thinking/idea/ideology/CL:個|个[ge4]/
似乎	sìhū	/it seems; seemingly; as if/
随身	suíshēn	/to (carry) on one's person/to (take) with one/
碎	suì	/(transitive or intransitive verb) to break into pieces; to shatter; to crumble/broken; fragmentary; scattered/garrulous/
损失	sǔnshī	/loss/damage/CL:個|个[ge4]/to lose/to suffer damage/
锁	suǒ	/old variant of 鎖|锁[suo3]/
台阶	táijiē	/steps/flight of steps/step (over obstacle)/fig. way out of an embarrassing situation/bench (geology)/
太极拳	tàijíquán	/shadowboxing or Taiji, T'aichi or T'aichichuan/traditional form of physical exercise or relaxation/a martial art/
逃	táo	/to escape/to run away/to flee/
淘气	táoqì	/naughty/mischievous/
讨价还价	tǎojiàhuánjià	/to haggle over price/to bargain/
套	tào	/to cover/to encase/cover/sheath/to overlap/to interleave/to model after/to copy/formula/harness/loop of rope/(fig.) to fish for/to obtain slyly/classifier for sets, collections/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)/
特色	tèsè	/characteristic/distinguishing feature or quality/
提倡	tíchàng	/to promote/to advocate/
题目	tímù	/subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])/
体贴	tǐtiē	/considerate (of other people's needs)/
体验	tǐyàn	/to experience for oneself/
天空	tiānkōng	/sky/
天真	tiānzhēn	/naive/innocent/artless/
调整	tiáozhěng	/to adjust/adjustment/revision/CL:個|个[ge4]/
通常	tōngcháng	/regular; usual; normal/usually; normally/
统一	tǒngyī	/to unify; to integrate/unified; integrated/
痛快	tòngkuài	/delighted/to one's heart's content/straightforward/also pr. [tong4 kuai5]/
偷	tōu	/to steal/to pilfer/to snatch/thief/stealthily/
投资	tóuzī	/investment/to invest/
突出	tūchū	/prominent/outstanding/to give prominence to/to protrude/to project/
土豆	tǔdòu	/potato (CL:個|个[ge4])/(Tw) peanut (CL:顆|颗[ke1])/
兔子	tùzi	/hare/rabbit/CL:隻|只[zhi1]/
推辞	tuīcí	/to decline (an appointment, invitation etc)/
推荐	tuījiàn	/to recommend/recommendation/
退	tuì	/to retreat; to withdraw/to reject; to return (sth)/to decline/
退休	tuìxiū	/to retire (from the workforce); to go into retirement/
外公	wàigōng	/(coll.) mother's father/maternal grandfather/
完整	wánzhěng	/complete/intact/
玩具	wánjù	/plaything/toy/
万一	wànyī	/just in case/if by any chance/contingency/
威胁	wēixié	/to threaten; to menace/
维修	wéixiū	/maintenance (of equipment)/to protect and maintain/
围绕	wéirào	/to revolve around/to center on (an issue)/
尾巴	wěiba	/tail/colloquial pr. [yi3 ba5]/
委屈	wěiqu	/to feel wronged/to cause sb to feel wronged/grievance/
胃	wèi	/stomach/CL:個|个[ge4]/
位于	wèiyú	/to be located at/to be situated at/to lie/
未必	wèibì	/not necessarily/maybe not/
温柔	wēnróu	/gentle and soft; tender; sweet (commonly used to describe a girl or woman)/
文具	wénjù	/stationery/item of stationery (pen, pencil, eraser, pencil sharpener etc)/
文学	wénxué	/literature/CL:種|种[zhong3]/
稳定	wěndìng	/steady/stable/stability/to stabilize/to pacify/
问候	wènhòu	/to give one's respects/to send a greeting/(fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)/
卧室	wòshì	/bedroom/CL:間|间[jian1]/
无数	wúshù	/countless/numberless/innumerable/
勿	wù	/do not/
物质	wùzhì	/matter/substance/material/materialistic/CL:個|个[ge4]/
吸取	xīqǔ	/to absorb/to draw (a lesson, insight etc)/to assimilate/
系统	xìtǒng	/system/CL:個|个[ge4]/
戏剧	xìjù	/a drama; a play; theater/script of a play/
吓	xià	/to frighten/to scare/
夏令营	xiàlìngyíng	/summer camp/
下载	xiàzài	/to download/also pr. [xia4 zai4]/
显然	xiǎnrán	/clearly; evidently; obviously/
县	xiàn	/county/
现象	xiànxiàng	/phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance/
香肠	xiāngcháng	/sausage/CL:根[gen1]/
相当	xiāngdāng	/equivalent to/appropriate/considerably/to a certain extent/fairly/quite/
相似	xiāngsì	/similar; alike/
想念	xiǎngniàn	/to miss/to remember with longing/to long to see again/
享受	xiǎngshòu	/to enjoy/to live it up/pleasure/CL:種|种[zhong3]/
项链	xiàngliàn	/necklace/CL:條|条[tiao2]/
象征	xiàngzhēng	/emblem/symbol/token/badge/to symbolize/to signify/to stand for/
消极	xiāojí	/negative/passive/inactive/
消失	xiāoshī	/to disappear; to fade away/
小气	xiǎoqi	/stingy/miserly/narrow-minded/petty/
孝顺	xiàoshun	/filial/dutiful/devoted to one's parents (and grandparents etc)/to show filial piety towards (an older family member)/filial piety/
斜	xié	/inclined/slanting/oblique/tilting/
写作	xiězuò	/to write/to compose/writing/written works/
心理	xīnlǐ	/psychology/mentality/
心脏	xīnzàng	/heart/CL:顆|颗[ke1],個|个[ge4]/
信任	xìnrèn	/to trust/to have confidence in/
行为	xíngwéi	/action/conduct/behavior/activity/
形容	xíngróng	/to describe/(literary) countenance; appearance/
形势	xíngshì	/circumstances/situation/terrain/CL:個|个[ge4]/
形状	xíngzhuàng	/form; shape/CL:個|个[ge4]/
幸运	xìngyùn	/fortunate/lucky/fortune/luck/
兄弟	xiōngdì	/brothers/younger brother/CL:個|个[ge4]/I, me (humble term used by men in public speech)/brotherly/fraternal/
虚心	xūxīn	/open-minded/humble/
宣布	xuānbù	/to declare/to announce/to proclaim/
学术	xuéshù	/learning/science/academic/CL:個|个[ge4]/
询问	xúnwèn	/to inquire/
训练	xùnliàn	/to train/to drill/training/CL:個|个[ge4]/
押金	yājīn	/deposit/down payment/
牙齿	yáchǐ	/tooth/dental/CL:顆|颗[ke1]/
宴会	yànhuì	/banquet/feast/dinner party/CL:席[xi2],個|个[ge4]/
痒	yǎng	/to itch/to tickle/
样式	yàngshì	/type/style/
腰	yāo	/waist/lower back/pocket/middle/loins/
咬	yǎo	/variant of 咬[yao3]/
夜	yè	/night/
业余	yèyú	/in one's spare time/outside working hours/amateur (historian etc)/
依然	yīrán	/still; as before/
一旦	yídàn	/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day/
一致	yízhì	/consistent; unanimous; in agreement/together; in unison/
一再	yízài	/repeatedly/
移民	yímín	/to immigrate/to migrate/emigrant/immigrant/
疑问	yíwèn	/question/interrogation/doubt/
以来	yǐlái	/since (a previous event)/
意外	yìwài	/unexpected/accident/mishap/CL:個|个[ge4]/
议论	yìlùn	/to comment/to talk about/to discuss/discussion/CL:個|个[ge4]/
义务	yìwù	/duty; obligation (CL:項|项[xiang4])/volunteer (work etc)/
因素	yīnsù	/element/factor/CL:個|个[ge4]/
英俊	yīngjùn	/handsome/
营养	yíngyǎng	/nutrition/nourishment/CL:種|种[zhong3]/
硬	yìng	/hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial/
应付	yìngfu	/to deal with; to cope/
应用	yìngyòng	/to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app/
拥挤	yōngjǐ	/crowded/to throng/congestion/
勇气	yǒngqì	/courage/valor/
用功	yònggōng	/diligent/industrious (in one's studies)/to study hard/to make great effort/
优惠	yōuhuì	/privilege/favorable (terms)/preferential (treatment)/discount (price)/
优势	yōushì	/superiority/dominance/advantage/
悠久	yōujiǔ	/long (tradition, history etc)/
油炸	yóuzhá	/to deep fry/
有利	yǒulì	/advantageous; favorable/
娱乐	yúlè	/to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy/
预报	yùbào	/forecast/
预防	yùfáng	/to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic/
圆	yuán	/circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)/
元旦	uándàn	/New Year's Day/
员工	yuángōng	/staff; personnel; employee/
愿望	yuànwàng	/desire/wish/
晕	yūn	/dizzy/halo/ring around moon or sun/
运气	yùnqi	/luck (good or bad)/
运用	yùnyòng	/to use/to put to use/
灾害	zāihài	/calamity/disaster/CL:個|个[ge4]/
在乎	zàihu	/to rest with; to lie in; to be due to (a certain attribute)/(often used in the negative) to care about/
再三	zàisān	/over and over again/again and again/
赞成	zànchéng	/to approve/to endorse/(literary) to assist/
糟糕	zāogāo	/too bad/how terrible/what bad luck/terrible/bad/
造成	zàochéng	/to bring about; to create; to cause/
责备	zébèi	/to blame/to criticize/condemnation/reproach/
窄	zhǎi	/narrow/narrow-minded/badly off/
展开	zhǎnkāi	/to unfold; to spread out; to open up/to launch; to carry out/
掌握	zhǎngwò	/to grasp (often fig.)/to control/to seize (initiative, opportunity, destiny)/to master/to know well/to understand sth well and know how to use it/fluency/
账户	zhànghù	/bank account/online account/
珍惜	zhēnxī	/to treasure/to value/to cherish/
阵	zhèn	/disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration/
睁	zhēng	/to open (one's eyes)/
争取	zhēngqǔ	/to fight for/to strive for/to win over/
整个	zhěnggè	/whole/entire/total/
整齐	zhěngqí	/orderly/neat/even/tidy/
正	zhèng	/straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive/
政府	zhèngfǔ	/government/CL:個|个[ge4]/
证件	zhèngjiàn	/certificate; papers; credentials; document; ID/
支	zhī	/to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions/
支票	zhīpiào	/check (bank)/cheque/CL:本[ben3]/
指导	zhǐdǎo	/to guide/to give directions/to direct/to coach/guidance/tuition/CL:個|个[ge4]/
制定	zhìdìng	/to draw up; to formulate/
制造	zhìzào	/to manufacture; to make/
智慧	zhìhuì	/wisdom; intelligence/
秩序	zhìxù	/order (orderly)/order (sequence)/social order/the state (of society)/CL:個|个[ge4]/
中介	zhōngjiè	/to act as intermediary/to link/intermediate/inter-/agency/agent/
中旬	zhōngxún	/middle third of a month/
周到	zhōudào	/thoughtful/considerate/attentive/thorough/also pr. [zhou1 dao5]/
逐步	zhúbù	/progressively/step by step/
竹子	zhúzi	/bamboo/CL:棵[ke1],支[zhi1],根[gen1]/
主持	zhǔchí	/to take charge of/to manage or direct/to preside over/to uphold/to stand for (justice etc)/to host (a TV or radio program etc)/(TV) anchor/
主观	zhǔguān	/subjective/
主题	zhǔtí	/theme/subject/
主任	zhǔrèn	/director/head/CL:個|个[ge4]/
抓	zhuā	/to grab/to catch/to arrest/to snatch/to scratch/
专家	zhuānjiā	/expert; specialist/
专心	zhuānxīn	/to focus one's attention; to concentrate on (doing sth)/
转告	zhuǎngào	/to pass on/to communicate/to transmit/
装	zhuāng	/adornment/to adorn/dress/clothing/costume (of an actor in a play)/to play a role/to pretend/to install/to fix/to wrap (sth in a bag)/to load/to pack/
装修	zhuāngxiū	/to decorate/interior decoration/to fit up/to renovate/
状况	zhuàngkuàng	/condition; state; situation/CL:個|个[ge4]/
追	zhuī	/to chase/to pursue/to look into/to investigate/to reminisce/to recall/to court (one's beloved)/to binge-watch (a TV drama)/retroactively/posthumously/
资格	zīgé	/qualifications/seniority/
资料	zīliào	/material/resources/data/information/profile (Internet)/CL:份[fen4],個|个[ge4]/
姿势	zīshì	/posture/position/
紫	zǐ	/purple/violet/
字幕	zìmù	/caption/subtitle/
自动	zìdòng	/automatic/voluntarily/
自由	zìyóu	/freedom; liberty/free; unrestricted/CL:種|种[zhong3]/
综合	zōnghé	/comprehensive/composite/synthesized/mixed/to sum up/to integrate/to synthesize/
总共	zǒnggòng	/altogether; in sum; in all; in total/
总理	zǒnglǐ	/premier/prime minister/CL:個|个[ge4],位[wei4],名[ming2]/
总算	zǒngsuàn	/at long last/finally/on the whole/
总之	zǒngzhī	/in a word/in short/in brief/
组成	zǔchéng	/to form/to make up/to constitute/
组织	zǔzhī	/to organize/organization/(biology) tissue/(textiles) weave/CL:個|个[ge4]/
作文	zuòwén	/to write an essay/composition (student essay)/CL:篇[pian1]/
哎	āi	/hey!/(interjection used to attract attention or to express surprise or disapprobation)/
爱护	àihù	/to cherish/to treasure/to take care of/to love and protect/
爱惜	àixī	/to cherish/to treasure/to use sparingly/
安装	ānzhuāng	/to install/to erect/to fix/to mount/installation/
暗	àn	/(literary) to close (a door)/to eclipse/confused; ignorant (variant of 暗[an4])/dark (variant of 暗[an4])/
把握	bǎwò	/to grasp (also fig.)/to seize/to hold/assurance/certainty/sure (of the outcome)/
摆	bǎi	/to arrange/to exhibit/to move to and fro/a pendulum/
办理	bànlǐ	/to handle; to transact; to conduct/
傍晚	bàngwǎn	/in the evening/when night falls/towards evening/at night fall/at dusk/
包裹	bāoguǒ	/to wrap up/to bind up/bundle/parcel/package/CL:個|个[ge4]/
包括	bāokuò	/to comprise/to include/to involve/to incorporate/to consist of/
薄	báo	/see 薄荷[bo4 he5]/
宝贝	bǎobèi	/treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character/
保持	bǎochí	/to keep/to maintain/to hold/to preserve/
保险	bǎoxiǎn	/insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]/
抱怨	bàoyuàn	/to complain/to grumble/to harbor a complaint/to feel dissatisfied/
报道	bàodào	/to report (news)/report/CL:篇[pian1],份[fen4]/
报社	bàoshè	/newspaper (i.e. a company)/CL:家[jia1]/
背	bèi	/the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing/
本质	běnzhì	/essence/nature/innate character/intrinsic quality/
彼此	bǐcǐ	/each other; one another/
毕竟	bìjìng	/after all/all in all/when all is said and done/in the final analysis/
避免	bìmiǎn	/to avert/to prevent/to avoid/to refrain from/
编辑	biānjí	/to edit/to compile/editor/compiler/
便	biàn	/used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]/
标点	biāodiǎn	/punctuation/a punctuation mark/to punctuate/CL:個|个[ge4]/
表明	biǎomíng	/to make clear/to make known/to state clearly/to indicate/known/
病毒	bìngdú	/virus/
播放	bōfàng	/to broadcast; to transmit (by radio or TV)/
脖子	bózi	/neck/CL:個|个[ge4]/
不要紧	búyàojǐn	/unimportant/not serious/it doesn't matter/never mind/it looks all right, but/
布	bù	/cloth/to declare/to announce/to spread/to make known/
不安	bù’ān	/unpeaceful/unstable/uneasy/disturbed/restless/worried/
不得了	bùdéliǎo	/desperately serious/disastrous/extremely/exceedingly/
不如	bùrú	/not equal to; not as good as; inferior to/it would be better to/
步骤	bùzhòu	/procedure/step/
采访	cǎifǎng	/to interview/to gather news/to hunt for and collect/to cover/
彩虹	cǎihóng	/rainbow/CL:道[dao4]/
参与	cānyù	/to participate (in sth)/
惭愧	cánkuì	/ashamed/
操心	cāoxīn	/to worry about/
册	cè	/book/booklet/classifier for books/
测验	cèyàn	/test/to test/CL:次[ci4],個|个[ge4]/
曾经	céngjīng	/once/already/former/previously/ever/(past tense marker used before verb or clause)/
差距	chājù	/disparity/gap/
产品	chǎnpǐn	/goods/merchandise/product/CL:個|个[ge4]/
长途	chángtú	/long distance/
抄	chāo	/to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms/
超级	chāojí	/super-/ultra-/hyper-/
朝	cháo	/morning/
炒	chǎo	/to sauté; to stir-fry/to speculate (in real estate etc); to scalp/to hype up/to sack; to fire (sb)/
吵架	chǎojià	/to quarrel/to have a row/quarrel/CL:頓|顿[dun4]/
车厢	chēxiāng	/carriage/CL:節|节[jie2]/
沉默	chénmò	/taciturn/uncommunicative/silent/
称呼	chēnghu	/to call; to address as/form of address; appellation/
承认	chéngrèn	/to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge/
程度	chéngdù	/degree; level; extent/
成分	chéngfèn	/composition; ingredient; element; component/one's social status/CL:個|个[ge4]/
成果	chéngguǒ	/result/achievement/gain/profit/CL:個|个[ge4]/
成就	chéngjiù	/accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about/
成熟	chéngshú	/mature; ripe/to mature; to ripen/Taiwan pr. [cheng2 shou2]/
成长	chéngzhǎng	/to mature/to grow/growth/
吃亏	chīkuī	/to suffer losses/to come to grief/to lose out/to get the worst of it/to be at a disadvantage/unfortunately/
迟早	chízǎo	/sooner or later/
池塘	chítáng	/pool/pond/
翅膀	chìbǎng	/wing/CL:個|个[ge4],對|对[dui4]/
充电器	chōngdiànqì	/battery charger/
充满	chōngmǎn	/full of/brimming with/very full/permeated/
抽屉	chōuti	/drawer/
臭	chòu	/sense of smell/smell bad/
出版	chūbǎn	/to publish/
出色	chūsè	/remarkable; outstanding/
初级	chūjí	/junior/primary/
传播	chuánbō	/to disseminate; to propagate; to spread/
传说	chuánshuō	/legend; folk tale/to repeat from mouth to mouth; they say that.../
窗帘	chuānglián	/window curtains/
创造	chuàngzào	/to create/to bring about/to produce/to set (a record)/
词汇	cíhuì	/vocabulary/list of words (e.g. for language teaching purposes)/word/
辞职	cízhí	/to resign/
刺激	cìjī	/to provoke; to irritate; to upset; to stimulate; to excite/irritant/
从此	cóngcǐ	/from now on/since then/henceforth/
从事	cóngshì	/to go for/to engage in/to undertake/to deal with/to handle/to do/
促进	cùjìn	/to promote (an idea or cause); to advance; boost/
催	cuī	/to urge/to press/to prompt/to rush sb/to hasten sth/to expedite/
存在	cúnzài	/to exist/to be/existence/
答应	dāying	/to answer; to respond/to answer positively; to agree; to accept; to promise/
达到	dádào	/to reach; to achieve; to attain/
打交道	dǎjiāodao	/to come into contact with/to have dealings/
打喷嚏	dǎpēntì	/to sneeze/
打听	dǎting	/to ask about/to make some inquiries/to ask around/
大方	dàfang	/generous/magnanimous/stylish/in good taste/easy-mannered/natural and relaxed/
大型	dàxíng	/large/large-scale/
呆	dāi	/foolish/stupid/expressionless/blank/to stay/
代替	dàitì	/to replace; to take the place of/
贷款	dàikuǎn	/a loan/CL:筆|笔[bi3]/to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)/
单纯	dānchún	/simple/pure/unsophisticated/merely/purely/
单独	dāndú	/alone/by oneself/on one's own/
单元	dānyuán	/unit (forming an entity)/element/(in a residential building) entrance or staircase/
胆小鬼	dǎnxiǎoguǐ	/coward/
当地	dāngdì	/local/
当心	dāngxīn	/to take care/to look out/
挡	dǎng	/variant of 擋|挡[dang3]/
岛屿	dǎoyǔ	/island/
导演	dǎoyǎn	/to direct/director (film etc)/
导致	dǎozhì	/to lead to; to create; to cause; to bring about/
到达	dàodá	/to reach; to arrive/
道德	dàodé	/virtue/morality/ethics/CL:種|种[zhong3]/
等待	děngdài	/to wait; to wait for/
的确	díquè	/really/indeed/
地道	dìdao	/authentic/genuine/proper/
地理	dìlǐ	/geography/
地区	dìqū	/local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]/
地位	dìwèi	/position/status/place/CL:個|个[ge4]/
点心	diǎnxin	/light refreshments/pastry/dim sum (in Cantonese cooking)/dessert/
电台	diàntái	/transmitter-receiver/broadcasting station/radio station/CL:個|个[ge4],家[jia1]/
钓	diào	/to fish with a hook and bait/
洞	dòng	/cave/hole/zero (unambiguous spoken form when spelling out numbers)/CL:個|个[ge4]/
豆腐	dòufu	/tofu/bean curd/
独立	dúlì	/independent/independence/to stand alone/
断	duàn	/to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly/
堆	duī	/to pile up/to heap up/a mass/pile/heap/stack/large amount/
对方	duìfāng	/the other person; the other side; the other party/
对象	duìxiàng	/target; object/partner; boyfriend; girlfriend/CL:個|个[ge4]/
兑换	duìhuàn	/to convert/to exchange/
蹲	dūn	/to crouch/to squat/to stay (somewhere)/
多余	duōyú	/superfluous/unnecessary/surplus/
躲藏	duǒcáng	/to conceal oneself/to go into hiding/to take cover/
恶劣	èliè	/vile/nasty/of very poor quality/
耳环	ěrhuán	/earring/CL:隻|只[zhi1],對|对[dui4]/
发愁	fāchóu	/to worry/to fret/to be anxious/to become sad/
发抖	fādǒu	/to tremble/to shake/to shiver/
发明	fāmíng	/to invent/an invention/CL:個|个[ge4]/
翻	fān	/variant of 翻[fan1]/
反复	fǎnfù	/repeatedly/over and over/to upend/unstable/to come and go/(of an illness) to return/
反映	fǎnyìng	/to mirror/to reflect/mirror image/reflection/(fig.) to report/to make known/to render/
方	fāng	/square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter/
仿佛	fǎngfú	/to seem/as if/alike/similar/
非	fēi	/to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must/
废话	fèihuà	/nonsense; rubbish; superfluous words/You don't say!; No kidding! (gently sarcastic)/
分别	fēnbié	/to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually/
分配	fēnpèi	/to distribute/to assign/to allocate/to partition (a hard drive)/
分析	fēnxī	/to analyze/analysis/CL:個|个[ge4]/
纷纷	fēnfēn	/one after another/in succession/one by one/continuously/diverse/in profusion/numerous and confused/pell-mell/
奋斗	fèndòu	/to strive; to struggle/
风格	fēnggé	/style/
风俗	fēngsú	/social custom/CL:個|个[ge4]/
疯狂	fēngkuáng	/crazy; frenzied; wild/
否定	fǒudìng	/to negate/to deny/to reject/negative (answer)/negation/
幅	fú	/width/roll/classifier for textiles or pictures/
服装	fúzhuāng	/dress/clothing/costume/clothes/CL:身[shen1]/
辅导	fǔdǎo	/to give guidance/to mentor/to counsel/to coach/to tutor/
妇女	fùnǚ	/woman/
改革	gǎigé	/reform/CL:次[ci4],種|种[zhong3],項|项[xiang4]/to reform/
改善	gǎishàn	/to make better; to improve/CL:個|个[ge4]/
盖	gài	/lid/top/cover/canopy/to cover/to conceal/to build/
概念	gàiniàn	/concept/idea/CL:個|个[ge4]/
干脆	gāncuì	/candid/direct and to the point/simply/just/might as well/
干燥	gānzào	/(of weather, climate, soil etc) dry; arid/(of skin, mouth etc) dry/(fig.) dull; dry; boring/(of timber etc) to dry out; to season; to cure/
感激	gǎnjī	/to be grateful/to appreciate/thankful/
感受	gǎnshòu	/to sense/perception/to feel (through the senses)/to experience/a feeling/an impression/an experience/
赶紧	gǎnjǐn	/hurriedly/without delay/
钢铁	gāngtiě	/steel/
高档	gāodàng	/superior quality/high grade/top grade/
搞	gǎo	/to do/to make/to go in for/to set up/to get hold of/to take care of/
格外	géwài	/especially/particularly/
个别	gèbié	/individually; one by one/just one or two; exceptional; rare/
个性	gèxìng	/individuality/personality/
根	gēn	/root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)/
公布	gōngbù	/to announce; to make public; to publish/
公元	gōngyuán	/CE (Common Era)/Christian Era/AD (Anno Domini)/
公主	gōngzhǔ	/princess/
工程师	gōngchéngshī	/engineer/CL:個|个[ge4],位[wei4],名[ming2]/
工人	gōngrén	/worker/CL:個|个[ge4],名[ming2]/
恭喜	gōngxǐ	/to congratulate/(interj.) congratulations!/
贡献	gòngxiàn	/to contribute/to dedicate/to devote/contribution/CL:個|个[ge4]/
构成	gòuchéng	/to constitute/to form/to compose/to make up/to configure (computing)/
姑姑	gūgu	/paternal aunt/CL:個|个[ge4]/
古典	gǔdiǎn	/classical/
鼓舞	gǔwǔ	/heartening (news)/to boost (morale)/CL:個|个[ge4]/
股票	gǔpiào	/share certificate/stock (finance)/
固定	gùdìng	/to fix/to fasten/to set rigidly in place/fixed/set/regular/
挂号	guàhào	/to register (at a hospital etc)/to send by registered mail/
拐弯	guǎiwān	/to go round a curve/to turn a corner/fig. a new direction/
官	guān	/government official/governmental/official/public/organ of the body/CL:個|个[ge4]/
关闭	guānbì	/to close; to shut (a window etc)/(of a shop, school etc) to shut down/
观点	guāndiǎn	/point of view/viewpoint/standpoint/CL:個|个[ge4]/
管子	guǎnzi	/tube/pipe/drinking straw/CL:根[gen1]/
光临	guānglín	/(formal) to honor with one's presence/to attend/
光盘	guāngpán	/compact disc (CD); DVD; CD-ROM/CL:片[pian4],張|张[zhang1]/
广场	guǎngchǎng	/public square; plaza/
广泛	guǎngfàn	/wide; broad; extensive; widespread/
规矩	guīju	/lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved/
规模	guīmó	/scale/scope/extent/CL:個|个[ge4]/
归纳	guīnà	/to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)/
柜台	guìtái	/variant of 櫃檯|柜台[gui4 tai2]/
锅	guō	/pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]/
国王	guówáng	/king/CL:個|个[ge4]/
果然	guǒrán	/really/sure enough/as expected/if indeed/
过分	guòfèn	/excessive/undue/overly/
过期	guòqī	/to be overdue/to exceed the time limit/to expire (as in expiration date)/
哈	hā	/a Pekinese; a pug/(dialect) to scold/
海关	hǎiguān	/customs (i.e. border crossing inspection)/CL:個|个[ge4]/
喊	hǎn	/to yell/to shout/to call out for (a person)/
行业	hángyè	/trade; profession; industry; business/
好客	hàokè	/hospitality/to treat guests well/to enjoy having guests/hospitable/friendly/
和平	hépíng	/peace/peaceful/
何况	hékuàng	/let alone/to say nothing of/besides/what's more/
合影	héyǐng	/to take a joint photo/group photo/
核心	héxīn	/core; nucleus/
后果	hòuguǒ	/consequences/aftermath/
忽然	hūrán	/suddenly; all of a sudden/
呼吸	hūxī	/to breathe/
蝴蝶	húdié	/butterfly/CL:隻|只[zhi1]/
胡同	hútòng	/variant of 胡同[hu2 tong4]/
华裔	huáyì	/ethnic Chinese/non-Chinese citizen of Chinese ancestry/
滑	huá	/to slip; to slide/slippery; smooth/sly; slippery; not to be trusted/
化学	huàxué	/chemistry/chemical/
缓解	huǎnjiě	/to bring relief/to alleviate (a crisis)/to dull (a pain)/
幻想	huànxiǎng	/to fantasize; to imagine/an illusion; a fantasy/
挥	huī	/to wave/to brandish/to command/to conduct/to scatter/to disperse/
灰尘	huīchén	/dust/
恢复	huīfù	/to reinstate/to resume/to restore/to recover/to regain/to rehabilitate/
汇率	huìlǜ	/exchange rate/
婚姻	hūnyīn	/marriage; matrimony/CL:樁|桩[zhuang1],次[ci4]/
火柴	huǒchái	/match (for lighting fire)/CL:根[gen1],盒[he2]/
激烈	jīliè	/(of competition or fighting) intense/fierce/(of pain) acute/(of an expression of opinion) impassioned/vehement/(of a course of action) drastic/extreme/
