方便	convenient
性少数群体	LGBTQ+
脱口秀	stand up comedy
展示才华	exhibit one's talent
展示能力	Display ability
炫耀	show off
搞笑	funny
几个星期前	few weeks ago
剧透	spoiler/ to spoil a show for sb
稍微等一下	Wait a little bit
稍微有点儿冷	A little cold
内向	Introverted
选择	option/ choice
搞混	get confused between
伸懒腰	stretch your back
拉伸	Stretch
瑜伽	Yoga
普拉提	Pilate
脊柱	spine
处理一些事情	Deal with something
对付一个人	Deal with a person
好的关系	Good relationship
秘密武器	Secret weapon
放大招	bring out the big guns
画家	painter
绝对	
碰见	to bump into
爆炸	to explode
让人分心	distracting
点心	dim sum
节目	programme
慰安妇	comfort woman (Chinese military concubines for Japanese soliders during WWII)
侵略	invade
开会	to have a meeting
会议	a meeting
参加	attend/ participate
有趣	interesting
要求	requirement
分担	share (responsibilities/ pain/ etc.)
参加活动	attend events
举手	raise a hand
认同	agree with
最低工资	minimum wage
歧视	discriminate
直男	Straight male
奖学金	scholarship
弥补	reparation
百分比	percentage
严肃	serious
关于	about
一般就说	Generally speaking
辅导	Counsel
公平	fair
上火	to get angry/to have internal heat (face swelling?)
奖	prize
充电宝	powerbank
插头🔌	charger
插座	socket
充电	to charge
仪式	ritual
生活要有仪式感	Life must have a sense of ritual
虚假	fake
赞美	praise
丢垃圾	to take out the trash/ to litter
蜘蛛网	Spider web
感动	moved/ touched
卡通片	cartoon
当...的时候	when
行李箱	suitcase
进步	progress/ make a progress
退步	regress/ become worse
重视	to value/ think highly of/ take seriously
行业	industry
创业	to start a business/ entrepreneurship
公司	company
残酷	cruel
造句	make a sentence
牛	awesome
效果	Effect
有效果	effective
没效果	no effect
确实	really
把...放进去	put (smth) away
收起来	to put away
明明	Clearly
把...拿出来	take (smth) out
当时	then
粗鲁	Rude
舞蹈家	dancer
关键	essential
敢	dare to, confident about doing smth
一旦	once (... consequence)
一栋房子	a house
一套房子	an apartment
社交尴尬症	socially awkward
高冷	arrogant
让我好尴尬	It's embarrassing/ awkward
羞愧	embarrassed
颧骨	Cheekbones
审美	Aesthetic
对称	symmetry
安慰	comfort
华尔街	Wall Street
诚实	honest
老实	honest/ reliable/ a bit stupid
社区	Community
华人	oversea chinese
吵架	argue
打招呼	greet
规则	rule
谈话	conversation
外貌	appearance
游泳运动员	swimmer
强奸	rape
强奸犯	Rape
法官	the Judge
判	to convict
坐牢	go to prison
政府官员	government officer
权力	power
伪装	disguise/ camouflage
打扮（成）	dress up (as)
万圣节	Halloween
吸血鬼	vampire
定义	definition
比方说	for example
高颧骨	high cheekbones
打扮 (成)	dress up (as) (for Halloween)
健康	health
建	to build (a house)
审美标准	Aesthetic standards
残忍	cruel
绦虫	tapeworm
卵	egg
蛋	egg (with a shell)
身材没有曲线	There is no curve
内在美	inner beauty
股票	stock
刻薄	mean
说实话	frankly speaking
尖脸	sharp face
善良	kind-hearted
有出息	promising
咬肌	masseter muscle
夸	to praise
人不可貌相	don't judge a book by its cover
虚伪	hypocritical
拆二代	the second generation of people who gain from House Removal System
张个儿	to grow taller
粗	thick
细	thin
外在	appearance (in contrast with inner beauty)
拆哪儿	joke about House Removal System ("China")
富二代	children of rich people/rich second generation
单位	unit (e.g. of apartment)
村里	Village
内在(美)	inner beauty)
瞎扯	bullshit (东北口语)
瞎说	Talk nonsense
话题	topic
土豪	rich people (used jokingly among friends)
设计	design
你太过分了	you're going too far
过分了	to go too far
这么说太过分了	That said so too much
股票跌了	the stock fell
相反	on the contrary
批评	criticism
直接	directly
资源	resource
付水电费	Pay water and electricity fee
贪心	greedy
人手不足	Lack of manpower
不足	insufficient/ downside
流行	trendy/ popular
奢侈品	Luxury
抄袭	Plagiarize
编剧	screenwriter
著名	renowned
日常生活	Daily life
代替	replace
代笔	to ghost write
代购	help others buy things  (some people get paid by doing so)
寄	to mail
谈恋爱	fall in love
缺点	shortcoming
一台手机	One phone
毛毯	Blanket
软	soft
料子	material (for clothes)
卖艺	to busk
对…敏感	sensitive to
情绪	mood
磨砂	Scrub
敏感话题	sensitive topics
偷听	Eavesdrop
枪手	ghostwriter/ gunman
让你退学	Let you drop out
笔名	pen name
做标记	to highlight/annotate
敲门	Knock on the door
敲字	type words
手腕	wrist
神经	nerve
堕胎	Abortion
合法	legal
州	state
玩笑开大了	the joke went wrong/ too far
流浪者	homeless
现象	Phenomenon
没人管	nobody cares/ tackles it
证明	prove
风格	style
好莱坞	Hollywood
表情	expression
平静	calm
接受	accept
代码	(computer) code
吸毒	drug
著名编剧谈抄袭	Famous screenwriter talks about plagiarism
在你们行业中	In your industry
代	to replace
以...为生	for a living
在他成名前，他曾以卖艺为生	Before he became famous, he made a living as a busker.
你怎么看？	What do you think?
你觉得呢？	What do you think?
你的看法是什么？	What is your opinion?
坦然	calm
标点符号	Punctuation
敲	knock on the door, or type
触动神经	to strike a nerve
乱象	Chaotic
独特	unique
养老院	Nursing home
朋友圈	Circle of friends
扩大社交圈	Expand the social circle
音乐圈	the Music “Community”
娱乐圈	entertainment industry
圈内人	Insiders
圈外人	Outsider
时尚	Fashion
求婚	to propose
互相问问题	ask each other questions
出轨	to cheat on one's partner
输入密码	enter password
流利	fluent
纠正	to correct
对她耍脾气	give her attitudes
出国	Go abroad
给...丢脸	lose face
随便扔垃圾	to litter everything
药妆店	Drug store
适合	to suit
关注	to follow (an account)
变得很健忘	Become very forgetful
记忆力	memory
似曾相识	feels like it was seen before/ deja vu
浪漫的	Romantic
俏皮	Playful
爱玩	Play
经验	experience
俄罗斯	Russia
买方	buyer
卖方	Seller
猜想	guess
才华	Talent
养活	to feed someone
内容	content
输出	Output
贪钱	greedy
不要脸	shameless
有市场	popular (business)
老百姓	Ordinary people
忘性很大	forgetful
回答	answer
采访	Interview
手指	finger
画画	draw
一幅画	A painting
决定	Decide
山寨品	fake goods
高管	executives (of a company)
结果	result
后果	consequence
欣赏	appreciate
口音很重	The accent is very heavy
未来的十年	The next ten years
过期	Expired
签证	visa
超过	over/ more than
棕色	brown
沙漠	desert
地标	landmark
时代广场	Times Square
新西兰	New Zealand
金门大桥	Golden Gate Bridge
在乎	care
剧本	script
翻译	translate
顾客	customer
轻松	easy
出租车	taxi
性情	temperament
热情	enthusiasm
质量	quality
出口	exit
入口	Entrance
熬夜	stay up
糖尿病	diabetes
高血压	high blood pressure
谣言	rumor
俗语	saying
荒郊	wilderness
后果很严重	Very serious consequences
山脉	mountain range
山脊	mountain ridge
野外	the wild
开派对	have a party
精致的生活	Exquisite life
精致的晚餐	Exquisite dinner
普通	normal
住在Airbnb	stay at an airbnb
雕像	statue
神殿	shrine
精致	Exquisite
别致	unconventionally beautiful
鱼缸	Fish tank
火警	fire alarm
响	to go off/ to ring
乡郊野外	Countryside
面团	Dough
揉面团	Knead dough
垫子	mat
暖和	warm
浴袍	Bathrobe
落地窗	Floor -to -ceiling window
窗帘	curtain
隐私	privacy
坍塌	Collapse
偶像	Idol
我的偶像塌房了	my idol's image is completely destroyed
保护	Protect
对...讲究	pay close attention to/ have high standards for sth
奇特	unique (strange)
提到	Mention
煤气	(coal) gas
大陆	mainland (China)
籍贯	registered birthplace, one's native place, place of ancestry
口味	taste
日剧	Japanese drama
墓碑	tombstone
棺材	coffin
卡车	truck
村子	Village
特色	feature (of smth)
存在	exist
堕落	fallen?
堕落天使	Fallen angel
安身立命	settle down
打工	work to earn a living
三文鱼	salmon
欧美	European and American
丹麦	Denmark
守旧	conservative
传统	Tradition
荒凉	desolate
知识	Knowledge
游乐园	amusement park
影响	influence, effect, to influence, to affect (usually adversely), to disturb
野人	savage (pejorative, don't use)
野兽	wild beast
首饰	jewelry
洗手液	handwashing fluid
玫瑰花	Rose
搅拌	Stir
公寓	apartment
酒香不怕巷子深	lit. "aroma of wine is not afraid of deep alleys", if your wine tastes good it doesn't matter the location of your store, quality goods need no advertising
阿根廷	Argentina
拉斯维加斯	Las Vegas
武术	Martial arts
单词卡	flashcard
找到一个方法	figure out
爱情片	romantic movie
恐怖片	Horror film
动作片	Action movie
惊悚片	thriller
电视剧	TV drama
刷剧	binge watch tv shows
公司法	Corporate law
民法	Civil law
刑法	criminal law
自律	self-discipline (名词/形容词)
规律	pattern
有规律的生活	routined life
律师	lawyer
给你留下了...的印象	Leave you the impression of ...
反义词	antonym
浅	shallow
水很深	deceiving
颜色很深/ 浅	dark/ light colour
对...很熟悉	Very familiar
睡衣	pyjamas
异人之下	I am Nobody (C-Drama)
X以上	More than X
角色	character
情节	plot
仅供参考	for reference only
仅仅因为	only because
位置	Location
打哈欠🥱	Yawning
打鼾	Snoring
标准	standard
未来	future
体重	body weight
可靠	reliable
蜜月期	honeymoon phase
慢性病	chronic disease
笑话	joke
开过分的玩笑	the joke has gone too far
要想...	If you want ...
共同爱好	mutual hobby
共同话题	mutual chat material
共同朋友	mutual friend
共同敌人	mutual enemy
共同生活	live together
共同努力	Work together
形容词	adjective
合适	suitable/ appropriate
有幸福感	have a sense of happiness
稳定	stable
强迫症	obsessive-compulsive disorder
合作	cooperate
复制	copy
粘贴	paste
开心	（最常用）开心😄，不开心😢
高兴	很高兴认识你/ 高兴😄，不高兴😠
快乐	新年快乐/ 生日快乐/ 圣诞快乐/ 快乐的一天
愉快	周末愉快/ 合作愉快/ 旅途愉快/ 我有一个愉快的假期
愉悦	我今天心情很愉悦
幸福	很深，很稳定，很长时间的
梗	meme  (official translation)
表情包	meme (with image)
官方	official (e.g. the "official translation")
算了	nevermind
没事了	nevermind
指示牌	sign (e.g. in the Ithaka kitchen)
过塑	laminate (vb.)
天使	Angel
平底煎锅	frying pan
铸铁	cast iron
鑄鐵	cast iron (just including bc the traditional is insane)
羽衣甘蓝	kale
小扁豆	lentil
粉末	powder
香菜籽	coriander (seeds)
土茴香籽	cumin
责备	blame
借口	excuse
按摩	massage
步骤	step
提示	hint/ tips
招待客人	to treat guests
民国时期	Republic of China
冲突	conflict
解决	solve
交通	transportation
沟通	communicate
裁员	lay off
泡茶	brew a cup of tea
泡面	instant noodles
发	to send (texts/ photos/emails)
目标	goal
古希腊	Ancient Greece
古罗马	ancient rome
词根	word root
石头	Stone
翻译笔	translation pen
扫	scan
表示	express
布置	arrange/ organise
必须	must
能接受新的想法	open-minded
虚心学习	learn sth with a humble attitude
婚礼	wedding
承诺	promise
有很好的关系	Have a strong connection/ good relationship
不安	insecure
症状	Symptoms
最近	recently
羽衣甘蓝	kale
卷心菜	cabbage
芥菜种	mustard seed
萝卜	daikon radish
菜花	cauliflower
娃娃菜	napa cabbage
家族	family (of a plant etc.)
西兰花	broccoli
培育	to breed
面筋	seitan
麸质	gluten
烤箱	oven
烤	bake/ roast
香料	spices
素食	vegetarian diet
腐烂	rot
犹太人	Jewish person
律法	religious law
犹太洁食	kosher
清真	halaal
伊斯兰教	islam
佛教	buddhism
种姓制度	Caste System
教育	educate
合唱团	choir
新教	Protestant
天主教	Catholicism
教会	Church
道德	Morality
主教	bishop
性丑闻	Sex scandal
最后一根稻草	The last straw
围裙	apron
芸薹属	Brassicas
