爱情	/romance; love (romantic)/CL:份[fen4]/
性格	/nature/disposition/temperament/character/CL:個|个[ge4]/
幸福	/happiness/happy/blessed/
修理	/to repair/to fix/to prune/to trim/(coll.) to sort sb out/to fix sb/
许多	/many/a lot of/much/
学期	/term/semester/CL:個|个[ge4]/
压力	/pressure/
牙膏	/toothpaste/CL:管[guan3]/
亚洲	/Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1])/
呀	/(particle equivalent to 啊 after a vowel, expressing surprise or doubt)/
盐	/salt/CL:粒[li4]/
严格	/strict/stringent/tight/rigorous/
严重	/grave/serious/severe/critical/
研究	/research/a study/CL:項|项[xiang4]/to research/to look into/
演出	/to act (in a play)/to perform/to put on (a performance)/performance/concert/show/CL:場|场[chang3],次[ci4]/
演员	/actor; actress; performer/
眼镜	/spectacles/eyeglasses/CL:副[fu4]/
阳光	/sunshine/(of personality) upbeat; energetic/transparent (open to public scrutiny)/
养成	/to cultivate/to raise/to form (a habit)/to acquire/
样子	/appearance/manner/pattern/model/
邀请	/to invite/invitation/CL:個|个[ge4]/
要是	/(coll.) if/
钥匙	/key/CL:把[ba3]/
也许	/perhaps/maybe/
页	/page/leaf/
叶子	/leaf (CL:片[pian4])/(slang) marijuana/
一切	/everything/every/all/
以	/to use/by means of/according to/in order to/because of/at (a certain date or place)/
以为	/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)/
意见	/idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]/
艺术	/art/
因此	/thus; consequently; as a result/
引起	/to give rise to; to lead to; to cause; to arouse/
印象	/impression (sth that stays in one's mind)/a memory/
应聘	/to accept a job offer/to apply for an advertised position/
赢	/to beat/to win/to profit/
勇敢	/brave; courageous/
永远	/forever/eternal/
优点	/merit/benefit/strong point/advantage/CL:個|个[ge4],項|项[xiang4]/
优秀	/outstanding; excellent/
幽默	/(loanword) humor/humorous/
由	/to follow/from/because of; due to/by; via; through/(before a noun and a verb) it is for ... to .../
由于	/due to/as a result of/thanks to/owing to/since/because/
邮局	/post office/CL:家[jia1],個|个[ge4]/
尤其	/especially; particularly/
有趣	/interesting/fascinating/amusing/
友好	/friendly; amicable/close friend/
友谊	/companionship/fellowship/friendship/
愉快	/cheerful/cheerily/delightful/pleasant/pleasantly/pleasing/happy/delighted/
于是	/thereupon; as a result; consequently; thus; hence/
与	/to take part in/
语法	/grammar/
语言	/language/CL:門|门[men2],種|种[zhong3]/
羽毛球	/badminton/shuttlecock/
预习	/to prepare a lesson/
原来	/original; former/originally; formerly; at first/so, actually, as it turns out/
原谅	/to excuse/to forgive/to pardon/
原因	/cause/origin/root cause/reason/CL:個|个[ge4]/
约会	/appointment/engagement/date/CL:次[ci4],個|个[ge4]/to arrange to meet/
阅读	/to read/reading/
云	/cloud/CL:朵[duo3]/
允许	/to permit/to allow/
杂志	/magazine/CL:本[ben3],份[fen4],期[qi1]/
咱们	/we or us (including both the speaker and the person(s) spoken to)/(dialect) I or me/(dialect) (in a coaxing or familiar way) you/also pr. [za2 men5]/
暂时	/temporary; provisional; for the time being/
脏	/dirty/filthy/to get (sth) dirty/
责任	/responsibility/blame/duty/CL:個|个[ge4]/
增加	/to raise; to increase/
占线	/busy (telephone line)/
招聘	/to invite applications for a job/to recruit/
照	/according to/in accordance with/to shine/to illuminate/to reflect/to look at (one's reflection)/to take (a photo)/photo/as requested/as before/
真正	/genuine; real; true/really; indeed/
整理	/to arrange/to tidy up/to sort out/to straighten out/to list systematically/to collate (data, files)/to pack (luggage)/
正常	/regular/normal/ordinary/
正好	/just (in time)/just right/just enough/to happen to/to chance to/by chance/it just so happens that/
正确	/correct; sound; right; proper/
正式	/formal; official/
证明	/proof/certificate/identification/testimonial/CL:個|个[ge4]/to prove/to testify/to confirm the truth of/
之	/(possessive particle, literary equivalent of 的[de5])/him/her/it/
支持	/to be in favor of/to support/to back/support/backing/to stand by/CL:個|个[ge4]/
知识	/knowledge/CL:門|门[men2]/intellectual/
值得	/to be worth/to deserve/
直接	/direct (opposite: indirect 間接|间接[jian4 jie1])/immediate/straightforward/
植物	/plant/vegetation/CL:種|种[zhong3]/
职业	/occupation; profession; vocation/professional/
指	/finger/to point at or to/to indicate or refer to/to depend on/to count on/(of hair) to stand on end/
只好	/to have no other option but to ...; to have to; to be forced to/
只要	/if only/so long as/
质量	/quality/(physics) mass/
至少	/at least/(to say the) least/
重	/heavy/serious/to attach importance to/
重点	/important point; main point; focus/key (project etc)/to focus on; to put the emphasis on/
重视	/to attach importance to sth; to value/
周围	/environs; surroundings; periphery/
主意	/plan/idea/decision/CL:個|个[ge4]/Beijing pr. [zhu2 yi5]/
祝贺	/to congratulate/congratulations/CL:個|个[ge4]/
著名	/famous/noted/well-known/celebrated/
专门	/specialist/specialized/customized/
专业	/specialty/specialized field/main field of study (at university)/major/CL:門|门[men2],個|个[ge4]/professional/
转	/to revolve/to turn/to circle about/to walk about/classifier for revolutions (per minute etc): revs, rpm/classifier for repeated actions/
赚	/to cheat/to swindle/
准确	/accurate; exact; precise/
准时	/on time/punctual/on schedule/
仔细	/careful; attentive; cautious/to be careful; to look out/
自然	/nature/natural/naturally/
自信	/to have confidence in oneself/self-confidence/
总结	/to sum up/to conclude/summary/résumé/CL:個|个[ge4]/
租	/to hire/to rent/to charter/to rent out/to lease out/rent/land tax/
最好	/best/had better ...; it would be best to .../
尊重	/to esteem/to respect/to honor/to value/eminent/serious/proper/
左右	/left and right/nearby/approximately/attendant/to control/to influence/
座	/seat/base/stand/(archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects/
作家	/author/CL:個|个[ge4],位[wei4]/
座位	/seat/CL:個|个[ge4]/
作用	/to act on; to affect/action; function; activity/impact; result; effect/purpose; intent/(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition/
作者	/author; writer/
